"rank","name","status","reason","checkedAt"
"class","Amphibia","valid","","2018-10-24 18:15:44"
"class","Arachnida","valid","","2018-10-24 18:15:44"
"class","Aves","valid","","2018-10-24 18:15:44"
"class","Chilopoda","valid","","2019-01-19 09:00:10"
"class","Clitellata","valid","","2018-10-24 18:15:44"
"class","Gastropoda","valid","","2018-10-24 18:15:44"
"class","Insecta","valid","","2018-10-24 18:15:44"
"class","Malacostraca","valid","","2018-10-24 18:15:44"
"class","Mammalia","valid","","2018-10-24 18:15:44"
"class","Reptilia","valid","","2018-10-24 18:15:44"
"family","Acanthizidae","valid","","2018-10-24 18:16:06"
"family","Accipitridae","valid","","2018-10-24 18:16:06"
"family","Acrididae","valid","","2018-10-24 18:16:06"
"family","Acrobatidae","valid","","2020-12-20 15:57:50"
"family","Acrocephalidae","valid","","2018-10-24 18:16:06"
"family","Acrochordidae","valid","","2018-10-24 18:16:16"
"family","Aegithalidae","valid","","2018-10-24 18:16:16"
"family","Aegothelidae","valid","","2018-10-24 18:16:06"
"family","Aeschnidae","valid","","2018-10-24 18:16:16"
"family","Agamidae","valid","","2018-10-24 18:16:16"
"family","Agelenidae","valid","","2018-10-24 18:16:06"
"family","Ailuridae","valid","","2019-01-19 09:00:12"
"family","Alcedinidae","valid","","2018-10-24 18:16:06"
"family","Alcidae","valid","","2018-10-24 18:16:06"
"family","Alligatoridae","valid","","2018-10-24 18:16:06"
"family","Ameronothridae","valid","","2018-10-24 18:16:16"
"family","Anapidae","valid","","2018-10-24 18:16:06"
"family","Anatidae","valid","","2018-10-24 18:16:06"
"family","Anguidae","valid","","2018-10-24 18:16:16"
"family","Anhingidae","valid","","2018-10-24 18:16:06"
"family","Anniellidae","valid","","2018-10-24 18:16:16"
"family","Anseranatidae","valid","","2018-10-24 18:16:06"
"family","Aotidae","valid","","2018-10-24 18:16:06"
"family","Apidae","valid","","2018-10-24 18:16:06"
"family","Aplodontiidae","valid","","2018-10-24 18:16:16"
"family","Apodidae","valid","","2018-10-24 18:16:06"
"family","Apterygidae","valid","","2018-10-24 18:16:16"
"family","Araneidae","valid","","2018-10-24 18:16:06"
"family","Ardeidae","valid","","2018-10-24 18:16:06"
"family","Argasidae","valid","","2018-10-24 18:16:16"
"family","Artamidae","valid","","2018-10-24 18:16:06"
"family","Atelidae","valid","","2018-10-24 18:16:06"
"family","Atrichorniithidae","valid","","2018-10-24 18:16:06"
"family","Bathyergidae","valid","","2018-10-24 18:16:16"
"family","Blaberidae","valid","","2018-10-24 18:16:06"
"family","Blattidae","valid","","2018-10-24 18:16:06"
"family","Boidae","valid","","2018-10-24 18:16:06"
"family","Bovidae","valid","","2018-10-24 18:16:16"
"family","Bradypodidae","valid","","2018-10-24 18:16:06"
"family","Bucorvidae","valid","","2018-10-24 18:16:06"
"family","Burhinidae","valid","","2018-10-24 18:16:06"
"family","Burramyidae","valid","","2020-12-20 15:57:50"
"family","Cacatuidae","valid","","2018-10-24 18:16:06"
"family","Caenolestidae","valid","","2020-12-20 15:57:50"
"family","Callitrichidae","valid","","2018-10-24 18:16:06"
"family","Camelidae","valid","","2018-10-24 18:16:16"
"family","Campephagidae","valid","","2018-10-24 18:16:06"
"family","Canidae","valid","","2018-10-24 18:16:06"
"family","Caprimulgidae","valid","","2018-10-24 18:16:06"
"family","Capromyidae","valid","","2019-01-19 09:00:12"
"family","Carabidae","valid","","2018-10-24 18:16:16"
"family","Cardinalidae","valid","","2021-09-22 10:23:13"
"family","Castoridae","valid","","2018-10-24 18:16:06"
"family","Casuariidae","valid","","2018-10-24 18:16:06"
"family","Cathartidae","valid","","2018-10-24 18:16:06"
"family","Caviidae","valid","","2018-10-24 18:16:16"
"family","Cebidae","valid","","2018-10-24 18:16:06"
"family","Cerambycidae","valid","","2019-01-19 09:00:12"
"family","Ceratobatrachidae","valid","","2018-10-24 18:16:06"
"family","Cercopithecidae","valid","","2018-10-24 18:16:06"
"family","Certhiidae","valid","","2021-09-22 10:23:13"
"family","Cervidae","valid","","2018-10-24 18:16:16"
"family","Cettiidae","valid","","2021-09-22 10:23:13"
"family","Chaeropodidae","valid","","2020-12-20 15:57:50"
"family","Chamaeleonidae","valid","","2020-11-20 23:15:07"
"family","Charadriidae","valid","","2018-10-24 18:16:06"
"family","Cheirogaleidae","valid","","2018-10-24 18:16:06"
"family","Cheloniidae","valid","","2018-10-24 18:16:06"
"family","Chelydridae","valid","","2018-10-24 18:16:06"
"family","Chinchillidae","valid","","2018-10-24 18:16:16"
"family","Chlamyphoridae","valid","","2018-10-24 18:16:06"
"family","Chloropseidae","valid","","2018-10-24 18:16:16"
"family","Chrysochloridae","valid","","2018-10-24 18:16:06"
"family","Chrysomelidae","valid","","2018-10-24 18:16:16"
"family","Cicadidae","valid","","2018-10-24 18:16:16"
"family","Ciconiidae","valid","","2018-10-24 18:16:06"
"family","Cisticolidae","valid","","2018-10-24 18:16:06"
"family","Climacteridae","valid","","2018-10-24 18:16:06"
"family","Clubionidae","valid","","2018-10-24 18:16:16"
"family","Coenobitidae","valid","","2018-10-24 18:16:06"
"family","Coliidae","valid","","2021-09-22 10:23:13"
"family","Colubridae","valid","","2018-10-24 18:16:06"
"family","Columbidae","valid","","2018-10-24 18:16:06"
"family","Columbiformes","valid","","2018-10-24 18:16:06"
"family","Contingidae","valid","","2018-10-24 18:16:06"
"family","Coraciidae","valid","","2018-10-24 18:16:06"
"family","Corcoracidae","valid","","2018-10-24 18:16:06"
"family","Cordylidae","valid","","2020-12-20 15:57:50"
"family","Corinnidae","valid","","2018-10-24 18:16:16"
"family","Corvidae","valid","","2018-10-24 18:16:06"
"family","Cossidae","valid","","2018-10-24 18:16:16"
"family","Cotingidae","valid","","2018-10-24 18:16:06"
"family","Crambidae","valid","","2018-10-24 18:16:16"
"family","Cricetidae","valid","","2018-10-24 18:16:16"
"family","Crocodylidae","valid","","2018-10-24 18:16:06"
"family","Cryptodira","valid","","2018-10-24 18:16:06"
"family","Ctenidae","valid","","2018-10-24 18:16:06"
"family","Cuculidae","valid","","2018-10-24 18:16:06"
"family","Cuniculidae","valid","","2018-10-24 18:16:16"
"family","Curculionidae","valid","","2018-10-24 18:16:16"
"family","Cyclopedidae","valid","","2018-10-24 18:16:16"
"family","Dactyloidae","valid","","2018-10-24 18:16:16"
"family","Dasyornithidae","valid","","2018-10-24 18:16:06"
"family","Dasypodidae","valid","","2018-10-24 18:16:06"
"family","Dasyproctidae","valid","","2018-10-24 18:16:06"
"family","Dasyuridae","valid","","2019-01-19 09:00:12"
"family","Daubentoniidae","valid","","2018-10-24 18:16:06"
"family","Deinopidae","valid","","2018-10-24 18:16:06"
"family","Desmodontidae","valid","","2020-12-20 15:57:50"
"family","Dicaeidae","valid","","2018-10-24 18:16:06"
"family","Dicruridae","valid","","2018-10-24 18:16:06"
"family","Didelphidae","valid","","2018-10-24 18:16:06"
"family","Diomedediae","valid","","2018-10-24 18:16:16"
