"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","spinosa","male","brain size ",23651990.5,"um3",,,1,"supplementary material says data is in u3? In text units are um3 - no body mass recorded ",151,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627","micro-CT",""
2,"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","spinosa","female","brain size ",21258007.3,"um3",,,1,"",151,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627","micro-CT",""
3,"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","spinosa","male","brain size ",23490669,"um3",,,1,"",151,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627","micro-CT",""
4,"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","spinosa","female","brain size ",22163868.2,"um3",,,1,"",151,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627","micro-CT",""
5,"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","spinosa","male","brain size ",28437873.9,"um3",,,1,"",151,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627","micro-CT",""
6,"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","spinosa","male","brain size ",23521706.8,"um3",,,1,"",151,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627","micro-CT",""
7,"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","spinosa","female","brain size ",20384559.7,"um3",,,1,"",151,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627","micro-CT",""
8,"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","spinosa","female","brain size ",33749982.2,"um3",,,1,"",151,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627","micro-CT",""
9,"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","spinosa","female","brain size ",38713309.3,"um3",,,1,"",151,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627","micro-CT",""
10,"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","spinosa","female","brain size ",24437112,"um3",,,1,"",151,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627","micro-CT",""
11,"Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","spinosa","male","brain size ",37418040.8,"um3",,,1,"",151,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627","micro-CT",""
