"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Aves","Passeriformes","Corvidae","Pica","nuttalli",,"mass",160,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.",,
1,"Chordata","Aves","Passeriformes","Corvidae","Pica","nuttalli",,"brain size ",4.3,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
2,"Chordata","Aves","Passeriformes","Corvidae","Ptilostomus","afer",,"mass",130,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.",,
2,"Chordata","Aves","Passeriformes","Corvidae","Ptilostomus","afer",,"brain size ",2.9,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
3,"Chordata","Aves","Passeriformes","Corvidae","Corvus","crassirostris",,"brain size ",14,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
4,"Chordata","Aves","Passeriformes","Corvidae","Corvus","rhipidurus",,"mass",745,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.",,
4,"Chordata","Aves","Passeriformes","Corvidae","Corvus","rhipidurus",,"brain size ",9.4,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
5,"Chordata","Aves","Passeriformes","Corvidae","Corvus","cryptoleucus",,"mass",535,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.",,
5,"Chordata","Aves","Passeriformes","Corvidae","Corvus","cryptoleucus",,"brain size ",8.7,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
6,"Chordata","Aves","Passeriformes","Corvidae","Corvus","torquatus",,"brain size ",8,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
7,"Chordata","Aves","Passeriformes","Corvidae","Corvus","caurinus",,"mass",390,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.",,
7,"Chordata","Aves","Passeriformes","Corvidae","Corvus","caurinus",,"brain size ",7,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
8,"Chordata","Aves","Passeriformes","Corvidae","Corvus","ossifragus",,"mass",285,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.",,
8,"Chordata","Aves","Passeriformes","Corvidae","Corvus","ossifragus",,"brain size ",6.7,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
9,"Chordata","Aves","Passeriformes","Corvidae","Corvus","imparatus",,"brain size ",4.4,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
10,"Chordata","Aves","Passeriformes","Corvidae","Corvus","palmarum",,"mass",290,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.",,
10,"Chordata","Aves","Passeriformes","Corvidae","Corvus","palmarum",,"brain size ",5.9,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
11,"Chordata","Aves","Passeriformes","Corvidae","Corvus","nasicus",,"mass",360,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.",,
11,"Chordata","Aves","Passeriformes","Corvidae","Corvus","nasicus",,"brain size ",5.9,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
12,"Chordata","Aves","Passeriformes","Corvidae","Corvus","leucognaphalus",,"brain size ",8.7,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
13,"Chordata","Aves","Passeriformes","Corvidae","Corvus","jamaicensis",,"brain size ",7,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
14,"Chordata","Aves","Passeriformes","Corvidae","Corvus","enca",,"mass",240,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.",,
14,"Chordata","Aves","Passeriformes","Corvidae","Corvus","enca",,"brain size ",6.6,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
15,"Chordata","Aves","Passeriformes","Corvidae","Corvus","orru",,"mass",435,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.",,
15,"Chordata","Aves","Passeriformes","Corvidae","Corvus","orru",,"brain size ",8.1,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
16,"Chordata","Aves","Passeriformes","Corvidae","Corvus","bennetti",,"mass",430,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.",,
16,"Chordata","Aves","Passeriformes","Corvidae","Corvus","bennetti",,"brain size ",7.9,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
17,"Chordata","Aves","Passeriformes","Corvidae","Corvus","validus",,"brain size ",8.7,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
18,"Chordata","Aves","Passeriformes","Corvidae","Corvus","tristis",,"mass",635,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.",,
18,"Chordata","Aves","Passeriformes","Corvidae","Corvus","tristis",,"brain size ",10.3,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
19,"Chordata","Aves","Passeriformes","Corvidae","Corvus","moneduloides",,"mass",275,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.",,
19,"Chordata","Aves","Passeriformes","Corvidae","Corvus","moneduloides",,"brain size ",6.3,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
20,"Chordata","Aves","Passeriformes","Corvidae","Corvus","tropicus",,"brain size ",9.9,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
21,"Chordata","Aves","Passeriformes","Corvidae","Corvus","macrorhynchos",,"mass",490,"g",,,2,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.",,
21,"Chordata","Aves","Passeriformes","Corvidae","Corvus","macrorhynchos",,"brain size ",9.7,"g",,,2,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
22,"Chordata","Aves","Passeriformes","Corvidae","Corvus","splendens",,"mass",295,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.",,
22,"Chordata","Aves","Passeriformes","Corvidae","Corvus","splendens",,"brain size ",5.7,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
23,"Chordata","Aves","Passeriformes","Corvidae","Pyrrhocorax","graculus",,"mass",150,"g",,,2,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.",,
23,"Chordata","Aves","Passeriformes","Corvidae","Pyrrhocorax","graculus",,"brain size ",3.5,"g",,,2,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
24,"Chordata","Aves","Passeriformes","Corvidae","Pyrrhocorax","pyrrhocorax",,"mass",300,"g",,,3,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.",,
24,"Chordata","Aves","Passeriformes","Corvidae","Pyrrhocorax","pyrrhocorax",,"brain size ",6.1,"g",,,3,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
25,"Chordata","Aves","Passeriformes","Corvidae","Podoces","hendersoni",,"mass",120,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.",,
25,"Chordata","Aves","Passeriformes","Corvidae","Podoces","hendersoni",,"brain size ",3.9,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
26,"Chordata","Aves","Passeriformes","Corvidae","Podoces","panderi",,"brain size ",2.6,"g",,,1,,172,"Mlíkovský, 2003","2003","Mlíkovský, J. (2003). Brain size and forearmen magnum area in crows and allies (Aves: Corvidae). Acta Soc Zool Bohem, 67(1-4), 203-211.","skull filling",""
