observationID,phylum,class,order,family,genus,specificEpithet,sex,measurementType,measurementValue,measurementUnit,temperature,respiratoryQuotient,sampleSizeValue,comments,reference,inTextReference,publicationYear,fullReference,measurementMethod,metadataComment
1,Chordata,Aves,Casuariiformes,Casuariidae,Casuarius ,casuarius,,mass,43850,g,,,,"brain volume is raw in this source, but body mass is from the handbook of australian, new zealand and antartic birds (volumes 1-7)",142,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014",2014,"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",, 
1,Chordata,Aves,Casuariiformes,Casuariidae,Casuarius ,casuarius,,brain size ,36.35,ml,,,2,relative brain weight ,142,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014",2014,"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",skull filling,
2,Chordata,Aves,Casuariiformes,Casuariidae,Dromaius ,novaehollandiae,,mass,36500,g,,,,,142,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014",2014,"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",,
2,Chordata,Aves,Casuariiformes,Casuariidae,Dromaius ,novaehollandiae,,brain size ,28.88,ml,,,4,,142,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014",2014,"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",skull filling,
3,Chordata,Aves,Galliformes,Megapodiidae,Alectura ,lathami,,mass,2300,g,,,,,142,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014",2014,"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",,
3,Chordata,Aves,Galliformes,Megapodiidae,Alectura ,lathami,,brain size ,5.68,ml,,,7,,142,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014",2014,"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",skull filling,
4,Chordata,Aves,Galliformes,Megapodiidae,Leipoa ,ocellata,,mass,2000,g,,,,,142,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014",2014,"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",,
4,Chordata,Aves,Galliformes,Megapodiidae,Leipoa ,ocellata,,brain size ,4.5,ml,,,7,,142,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014",2014,"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",skull filling,
5,Chordata,Aves,Galliformes,Phasianidae,Coturnix ,pectoralis,,mass,105,g,,,,,142,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014",2014,"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",,
5,Chordata,Aves,Galliformes,Phasianidae,Coturnix ,pectoralis,,brain size ,0.96,ml,,,9,,142,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014",2014,"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",skull filling,
