"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","longirostris","","brain size",4.57,"ml",,,7,,159,"Guay, Weston, Symonds, & Glover, 2013",2013,"Guay, P., Weston, M., Symonds, M., & Glover, H. (2013). Brains and bravery: Little evidence of a relationship between brain size and flightiness in shorebirds. Austral Ecology, 38(5), 516-522. doi:10.1111/j.1442-9993.2012.02441.x","skull filling",
1,"Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","longirostris","","body mass",678.1,"g",,,7,,159,"Guay, Weston, Symonds, & Glover, 2013",2013,"Guay, P., Weston, M., Symonds, M., & Glover, H. (2013). Brains and bravery: Little evidence of a relationship between brain size and flightiness in shorebirds. Austral Ecology, 38(5), 516-522. doi:10.1111/j.1442-9993.2012.02441.x","",
2,"Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","fuliginosus","","brain size",5.21,"ml",,,7,,159,"Guay, Weston, Symonds, & Glover, 2013",2013,"Guay, P., Weston, M., Symonds, M., & Glover, H. (2013). Brains and bravery: Little evidence of a relationship between brain size and flightiness in shorebirds. Austral Ecology, 38(5), 516-522. doi:10.1111/j.1442-9993.2012.02441.x","skull filling",
2,"Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","fuliginosus","","body mass",759.4,"g",,,7,,159,"Guay, Weston, Symonds, & Glover, 2013",2013,"Guay, P., Weston, M., Symonds, M., & Glover, H. (2013). Brains and bravery: Little evidence of a relationship between brain size and flightiness in shorebirds. Austral Ecology, 38(5), 516-522. doi:10.1111/j.1442-9993.2012.02441.x","",
3,"Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","himantopus","","brain size",1.9,"ml",,,9,,159,"Guay, Weston, Symonds, & Glover, 2013",2013,"Guay, P., Weston, M., Symonds, M., & Glover, H. (2013). Brains and bravery: Little evidence of a relationship between brain size and flightiness in shorebirds. Austral Ecology, 38(5), 516-522. doi:10.1111/j.1442-9993.2012.02441.x","skull filling",
3,"Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","himantopus","","body mass",174.4,"g",,,9,,159,"Guay, Weston, Symonds, & Glover, 2013",2013,"Guay, P., Weston, M., Symonds, M., & Glover, H. (2013). Brains and bravery: Little evidence of a relationship between brain size and flightiness in shorebirds. Austral Ecology, 38(5), 516-522. doi:10.1111/j.1442-9993.2012.02441.x","",
4,"Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","novaehollandiae","","brain size",2,"ml",,,6,,159,"Guay, Weston, Symonds, & Glover, 2013",2013,"Guay, P., Weston, M., Symonds, M., & Glover, H. (2013). Brains and bravery: Little evidence of a relationship between brain size and flightiness in shorebirds. Austral Ecology, 38(5), 516-522. doi:10.1111/j.1442-9993.2012.02441.x","skull filling",
4,"Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","novaehollandiae","","body mass",324.4,"g",,,6,,159,"Guay, Weston, Symonds, & Glover, 2013",2013,"Guay, P., Weston, M., Symonds, M., & Glover, H. (2013). Brains and bravery: Little evidence of a relationship between brain size and flightiness in shorebirds. Austral Ecology, 38(5), 516-522. doi:10.1111/j.1442-9993.2012.02441.x","",
5,"Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis","fulva","","brain size",1.93,"ml",,,3,,159,"Guay, Weston, Symonds, & Glover, 2013",2013,"Guay, P., Weston, M., Symonds, M., & Glover, H. (2013). Brains and bravery: Little evidence of a relationship between brain size and flightiness in shorebirds. Austral Ecology, 38(5), 516-522. doi:10.1111/j.1442-9993.2012.02441.x","skull filling",
5,"Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis","fulva","","body mass",129.1,"g",,,3,,159,"Guay, Weston, Symonds, & Glover, 2013",2013,"Guay, P., Weston, M., Symonds, M., & Glover, H. (2013). Brains and bravery: Little evidence of a relationship between brain size and flightiness in shorebirds. Austral Ecology, 38(5), 516-522. doi:10.1111/j.1442-9993.2012.02441.x","",
