"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Aves","Anseriformes","Anseranatidae","Anseranas","semipalmata",,"brain size ",8.99,"ml",,,9,"brain volume ",143,"Guay & Iwaniuk, 2008","2008","Guay, P.-J., & Iwaniuk, A. N. (2008). Captive breeding reduces brain volume in waterfowl (Anseriformes). The Condor, 110(2), 276-284. doi:10.1525/cond.2008.8424","skull filling",""
2,"Chordata","Aves","Anseriformes","Anseranatidae","Anseranas","semipalmata",,"brain size ",8.61,"ml",,,3,"",143,"Guay & Iwaniuk, 2008","2008","Guay, P.-J., & Iwaniuk, A. N. (2008). Captive breeding reduces brain volume in waterfowl (Anseriformes). The Condor, 110(2), 276-284. doi:10.1525/cond.2008.8424","skull filling",""
3,"Chordata","Aves","Anseriformes","Anatidae","Dendrocygna","viduata",,"brain size ",4.4,"ml",,,7,"",143,"Guay & Iwaniuk, 2008","2008","Guay, P.-J., & Iwaniuk, A. N. (2008). Captive breeding reduces brain volume in waterfowl (Anseriformes). The Condor, 110(2), 276-284. doi:10.1525/cond.2008.8424","skull filling",""
4,"Chordata","Aves","Anseriformes","Anatidae","Dendrocygna","viduata",,"brain size ",4.23,"ml",,,3,"",143,"Guay & Iwaniuk, 2008","2008","Guay, P.-J., & Iwaniuk, A. N. (2008). Captive breeding reduces brain volume in waterfowl (Anseriformes). The Condor, 110(2), 276-284. doi:10.1525/cond.2008.8424","skull filling",""
5,"Chordata","Aves","Anseriformes","Anatidae","Cygnus","olor",,"brain size ",14.83,"ml",,,10,"",143,"Guay & Iwaniuk, 2008","2008","Guay, P.-J., & Iwaniuk, A. N. (2008). Captive breeding reduces brain volume in waterfowl (Anseriformes). The Condor, 110(2), 276-284. doi:10.1525/cond.2008.8424","skull filling",""
6,"Chordata","Aves","Anseriformes","Anatidae","Cygnus","olor",,"brain size ",13.7,"ml",,,4,"",143,"Guay & Iwaniuk, 2008","2008","Guay, P.-J., & Iwaniuk, A. N. (2008). Captive breeding reduces brain volume in waterfowl (Anseriformes). The Condor, 110(2), 276-284. doi:10.1525/cond.2008.8424","skull filling",""
7,"Chordata","Aves","Anseriformes","Anatidae","Cygnus","atratus",,"brain size ",12.29,"ml",,,12,"",143,"Guay & Iwaniuk, 2008","2008","Guay, P.-J., & Iwaniuk, A. N. (2008). Captive breeding reduces brain volume in waterfowl (Anseriformes). The Condor, 110(2), 276-284. doi:10.1525/cond.2008.8424","skull filling",""
8,"Chordata","Aves","Anseriformes","Anatidae","Cygnus","atratus",,"brain size ",11.85,"ml",,,8,"",143,"Guay & Iwaniuk, 2008","2008","Guay, P.-J., & Iwaniuk, A. N. (2008). Captive breeding reduces brain volume in waterfowl (Anseriformes). The Condor, 110(2), 276-284. doi:10.1525/cond.2008.8424","skull filling",""
9,"Chordata","Aves","Anseriformes","Anatidae","Branta","canadensis ",,"brain size ",11.34,"ml",,,5,"",143,"Guay & Iwaniuk, 2008","2008","Guay, P.-J., & Iwaniuk, A. N. (2008). Captive breeding reduces brain volume in waterfowl (Anseriformes). The Condor, 110(2), 276-284. doi:10.1525/cond.2008.8424","skull filling",""
10,"Chordata","Aves","Anseriformes","Anatidae","Branta","canadensis ",,"brain size ",11.67,"ml",,,4,"",143,"Guay & Iwaniuk, 2008","2008","Guay, P.-J., & Iwaniuk, A. N. (2008). Captive breeding reduces brain volume in waterfowl (Anseriformes). The Condor, 110(2), 276-284. doi:10.1525/cond.2008.8424","skull filling",""
11,"Chordata","Aves","Anseriformes","Anatidae","Chloephaga","melanoptera",,"brain size ",7.36,"ml",,,3,"",143,"Guay & Iwaniuk, 2008","2008","Guay, P.-J., & Iwaniuk, A. N. (2008). Captive breeding reduces brain volume in waterfowl (Anseriformes). The Condor, 110(2), 276-284. doi:10.1525/cond.2008.8424","skull filling",""
