"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmecia","croslandi",,"mass",26.059,"mg",,,,,204,"Sheehan et al., 2019","2019","Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019) Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
1,"Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmecia","croslandi",,"brain size ",0.551,"mg",,,,,204,"Sheehan et al., 2019","2019","Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019) Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.","immunostaining and microscopy",""
2,"Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmecia","croslandi",,"mass",15.219,"mg",,,,,204,"Sheehan et al., 2019","2019","Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019) Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
2,"Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmecia","croslandi",,"brain size ",0.515,"mg",,,,,204,"Sheehan et al., 2019","2019","Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019) Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.","immunostaining and microscopy",""
3,"Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmecia","croslandi",,"mass",23.594,"mg",,,,,204,"Sheehan et al., 2019","2019","Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019) Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
3,"Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmecia","croslandi",,"brain size ",0.564,"mg",,,,,204,"Sheehan et al., 2019","2019","Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019) Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.","immunostaining and microscopy",""
4,"Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmecia","croslandi",,"mass",14.298,"mg",,,,,204,"Sheehan et al., 2019","2019","Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019) Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
4,"Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmecia","croslandi",,"brain size ",0.44,"mg",,,,,204,"Sheehan et al., 2019","2019","Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019) Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.","immunostaining and microscopy",""
5,"Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmecia","croslandi",,"mass",17.16,"mg",,,,,204,"Sheehan et al., 2019","2019","Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019) Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
5,"Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmecia","croslandi",,"brain size ",0.52,"mg",,,,,204,"Sheehan et al., 2019","2019","Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019) Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.","immunostaining and microscopy",""
