"X.U.FEFF.observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","impatiens ",,"brain size",3091301175,"um3",,,,"DONTWARN: checked, value correct",162,"Muscedere, Gronenberg, Moreau, & Traniello, 2014",2014,"Muscedere, M. L., Gronenberg, W., Moreau, C. S., & Traniello, J. F. A. (2014). Investment in higher order central processing regions is not constrained by brain size in social insects. Proceedings of the Royal Society B: Biological Sciences, 281(1784). doi:10.1098/rspb.2014.0217","immunostaining and microscopy",
2,"Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","impatiens ",,"brain size",2514185860,"um3",,,,"DONTWARN: checked, value correct",162,"Muscedere, Gronenberg, Moreau, & Traniello, 2014",2014,"Muscedere, M. L., Gronenberg, W., Moreau, C. S., & Traniello, J. F. A. (2014). Investment in higher order central processing regions is not constrained by brain size in social insects. Proceedings of the Royal Society B: Biological Sciences, 281(1784). doi:10.1098/rspb.2014.0217","immunostaining and microscopy",
3,"Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","impatiens ",,"brain size",704103307.3,"um3",,,,"DONTWARN: checked, value correct",162,"Muscedere, Gronenberg, Moreau, & Traniello, 2014",2014,"Muscedere, M. L., Gronenberg, W., Moreau, C. S., & Traniello, J. F. A. (2014). Investment in higher order central processing regions is not constrained by brain size in social insects. Proceedings of the Royal Society B: Biological Sciences, 281(1784). doi:10.1098/rspb.2014.0217","immunostaining and microscopy",
4,"Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","impatiens ",,"brain size",568809844.2,"um3",,,,"DONTWARN: checked, value correct",162,"Muscedere, Gronenberg, Moreau, & Traniello, 2014",2014,"Muscedere, M. L., Gronenberg, W., Moreau, C. S., & Traniello, J. F. A. (2014). Investment in higher order central processing regions is not constrained by brain size in social insects. Proceedings of the Royal Society B: Biological Sciences, 281(1784). doi:10.1098/rspb.2014.0217","immunostaining and microscopy",
5,"Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","impatiens ",,"brain size",850834375,"um3",,,,"DONTWARN: checked, value correct",162,"Muscedere, Gronenberg, Moreau, & Traniello, 2014",2014,"Muscedere, M. L., Gronenberg, W., Moreau, C. S., & Traniello, J. F. A. (2014). Investment in higher order central processing regions is not constrained by brain size in social insects. Proceedings of the Royal Society B: Biological Sciences, 281(1784). doi:10.1098/rspb.2014.0217","immunostaining and microscopy",
6,"Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","impatiens ",,"brain size",2581065365,"um3",,,,"DONTWARN: checked, value correct",162,"Muscedere, Gronenberg, Moreau, & Traniello, 2014",2014,"Muscedere, M. L., Gronenberg, W., Moreau, C. S., & Traniello, J. F. A. (2014). Investment in higher order central processing regions is not constrained by brain size in social insects. Proceedings of the Royal Society B: Biological Sciences, 281(1784). doi:10.1098/rspb.2014.0217","immunostaining and microscopy",
7,"Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","impatiens ",,"brain size",2337071528,"um3",,,,"DONTWARN: checked, value correct",162,"Muscedere, Gronenberg, Moreau, & Traniello, 2014",2014,"Muscedere, M. L., Gronenberg, W., Moreau, C. S., & Traniello, J. F. A. (2014). Investment in higher order central processing regions is not constrained by brain size in social insects. Proceedings of the Royal Society B: Biological Sciences, 281(1784). doi:10.1098/rspb.2014.0217","immunostaining and microscopy",
8,"Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","impatiens ",,"brain size",1402377336,"um3",,,,"DONTWARN: checked, value correct",162,"Muscedere, Gronenberg, Moreau, & Traniello, 2014",2014,"Muscedere, M. L., Gronenberg, W., Moreau, C. S., & Traniello, J. F. A. (2014). Investment in higher order central processing regions is not constrained by brain size in social insects. Proceedings of the Royal Society B: Biological Sciences, 281(1784). doi:10.1098/rspb.2014.0217","immunostaining and microscopy",
9,"Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","impatiens ",,"brain size",2050742650,"um3",,,,"DONTWARN: checked, value correct",162,"Muscedere, Gronenberg, Moreau, & Traniello, 2014",2014,"Muscedere, M. L., Gronenberg, W., Moreau, C. S., & Traniello, J. F. A. (2014). Investment in higher order central processing regions is not constrained by brain size in social insects. Proceedings of the Royal Society B: Biological Sciences, 281(1784). doi:10.1098/rspb.2014.0217","immunostaining and microscopy",
10,"Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","impatiens ",,"brain size",1627323379,"um3",,,,"DONTWARN: checked, value correct",162,"Muscedere, Gronenberg, Moreau, & Traniello, 2014",2014,"Muscedere, M. L., Gronenberg, W., Moreau, C. S., & Traniello, J. F. A. (2014). Investment in higher order central processing regions is not constrained by brain size in social insects. Proceedings of the Royal Society B: Biological Sciences, 281(1784). doi:10.1098/rspb.2014.0217","immunostaining and microscopy",
