"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Arthropoda","Insecta","Hymenoptera","Formicidae","Cephalotes ","varians ",,"brain size",24054125.02,"um3",,,,"minor",207,"Gordon, et al., 2019","2019","Gordon, D.G., Zelaya, A., Arganda-Carreras, I., Arganda, S. & Traniello, J.F.A. (2019) Division of labor and brain evolution in insect societies: Neurobiology of extreme specialization in the turtle ant Cephalotes varians. PLOS ONE, 14, e0213618.","immunostaining and microscopy",""
2,"Arthropoda","Insecta","Hymenoptera","Formicidae","Cephalotes ","varians ",,"brain size",26309566.32,"um3",,,,"minor",207,"Gordon, et al., 2019","2019","Gordon, D.G., Zelaya, A., Arganda-Carreras, I., Arganda, S. & Traniello, J.F.A. (2019) Division of labor and brain evolution in insect societies: Neurobiology of extreme specialization in the turtle ant Cephalotes varians. PLOS ONE, 14, e0213618.","immunostaining and microscopy",""
3,"Arthropoda","Insecta","Hymenoptera","Formicidae","Cephalotes ","varians ",,"brain size",26739835.04,"um3",,,,"minor",207,"Gordon, et al., 2019","2019","Gordon, D.G., Zelaya, A., Arganda-Carreras, I., Arganda, S. & Traniello, J.F.A. (2019) Division of labor and brain evolution in insect societies: Neurobiology of extreme specialization in the turtle ant Cephalotes varians. PLOS ONE, 14, e0213618.","immunostaining and microscopy",""
4,"Arthropoda","Insecta","Hymenoptera","Formicidae","Cephalotes ","varians ",,"brain size",27073296.9,"um3",,,,"minor",207,"Gordon, et al., 2019","2019","Gordon, D.G., Zelaya, A., Arganda-Carreras, I., Arganda, S. & Traniello, J.F.A. (2019) Division of labor and brain evolution in insect societies: Neurobiology of extreme specialization in the turtle ant Cephalotes varians. PLOS ONE, 14, e0213618.","immunostaining and microscopy",""
5,"Arthropoda","Insecta","Hymenoptera","Formicidae","Cephalotes ","varians ",,"brain size",26419455.82,"um3",,,,"minor",207,"Gordon, et al., 2019","2019","Gordon, D.G., Zelaya, A., Arganda-Carreras, I., Arganda, S. & Traniello, J.F.A. (2019) Division of labor and brain evolution in insect societies: Neurobiology of extreme specialization in the turtle ant Cephalotes varians. PLOS ONE, 14, e0213618.","immunostaining and microscopy",""
6,"Arthropoda","Insecta","Hymenoptera","Formicidae","Cephalotes ","varians ",,"brain size",26703999.12,"um3",,,,"minor",207,"Gordon, et al., 2019","2019","Gordon, D.G., Zelaya, A., Arganda-Carreras, I., Arganda, S. & Traniello, J.F.A. (2019) Division of labor and brain evolution in insect societies: Neurobiology of extreme specialization in the turtle ant Cephalotes varians. PLOS ONE, 14, e0213618.","immunostaining and microscopy",""
7,"Arthropoda","Insecta","Hymenoptera","Formicidae","Cephalotes ","varians ",,"brain size",20797689.34,"um3",,,,"minor",207,"Gordon, et al., 2019","2019","Gordon, D.G., Zelaya, A., Arganda-Carreras, I., Arganda, S. & Traniello, J.F.A. (2019) Division of labor and brain evolution in insect societies: Neurobiology of extreme specialization in the turtle ant Cephalotes varians. PLOS ONE, 14, e0213618.","immunostaining and microscopy",""
8,"Arthropoda","Insecta","Hymenoptera","Formicidae","Cephalotes ","varians ",,"brain size",22358328.58,"um3",,,,"minor",207,"Gordon, et al., 2019","2019","Gordon, D.G., Zelaya, A., Arganda-Carreras, I., Arganda, S. & Traniello, J.F.A. (2019) Division of labor and brain evolution in insect societies: Neurobiology of extreme specialization in the turtle ant Cephalotes varians. PLOS ONE, 14, e0213618.","immunostaining and microscopy",""
9,"Arthropoda","Insecta","Hymenoptera","Formicidae","Cephalotes ","varians ",,"brain size",21682537.52,"um3",,,,"minor",207,"Gordon, et al., 2019","2019","Gordon, D.G., Zelaya, A., Arganda-Carreras, I., Arganda, S. & Traniello, J.F.A. (2019) Division of labor and brain evolution in insect societies: Neurobiology of extreme specialization in the turtle ant Cephalotes varians. PLOS ONE, 14, e0213618.","immunostaining and microscopy",""
10,"Arthropoda","Insecta","Hymenoptera","Formicidae","Cephalotes ","varians ",,"brain size",28638159.24,"um3",,,,"minor",207,"Gordon, et al., 2019","2019","Gordon, D.G., Zelaya, A., Arganda-Carreras, I., Arganda, S. & Traniello, J.F.A. (2019) Division of labor and brain evolution in insect societies: Neurobiology of extreme specialization in the turtle ant Cephalotes varians. PLOS ONE, 14, e0213618.","immunostaining and microscopy",""
