"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","australis","male and female","brain size",307.5,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
2,"Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","forsteri","male and female","brain size",320,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
3,"Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","galapagoensis","male and female","brain size",291.25,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
4,"Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","gazella","male and female","brain size",340,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
5,"Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","philippii","male","brain size",415,"g",,,1,"",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
6,"Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","pusillus","male and female","brain size",369.38,"g",,,4,"brain sze averaged from 4 individuls including two subspecies",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
7,"Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","tropicalis","male and female","brain size",326.25,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
8,"Chordata","Mammalia","Carnivora","Otariidae","Callorhinus","ursinus","male and female","brain size",318.75,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
9,"Chordata","Mammalia","Carnivora","Phocidae","Cystophora","cristata","male and female","brain size",455,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
10,"Chordata","Mammalia","Carnivora","Otariidae","Eumetopias","jubatus","male and female","brain size",661.25,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
11,"Chordata","Mammalia","Carnivora","Phocidae","Halichoerus","grypus","male and female","brain size",307.5,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
12,"Chordata","Mammalia","Carnivora","Phocidae","Hydrurga","leptonyx","male and female","brain size",712.5,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
13,"Chordata","Mammalia","Carnivora","Phocidae","Leptonychotes","weddellii","male and female","brain size",586.25,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
14,"Chordata","Mammalia","Carnivora","Phocidae","Lobodon","carcinophagus","male and female","brain size",586.25,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
15,"Chordata","Mammalia","Carnivora","Phocidae","Mirounga","leonina","male and female","brain size",1205,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
16,"Chordata","Mammalia","Carnivora","Phocidae","Monachus","monachus","male and female","brain size",480,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
17,"Chordata","Mammalia","Carnivora","Phocidae","Monachus","schauinslandi","male","brain size",370,"g",,,1,"",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
18,"Chordata","Mammalia","Carnivora","Phocidae","Monachus","tropicalis","male","brain size",460,"g",,,1,"",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
19,"Chordata","Mammalia","Carnivora","Otariidae","Neophoca","cinerea","male and female","brain size",388.75,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
20,"Chordata","Mammalia","Carnivora","Odobenidae","Odobenus","rosmarus","male and female","brain size",1410.25,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
21,"Chordata","Mammalia","Carnivora","Phocidae","Ommatophoca","rossii","male and female","brain size",495,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
22,"Chordata","Mammalia","Carnivora","Otariidae","Otaria","byronia","male and female","brain size",506.25,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
23,"Chordata","Mammalia","Carnivora","Phocidae","Phoca","caspica","male and female","brain size",162.5,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
24,"Chordata","Mammalia","Carnivora","Phocidae","Phoca","fasciata","male and female","brain size",248.75,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
25,"Chordata","Mammalia","Carnivora","Phocidae","Phoca","groenlandica","male and female","brain size",275,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
26,"Chordata","Mammalia","Carnivora","Phocidae","Phoca","hispida","male and female","brain size",196.25,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
27,"Chordata","Mammalia","Carnivora","Phocidae","Phoca","largha","male and female","brain size",253.75,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
28,"Chordata","Mammalia","Carnivora","Phocidae","Phoca","sibirica","male and female","brain size",187.5,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
29,"Chordata","Mammalia","Carnivora","Phocidae","Phoca","vitulina","male and female","brain size",273.75,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
30,"Chordata","Mammalia","Carnivora","Otariidae","Phocarctos","hookeri","male and female","brain size",393.75,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
31,"Chordata","Mammalia","Carnivora","Otariidae","Zalophus","californianus","male and female","brain size",405,"g",,,2,"brain size average from one male and one female",216,"Bininda-Ermonds,2000","2000","Bininda-Emonds, O. R. (2000). Pinniped brain sizes. Marine Mammal Science, 16(2), 469-481.","skull filling",""
