"X.U.FEFF.observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Mammalia","Chiroptera","Phyllostomatidae ","Artibeus","jamaicensis",,"brain size",930,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
2,"Chordata","Mammalia","Chiroptera","Phyllostomatidae ","Artibeus","lituratus",,"brain size",1050,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
3,"Chordata","Mammalia","Chiroptera","Phyllostomatidae ","Carollia","perspicillata",,"brain size",470,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
4,"Chordata","Mammalia","Chiroptera","Pteropidae","Casinycteris","argynnis",,"brain size",920,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
5,"Chordata","Mammalia","Chiroptera","Pteropidae","Cynopterus","brachyotis",,"brain size",880,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
6,"Chordata","Mammalia","Chiroptera","Pteropidae","Cynopterus","horsfieldi",,"brain size",1230,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
7,"Chordata","Mammalia","Chiroptera","Desmodontidae ","Diaemus","youngi",,"brain size",970,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
8,"Chordata","Mammalia","Chiroptera","Desmodontidae ","Diaemus","rotundus",,"brain size",860,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
9,"Chordata","Mammalia","Chiroptera","Pteropidae","Eonycteris","spelea",,"brain size",1180,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
10,"Chordata","Mammalia","Chiroptera","Phyllostomatidae ","Glossophaga","soricina",,"brain size",390,"mg",,,,,218,"Pirlot & Stephan, 1970",1970,"Pirlot, P., & Stephan, H. (1970). Encephalization in chiroptera. Canadian Journal of Zoology, 48(3), 433-444.","brain weighed",""
