"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Mammalia","Primates","Cercopithecidae","Semnopithecus","entellus",,"brain size",111.5,"g",,,,"",203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,"German?"
1,"Chordata","Mammalia","Primates","Cercopithecidae","Semnopithecus","entellus",,"body mass",7010,"g",,,,"",203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,""
2,"Chordata","Mammalia","Primates","Cercopithecidae","Semnopithecus","entellus",,"brain size",105,"g",,,,"",203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,"German?"
2,"Chordata","Mammalia","Primates","Cercopithecidae","Semnopithecus","entellus",,"body mass",4400,"g",,,,"",203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,""
3,"Chordata","Mammalia","Primates","Cercopithecidae","Cercopithecus","callitrichus",,"brain size",81.5,"g",,,,"",203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,"German?"
3,"Chordata","Mammalia","Primates","Cercopithecidae","Cercopithecus","callitrichus",,"body mass",3000,"g",,,,"",203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,""
4,"Chordata","Mammalia","Primates","Cercopithecidae","Cercopithecus","griseoviridis",,"brain size",60,"g",,,,"",203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,"German?"
4,"Chordata","Mammalia","Primates","Cercopithecidae","Cercopithecus","griseoviridis",,"body mass",1908,"g",,,,"",203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,""
5,"Chordata","Mammalia","Primates","Cercopithecidae","Cercopithecus","cynosurus",,"brain size",72,"g",,,,"",203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,"German?"
5,"Chordata","Mammalia","Primates","Cercopithecidae","Cercopithecus","cynosurus",,"body mass",2920,"g",,,,"",203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,""
