"X.U.FEFF.observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Mammalia","Primates","Atelidae","Alouatta","palliata","male","body mass",6917,"g",,,,"",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","",
1,"Chordata","Mammalia","Primates","Atelidae","Alouatta","palliata","male","brain size",63.78,"g",,,,"",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","brain weighed",
2,"Chordata","Mammalia","Primates","Atelidae","Alouatta","palliata","male","body mass",7824.5,"g",,,,"",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","",
2,"Chordata","Mammalia","Primates","Atelidae","Alouatta","palliata","male","brain size",65.53,"g",,,,"",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","brain weighed",
3,"Chordata","Mammalia","Primates","Atelidae","Alouatta","palliata","male","body mass",7257.5,"g",,,,"",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","",
3,"Chordata","Mammalia","Primates","Atelidae","Alouatta","palliata","male","brain size",60.22,"g",,,,"",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","brain weighed",
4,"Chordata","Mammalia","Primates","Atelidae","Alouatta","palliata","male","body mass",7031,"g",,,,"",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","",
4,"Chordata","Mammalia","Primates","Atelidae","Alouatta","palliata","male","brain size",54.9,"g",,,,"",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","brain weighed",
5,"Chordata","Mammalia","Primates","Atelidae","Alouatta","palliata","male","body mass",7484,"g",,,,"",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","",
5,"Chordata","Mammalia","Primates","Atelidae","Alouatta","palliata","male","brain size",56.7,"g",,,,"",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","brain weighed",
6,"Chordata","Mammalia","Primates","Atelidae","Alouatta","palliata","male","body mass",7257.5,"g",,,,"",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","",
6,"Chordata","Mammalia","Primates","Atelidae","Alouatta","palliata","male","brain size",56.7,"g",,,,"",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","brain weighed",
7,"Chordata","Mammalia","Primates","Atelidae","Alouatta","palliata","male","body mass",7031,"g",,,,"",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","",
7,"Chordata","Mammalia","Primates","Atelidae","Alouatta","palliata","male","brain size",53.13,"g",,,,"",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","brain weighed",
8,"Chordata","Mammalia","Primates","Atelidae","Ateles","geoffroyi","female","body mass",2268,"g",,,,"brain abd body size corrected",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","",
8,"Chordata","Mammalia","Primates","Atelidae","Ateles","geoffroyi","female","brain size",94.5,"g",,,,"brain abd body size corrected",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","brain weighed",
9,"Chordata","Mammalia","Primates","Atelidae","Ateles","geoffroyi","male","body mass",1835,"g",,,,"brain abd body size corrected",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","",
9,"Chordata","Mammalia","Primates","Atelidae","Ateles","geoffroyi","male","brain size",91,"g",,,,"brain abd body size corrected",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","brain weighed",
10,"Chordata","Mammalia","Primates","Atelidae","Ateles","geoffroyi","male","body mass",2268,"g",,,,"brain abd body size corrected",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","",
10,"Chordata","Mammalia","Primates","Atelidae","Ateles","geoffroyi","male","brain size",82,"g",,,,"brain abd body size corrected",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","brain weighed",
11,"Chordata","Mammalia","Primates","Atelidae","Ateles","geoffroyi","male","body mass",1920,"g",,,,"brain abd body size corrected",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","",
11,"Chordata","Mammalia","Primates","Atelidae","Ateles","geoffroyi","male","brain size",95.5,"g",,,,"brain abd body size corrected",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","brain weighed",
12,"Chordata","Mammalia","Primates","Atelidae","Ateles","geoffroyi","female","body mass",2155,"g",,,,"brain abd body size corrected",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","",
12,"Chordata","Mammalia","Primates","Atelidae","Ateles","geoffroyi","female","brain size",95,"g",,,,"brain abd body size corrected",160,"Hrdlicka, 1925",1925,"Hrdlicka, A. (1925). Weight of the brain and of the internal organs in American monkeys. With data on brain weight in other apes. American Journal of Physical Anthropology, 8(2), 201-211. doi:10.1002/ajpa.1330080207","brain weighed",
