"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Mammalia","Primates","Callitrichidae","Saguinus","oedipus","female","body mass",370,"g",,,47,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","",
1,"Chordata","Mammalia","Primates","Callitrichidae","Saguinus","oedipus","female","brain size",9.7,"g",,,47,"mean brain weight",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","brain weighed",
2,"Chordata","Mammalia","Primates","Callitrichidae","Saguinus","oedipus","male","body mass",370,"g",,,58,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","",
2,"Chordata","Mammalia","Primates","Callitrichidae","Saguinus","oedipus","male","brain size",9.2,"g",,,59,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","brain weighed",
3,"Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","female","body mass",630,"g",,,143,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","",
3,"Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","female","brain size",17.2,"g",,,140,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","brain weighed",
4,"Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","male","body mass",720,"g",,,116,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","",
4,"Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","male","brain size",17.2,"g",,,120,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","brain weighed",
5,"Chordata","Mammalia","Primates","Cebidae","Saimiri","sciureus","female","body mass",580,"g",,,57,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","",
5,"Chordata","Mammalia","Primates","Cebidae","Saimiri","sciureus","female","brain size",23.1,"g",,,58,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","brain weighed",
6,"Chordata","Mammalia","Primates","Cebidae","Saimiri","sciureus","male","body mass",720,"g",,,33,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","",
6,"Chordata","Mammalia","Primates","Cebidae","Saimiri","sciureus","male","brain size",25,"g",,,32,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","brain weighed",
7,"Chordata","Mammalia","Primates","Cebidae","Cebus","albifrons","female","body mass",1470,"g",,,21,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","",
7,"Chordata","Mammalia","Primates","Cebidae","Cebus","albifrons","female","brain size",60.7,"g",,,21,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","brain weighed",
8,"Chordata","Mammalia","Primates","Cebidae","Cebus","albifrons","male","body mass",1770,"g",,,45,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","",
8,"Chordata","Mammalia","Primates","Cebidae","Cebus","albifrons","male","brain size",65.2,"g",,,45,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","brain weighed",
9,"Chordata","Mammalia","Primates","Cebidae","Cebus","apella","female","body mass",1810,"g",,,11,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","",
9,"Chordata","Mammalia","Primates","Cebidae","Cebus","apella","female","brain size",62.6,"g",,,10,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","brain weighed",
10,"Chordata","Mammalia","Primates","Cebidae","Cebus","apella","male","body mass",2770,"g",,,7,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","",
10,"Chordata","Mammalia","Primates","Cebidae","Cebus","apella","male","brain size",70.8,"g",,,7,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","brain weighed",
11,"Chordata","Mammalia","Primates","Atelidae","Ateles","geoffroyi","female","body mass",4680,"g",,,11,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","",
11,"Chordata","Mammalia","Primates","Atelidae","Ateles","geoffroyi","female","brain size",107.7,"g",,,10,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","brain weighed",
12,"Chordata","Mammalia","Primates","Atelidae","Ateles","geoffroyi","male","body mass",4760,"g",,,4,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","",
12,"Chordata","Mammalia","Primates","Atelidae","Ateles","geoffroyi","male","brain size",107.6,"g",,,4,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","brain weighed",
13,"Chordata","Mammalia","Primates","Atelidae","Ateles","paniscus","female","body mass",5220,"g",,,15,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","",
13,"Chordata","Mammalia","Primates","Atelidae","Ateles","paniscus","female","brain size",101.2,"g",,,17,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","brain weighed",
14,"Chordata","Mammalia","Primates","Atelidae","Ateles","paniscus","male","body mass",5040,"g",,,6,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","",
14,"Chordata","Mammalia","Primates","Atelidae","Ateles","paniscus","male","brain size",106.5,"g",,,6,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","brain weighed",
15,"Chordata","Mammalia","Primates","Cercopithecidae","Chlorocebus","aethiops","female","body mass",3220,"g",,,6,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","",
15,"Chordata","Mammalia","Primates","Cercopithecidae","Chlorocebus","aethiops","female","brain size",66.1,"g",,,6,"",141,"Bronson, 1981",1981,"Bronson, R. (1981). Brain weight-body weight relationships in 12 species of nonhuman primates. American Journal of Physical Anthropology, 56(1), 77-81. doi:10.1002/ajpa.1330560109","brain weighed",
