"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Mammalia","Carnivora","Eupleridae","Cryptoprocta","ferox",,"brain size",36.78,"g",,,1,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","skull filling",
1,"Chordata","Mammalia","Carnivora","Eupleridae","Cryptoprocta","ferox",,"body mass",9500,"g",,,1,"total brain mass",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","",
2,"Chordata","Mammalia","Carnivora","Herpestidae","Atilax","paludinosus",,"brain size",27.84,"g",,,4,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","skull filling",
2,"Chordata","Mammalia","Carnivora","Herpestidae","Atilax","paludinosus",,"body mass",3300,"g",,,4,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","",
3,"Chordata","Mammalia","Carnivora","Herpestidae","Herpestes","urva",,"brain size",22.3,"g",,,4,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","skull filling",
3,"Chordata","Mammalia","Carnivora","Herpestidae","Herpestes","urva",,"body mass",1863,"g",,,4,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","",
4,"Chordata","Mammalia","Carnivora","Herpestidae","Paracynictis","selousi",,"brain size",16.73,"g",,,4,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","skull filling",
4,"Chordata","Mammalia","Carnivora","Herpestidae","Paracynictis","selousi",,"body mass",1640,"g",,,4,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","",
5,"Chordata","Mammalia","Carnivora","Mustelidae","Conepatus","chinga",,"brain size",16.32,"g",,,2,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","skull filling",
5,"Chordata","Mammalia","Carnivora","Mustelidae","Conepatus","chinga",,"body mass",1918,"g",,,2,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","",
6,"Chordata","Mammalia","Carnivora","Mustelidae","Conepatus","leuconotus",,"brain size",18.52,"g",,,4,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","skull filling",
6,"Chordata","Mammalia","Carnivora","Mustelidae","Conepatus","leuconotus",,"body mass",3500,"g",,,4,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","",
7,"Chordata","Mammalia","Carnivora","Mephitidae","Mephitis","mephitis",,"brain size",11.75,"g",,,10,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","skull filling",
7,"Chordata","Mammalia","Carnivora","Mephitidae","Mephitis","mephitis",,"body mass",1700,"g",,,10,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","",
8,"Chordata","Mammalia","Carnivora","Mephitidae","Mydaus","marchei",,"brain size",14.87,"g",,,4,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","skull filling",
8,"Chordata","Mammalia","Carnivora","Mephitidae","Mydaus","marchei",,"body mass",1414,"g",,,4,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","",
9,"Chordata","Mammalia","Carnivora","Mephitidae","Spilogale","gracilis",,"brain size",6.81,"g",,,10,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","skull filling",
9,"Chordata","Mammalia","Carnivora","Mephitidae","Spilogale","gracilis",,"body mass",420,"g",,,10,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","",
10,"Chordata","Mammalia","Carnivora","Mephitidae","Spilogale","putorius",,"brain size",7.33,"g",,,4,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","skull filling",
10,"Chordata","Mammalia","Carnivora","Mephitidae","Spilogale","putorius",,"body mass",341,"g",,,4,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","",
11,"Chordata","Mammalia","Carnivora","Mustelidae","Galictis","cuja",,"brain size",23.52,"g",,,2,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","skull filling",
11,"Chordata","Mammalia","Carnivora","Mustelidae","Galictis","cuja",,"body mass",1000,"g",,,2,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","",
12,"Chordata","Mammalia","Carnivora","Mustelidae","Ictonyx","striatus",,"brain size",8.17,"g",,,4,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","skull filling",
12,"Chordata","Mammalia","Carnivora","Mustelidae","Ictonyx","striatus",,"body mass",1300,"g",,,4,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","",
13,"Chordata","Mammalia","Carnivora","Mustelidae","Mellivora","capensis",,"brain size",86.04,"g",,,4,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","skull filling",
13,"Chordata","Mammalia","Carnivora","Mustelidae","Mellivora","capensis",,"body mass",9000,"g",,,4,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","",
14,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela","erminea",,"brain size",3.42,"g",,,10,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","skull filling",
14,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela","erminea",,"body mass",156,"g",,,10,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","",
15,"Chordata","Mammalia","Carnivora","Mustelidae","Poecilogale","albinucha",,"brain size",4.56,"g",,,1,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","skull filling",
15,"Chordata","Mammalia","Carnivora","Mustelidae","Poecilogale","albinucha",,"body mass",340,"g",,,1,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","",
16,"Chordata","Mammalia","Carnivora","Mustelidae","Taxidea","taxus",,"brain size",56,"g",,,10,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","skull filling",
16,"Chordata","Mammalia","Carnivora","Mustelidae","Taxidea","taxus",,"body mass",6000,"g",,,10,"",150,"Stankowich & Romero, 2017",2017,"Stankowich, T., & Romero, A. N. (2017). The correlated evolution of antipredator defences and brain size in mammals. Proceedings of the Royal Society B: Biological Sciences, 284(1846). doi:10.1098/rspb.2016.1857","",
