"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","measurementMethod","comments","reference","inTextReference","publicationYear","fullReference","metadataComment"
1,"Chordata","Mammalia","Primates","Cebidae","Saguinus","oedipus",,"brain size",9.64,"g",,,,,"family name from The mammal species of the world",217,"Boddy et al., 2012",2012,"Boddy, A. M., McGowen, M. R., Sherwood, C. C., Grossman, L. I., Goodman, M., & Wildman, D. E. (2012). Comparative analysis of encephalization in mammals reveals relaxed constraints on anthropoid primate and cetacean brain scaling. Journal of evolutionary biology, 25(5), 981-994.",
2,"Chordata","Mammalia","Carnivora","Ursidae","Ursus","arctos",,"brain size",335.97,"g",,,,,"family name from The mammal species of the world",217,"Boddy et al., 2012",2012,"Boddy, A. M., McGowen, M. R., Sherwood, C. C., Grossman, L. I., Goodman, M., & Wildman, D. E. (2012). Comparative analysis of encephalization in mammals reveals relaxed constraints on anthropoid primate and cetacean brain scaling. Journal of evolutionary biology, 25(5), 981-994.",
3,"Chordata","Mammalia","Primates","Hominidae","Pan","troglodytes",,"brain size",354.81,"g",,,,,"family name from The mammal species of the world",217,"Boddy et al., 2012",2012,"Boddy, A. M., McGowen, M. R., Sherwood, C. C., Grossman, L. I., Goodman, M., & Wildman, D. E. (2012). Comparative analysis of encephalization in mammals reveals relaxed constraints on anthropoid primate and cetacean brain scaling. Journal of evolutionary biology, 25(5), 981-994.",
4,"Chordata","Mammalia","Primates","Cebidae","Saguinus","geoffroyi",,"brain size",14.27,"g",,,,,"family name from The mammal species of the world",217,"Boddy et al., 2012",2012,"Boddy, A. M., McGowen, M. R., Sherwood, C. C., Grossman, L. I., Goodman, M., & Wildman, D. E. (2012). Comparative analysis of encephalization in mammals reveals relaxed constraints on anthropoid primate and cetacean brain scaling. Journal of evolutionary biology, 25(5), 981-994.",
5,"Chordata","Mammalia","Carnivora","Felidae","Panthera","tigris",,"brain size",269.73,"g",,,,,"family name from The mammal species of the world",217,"Boddy et al., 2012",2012,"Boddy, A. M., McGowen, M. R., Sherwood, C. C., Grossman, L. I., Goodman, M., & Wildman, D. E. (2012). Comparative analysis of encephalization in mammals reveals relaxed constraints on anthropoid primate and cetacean brain scaling. Journal of evolutionary biology, 25(5), 981-994.",
6,"Chordata","Mammalia","Xenarthra","Myrmecophagidae","Tamandua","tetradactyla",,"brain size",27.5,"g",,,,,"family name from The mammal species of the world",217,"Boddy et al., 2012",2012,"Boddy, A. M., McGowen, M. R., Sherwood, C. C., Grossman, L. I., Goodman, M., & Wildman, D. E. (2012). Comparative analysis of encephalization in mammals reveals relaxed constraints on anthropoid primate and cetacean brain scaling. Journal of evolutionary biology, 25(5), 981-994.",
7,"Chordata","Mammalia","Primates","Hominidae","Pongo","pygmaeus",,"brain size",341.99,"g",,,,,"family name from The mammal species of the world",217,"Boddy et al., 2012",2012,"Boddy, A. M., McGowen, M. R., Sherwood, C. C., Grossman, L. I., Goodman, M., & Wildman, D. E. (2012). Comparative analysis of encephalization in mammals reveals relaxed constraints on anthropoid primate and cetacean brain scaling. Journal of evolutionary biology, 25(5), 981-994.",
8,"Chordata","Mammalia","Primates","Hylobatidae","Hylobates","muelleri",,"brain size",95.31,"g",,,,,"family name from The mammal species of the world",217,"Boddy et al., 2012",2012,"Boddy, A. M., McGowen, M. R., Sherwood, C. C., Grossman, L. I., Goodman, M., & Wildman, D. E. (2012). Comparative analysis of encephalization in mammals reveals relaxed constraints on anthropoid primate and cetacean brain scaling. Journal of evolutionary biology, 25(5), 981-994.",
9,"Chordata","Mammalia","Primates","Hylobatidae","Hylobates","syndactylus",,"brain size",134.8,"g",,,,,"family name from The mammal species of the world",217,"Boddy et al., 2012",2012,"Boddy, A. M., McGowen, M. R., Sherwood, C. C., Grossman, L. I., Goodman, M., & Wildman, D. E. (2012). Comparative analysis of encephalization in mammals reveals relaxed constraints on anthropoid primate and cetacean brain scaling. Journal of evolutionary biology, 25(5), 981-994.",
10,"Chordata","Mammalia","Primates","Hominidae","Gorilla","gorilla",,"brain size",454.55,"g",,,,,"family name from The mammal species of the world",217,"Boddy et al., 2012",2012,"Boddy, A. M., McGowen, M. R., Sherwood, C. C., Grossman, L. I., Goodman, M., & Wildman, D. E. (2012). Comparative analysis of encephalization in mammals reveals relaxed constraints on anthropoid primate and cetacean brain scaling. Journal of evolutionary biology, 25(5), 981-994.",
12,"Chordata","Mammalia","Cetartiodactyla","Bovidae","Damaliscus","pygargus",,"brain size",254.6,"g",,,,,"family name from The mammal species of the world",217,"Boddy et al., 2012",2012,"Boddy, A. M., McGowen, M. R., Sherwood, C. C., Grossman, L. I., Goodman, M., & Wildman, D. E. (2012). Comparative analysis of encephalization in mammals reveals relaxed constraints on anthropoid primate and cetacean brain scaling. Journal of evolutionary biology, 25(5), 981-994.",
13,"Chordata","Mammalia","Primates","Hominidae","Homo","sapiens",,"brain size",1250.43,"g",,,,,"family name from The mammal species of the world",217,"Boddy et al., 2012",2012,"Boddy, A. M., McGowen, M. R., Sherwood, C. C., Grossman, L. I., Goodman, M., & Wildman, D. E. (2012). Comparative analysis of encephalization in mammals reveals relaxed constraints on anthropoid primate and cetacean brain scaling. Journal of evolutionary biology, 25(5), 981-994.",
14,"Chordata","Mammalia","Macroscelidea","Macroscelididae","Rhynchocyon","petersi",,"brain size",5.4,"g",,,,,"family name from The mammal species of the world",217,"Boddy et al., 2012",2012,"Boddy, A. M., McGowen, M. R., Sherwood, C. C., Grossman, L. I., Goodman, M., & Wildman, D. E. (2012). Comparative analysis of encephalization in mammals reveals relaxed constraints on anthropoid primate and cetacean brain scaling. Journal of evolutionary biology, 25(5), 981-994.",
15,"Chordata","Mammalia","Primates","Cercopithecidae","Cercocebus","agilis",,"brain size",95.3,"g",,,,,"family name from The mammal species of the world",217,"Boddy et al., 2012",2012,"Boddy, A. M., McGowen, M. R., Sherwood, C. C., Grossman, L. I., Goodman, M., & Wildman, D. E. (2012). Comparative analysis of encephalization in mammals reveals relaxed constraints on anthropoid primate and cetacean brain scaling. Journal of evolutionary biology, 25(5), 981-994.",
16,"Chordata","Mammalia","Primates","Cercopithecidae","Mandrillus","sphinx",,"brain size",159.2,"g",,,,,"family name from The mammal species of the world",217,"Boddy et al., 2012",2012,"Boddy, A. M., McGowen, M. R., Sherwood, C. C., Grossman, L. I., Goodman, M., & Wildman, D. E. (2012). Comparative analysis of encephalization in mammals reveals relaxed constraints on anthropoid primate and cetacean brain scaling. Journal of evolutionary biology, 25(5), 981-994.",
