"X.U.FEFF.observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Mammalia","Dasyuromorphia","Dasyuridae","Dasyurus","spartacus",,"brain size",5.3,"ml",,,1,"",215,"Ashwell, 2008",2008,"Ashwell, K. W. S. (2008). Encephalization of Australian and New Guinean marsupials. Brain, Behavior and Evolution, 71(3), 181-199","skull filling",
2,"Chordata","Mammalia","Didelphimorphia","Didelphidae","Thylamys","pallidior",,"brain size",0.72,"ml",,,1,"",215,"Ashwell, 2008",2008,"Ashwell, K. W. S. (2008). Encephalization of Australian and New Guinean marsupials. Brain, Behavior and Evolution, 71(3), 181-199","skull filling",
3,"Chordata","Mammalia","Diprotodontia","Petauridae","Petaurus","biacensis",,"brain size",1.68,"ml",,,2,"",215,"Ashwell, 2008",2008,"Ashwell, K. W. S. (2008). Encephalization of Australian and New Guinean marsupials. Brain, Behavior and Evolution, 71(3), 181-199","skull filling",
4,"Chordata","Mammalia","Diprotodontia","Petauridae","Petaurus","abidi",,"brain size",3.83,"ml",,,2,"",215,"Ashwell, 2008",2008,"Ashwell, K. W. S. (2008). Encephalization of Australian and New Guinean marsupials. Brain, Behavior and Evolution, 71(3), 181-199","skull filling",
5,"Chordata","Mammalia","Diprotodontia","Phalangeridae","Phalanger","rothschildi",,"brain size",6.14,"ml",,,5,"",215,"Ashwell, 2008",2008,"Ashwell, K. W. S. (2008). Encephalization of Australian and New Guinean marsupials. Brain, Behavior and Evolution, 71(3), 181-199","skull filling",
6,"Chordata","Mammalia","Diprotodontia","Phalangeridae","Strigocuscus","pelengensis",,"brain size",6.22,"ml",,,7,"",215,"Ashwell, 2008",2008,"Ashwell, K. W. S. (2008). Encephalization of Australian and New Guinean marsupials. Brain, Behavior and Evolution, 71(3), 181-199","skull filling",
7,"Chordata","Mammalia","Diprotodontia","Phalangeridae","Phalanger","intercastellanus",,"brain size",7.35,"ml",,,8,"",215,"Ashwell, 2008",2008,"Ashwell, K. W. S. (2008). Encephalization of Australian and New Guinean marsupials. Brain, Behavior and Evolution, 71(3), 181-199","skull filling",
8,"Chordata","Mammalia","Diprotodontia","Phalangeridae","Spilocuscus","kraemeri",,"brain size",11.5,"ml",,,7,"",215,"Ashwell, 2008",2008,"Ashwell, K. W. S. (2008). Encephalization of Australian and New Guinean marsupials. Brain, Behavior and Evolution, 71(3), 181-199","skull filling",
9,"Chordata","Mammalia","Peramelemorphia","Peramelidae","Rhynchomeles","prattorum",,"brain size",4.9,"ml",,,1,"",215,"Ashwell, 2008",2008,"Ashwell, K. W. S. (2008). Encephalization of Australian and New Guinean marsupials. Brain, Behavior and Evolution, 71(3), 181-199","skull filling",
10,"Chordata","Mammalia","Dasyuromorphia","Dasyuridae","Planigale","tenuirostris",,"brain size",0.14,"ml",,,7,"",215,"Ashwell, 2008",2008,"Ashwell, K. W. S. (2008). Encephalization of Australian and New Guinean marsupials. Brain, Behavior and Evolution, 71(3), 181-199","skull filling",
