"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Mammalia","Eulipotyphla","Solenodontidae","Solenodon ","paradoxus",,"body mass",900,"g",,,,,173,"Bauchot and Stephan, 1966",1966,"Bauchot, R., & Stephan, H. (1966). Données nouvelles sur l’encéphalisation des insectivores et des prosimiens. Mammalia, 30(1), 160-196. doi:10.1515/mamm.1966.30.1.160",,""
1,"Chordata","Mammalia","Eulipotyphla","Solenodontidae","Solenodon ","paradoxus",,"brain size",4.67,"g",,,,,173,"Bauchot and Stephan, 1966",1966,"Bauchot, R., & Stephan, H. (1966). Données nouvelles sur l’encéphalisation des insectivores et des prosimiens. Mammalia, 30(1), 160-196. doi:10.1515/mamm.1966.30.1.160",,"French"
2,"Chordata","Mammalia","Afrosoricida","Tenrecidae","Tenrec","ecaudatus",,"body mass",832,"g",,,,,173,"Bauchot and Stephan, 1966",1966,"Bauchot, R., & Stephan, H. (1966). Données nouvelles sur l’encéphalisation des insectivores et des prosimiens. Mammalia, 30(1), 160-196. doi:10.1515/mamm.1966.30.1.160",,""
2,"Chordata","Mammalia","Afrosoricida","Tenrecidae","Tenrec","ecaudatus",,"brain size",2.57,"g",,,,,173,"Bauchot and Stephan, 1966",1966,"Bauchot, R., & Stephan, H. (1966). Données nouvelles sur l’encéphalisation des insectivores et des prosimiens. Mammalia, 30(1), 160-196. doi:10.1515/mamm.1966.30.1.160",,"French"
3,"Chordata","Mammalia","Afrosoricida","Tenrecidae","Setifer","setosus",,"body mass",248,"g",,,,,173,"Bauchot and Stephan, 1966",1966,"Bauchot, R., & Stephan, H. (1966). Données nouvelles sur l’encéphalisation des insectivores et des prosimiens. Mammalia, 30(1), 160-196. doi:10.1515/mamm.1966.30.1.160",,""
3,"Chordata","Mammalia","Afrosoricida","Tenrecidae","Setifer","setosus",,"brain size",1.51,"g",,,,,173,"Bauchot and Stephan, 1966",1966,"Bauchot, R., & Stephan, H. (1966). Données nouvelles sur l’encéphalisation des insectivores et des prosimiens. Mammalia, 30(1), 160-196. doi:10.1515/mamm.1966.30.1.160",,"French"
4,"Chordata","Mammalia","Afrosoricida","Tenrecidae","Hemicentetes","semispinosus",,"body mass",110,"g",,,,,173,"Bauchot and Stephan, 1966",1966,"Bauchot, R., & Stephan, H. (1966). Données nouvelles sur l’encéphalisation des insectivores et des prosimiens. Mammalia, 30(1), 160-196. doi:10.1515/mamm.1966.30.1.160",,""
4,"Chordata","Mammalia","Afrosoricida","Tenrecidae","Hemicentetes","semispinosus",,"brain size",0.83,"g",,,,,173,"Bauchot and Stephan, 1966",1966,"Bauchot, R., & Stephan, H. (1966). Données nouvelles sur l’encéphalisation des insectivores et des prosimiens. Mammalia, 30(1), 160-196. doi:10.1515/mamm.1966.30.1.160",,"French"
5,"Chordata","Mammalia","Afrosoricida","Tenrecidae","Echinops","telfairi",,"body mass",87.5,"g",,,,,173,"Bauchot and Stephan, 1966",1966,"Bauchot, R., & Stephan, H. (1966). Données nouvelles sur l’encéphalisation des insectivores et des prosimiens. Mammalia, 30(1), 160-196. doi:10.1515/mamm.1966.30.1.160",,""
5,"Chordata","Mammalia","Afrosoricida","Tenrecidae","Echinops","telfairi",,"brain size",0.62,"g",,,,,173,"Bauchot and Stephan, 1966",1966,"Bauchot, R., & Stephan, H. (1966). Données nouvelles sur l’encéphalisation des insectivores et des prosimiens. Mammalia, 30(1), 160-196. doi:10.1515/mamm.1966.30.1.160",,"French"
