"observationID","ignore","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"","Annelida ","Clitellata","Haplotaxida","Lumbricidae","Lumbricus","terrestris","","body mass",0.00609,"kg",,,10,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
1,"","Annelida ","Clitellata","Haplotaxida","Lumbricidae","Lumbricus","terrestris","","brain size",0.0214,"g",,,10,"ganglia and ventral nerve cord",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
2,"","Arthropoda","Insecta","Blattodea","Blattidae","Periplaneta","americana","","body mass",9.2e-05,"kg",,,5,"DONTWARN: checked, value correct",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
2,"","Arthropoda","Insecta","Blattodea","Blattidae","Periplaneta","americana","","brain size",0.000195,"g",,,5,"ganglia and ventral nerve cord",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
3,"","Arthropoda","Insecta","Orthoptera","Acrididae","Melanoplus","femurrubrum","","body mass",0.000458,"kg",,,54,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
3,"","Arthropoda","Insecta","Orthoptera","Acrididae","Melanoplus","femurrubrum","","brain size",0.00233,"g",,,54,"ganglia and ventral nerve cord",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
4,"","Arthropoda","Insecta","Blattodea","Blaberidae","Blaberus","craniifer","","body mass",0.004727,"kg",,,35,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
4,"","Arthropoda","Insecta","Blattodea","Blaberidae","Blaberus","craniifer","","brain size",0.0097,"g",,,35,"ganglia and ventral nerve cord",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
5,"","Mollusca","Gastropoda","Stylommatophora","Limacidae","Limax","maximus","","body mass",0.00417,"kg",,,5,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
5,"","Mollusca","Gastropoda","Stylommatophora","Limacidae","Limax","maximus","","brain size",0.0133,"g",,,5,"ganglia",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
6,"","Chordata","Amphibia","Anura","Ranidae","Rana","catesbeiana","male","body mass",0.5199,"kg",,,6,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
6,"","Chordata","Amphibia","Anura","Ranidae","Rana","catesbeiana","male","brain size",0.4625,"g",,,6,"recorded as fresh brain mass ",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
7,"","Chordata","Reptilia","Squamata","Iguanidae","Phrynosoma","coronatum","male","body mass",0.025,"kg",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
