"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
10,"Chordata","Reptilia","Squamata","Agamidae","Agama","inermis",,"brain size",0.099,"g",,,,,222,"Platel, 1979",1979,"Platel, R. (1979) Brain weight-body weight relationships. In: Gans, C.G., Northcutt, R.G., Ulinski, P,S. editors. Biology of the Reptilia. London: Academic Press. Volume 10: 147-171.","brain weighed",
11,"Chordata","Reptilia","Squamata","Agamidae","Calotes","versicolor",,"brain size",0.097,"g",,,,,222,"Platel, 1979",1979,"Platel, R. (1979) Brain weight-body weight relationships. In: Gans, C.G., Northcutt, R.G., Ulinski, P,S. editors. Biology of the Reptilia. London: Academic Press. Volume 10: 147-171.","brain weighed",
12,"Chordata","Reptilia","Squamata","Agamidae","Agama","agama",,"brain size",0.173,"g",,,,,222,"Platel, 1979",1979,"Platel, R. (1979) Brain weight-body weight relationships. In: Gans, C.G., Northcutt, R.G., Ulinski, P,S. editors. Biology of the Reptilia. London: Academic Press. Volume 10: 147-171.","brain weighed",
13,"Chordata","Reptilia","Squamata","Agamidae","Uromastyx","acanthinurus",,"brain size",0.335,"g",,,,,222,"Platel, 1979",1979,"Platel, R. (1979) Brain weight-body weight relationships. In: Gans, C.G., Northcutt, R.G., Ulinski, P,S. editors. Biology of the Reptilia. London: Academic Press. Volume 10: 147-171.","brain weighed",
30,"Chordata","Reptilia","Squamata","Anguidae","Anguis","fragilis",,"brain size",0.044,"g",,,,,222,"Platel, 1979",1979,"Platel, R. (1979) Brain weight-body weight relationships. In: Gans, C.G., Northcutt, R.G., Ulinski, P,S. editors. Biology of the Reptilia. London: Academic Press. Volume 10: 147-171.","brain weighed",
14,"Chordata","Reptilia","Squamata","Chamaeleonidae","Furcifer","lateralis",,"brain size",0.061,"g",,,,,222,"Platel, 1979",1979,"Platel, R. (1979) Brain weight-body weight relationships. In: Gans, C.G., Northcutt, R.G., Ulinski, P,S. editors. Biology of the Reptilia. London: Academic Press. Volume 10: 147-171.","brain weighed",
47,"Chordata","Reptilia","Testudines","Cheloniidae","Caretta","caretta",,"brain size",2.7,"g",,,,,222,"Platel, 1979",1979,"Platel, R. (1979) Brain weight-body weight relationships. In: Gans, C.G., Northcutt, R.G., Ulinski, P,S. editors. Biology of the Reptilia. London: Academic Press. Volume 10: 147-171.","brain weighed",
33,"Chordata","Reptilia","Squamata","Colubridae","Thamnophis","sirtalis",,"brain size",0.1,"g",,,,,222,"Platel, 1979",1979,"Platel, R. (1979) Brain weight-body weight relationships. In: Gans, C.G., Northcutt, R.G., Ulinski, P,S. editors. Biology of the Reptilia. London: Academic Press. Volume 10: 147-171.","brain weighed",
34,"Chordata","Reptilia","Squamata","Colubridae","Natrix","maura",,"brain size",0.095,"g",,,,,222,"Platel, 1979",1979,"Platel, R. (1979) Brain weight-body weight relationships. In: Gans, C.G., Northcutt, R.G., Ulinski, P,S. editors. Biology of the Reptilia. London: Academic Press. Volume 10: 147-171.","brain weighed",
35,"Chordata","Reptilia","Squamata","Colubridae","Coronella","girondica",,"brain size",0.088,"g",,,,,222,"Platel, 1979",1979,"Platel, R. (1979) Brain weight-body weight relationships. In: Gans, C.G., Northcutt, R.G., Ulinski, P,S. editors. Biology of the Reptilia. London: Academic Press. Volume 10: 147-171.","brain weighed",
36,"Chordata","Reptilia","Squamata","Colubridae","Zamenis","longissima",,"brain size",0.168,"g",,,,,222,"Platel, 1979",1979,"Platel, R. (1979) Brain weight-body weight relationships. In: Gans, C.G., Northcutt, R.G., Ulinski, P,S. editors. Biology of the Reptilia. London: Academic Press. Volume 10: 147-171.","brain weighed",
37,"Chordata","Reptilia","Squamata","Colubridae","Coluber","constrictor",,"brain size",0.291,"g",,,,,222,"Platel, 1979",1979,"Platel, R. (1979) Brain weight-body weight relationships. In: Gans, C.G., Northcutt, R.G., Ulinski, P,S. editors. Biology of the Reptilia. London: Academic Press. Volume 10: 147-171.","brain weighed",
38,"Chordata","Reptilia","Squamata","Colubridae","Naja","melanoleuca",,"brain size",0.646,"g",,,,,222,"Platel, 1979",1979,"Platel, R. (1979) Brain weight-body weight relationships. In: Gans, C.G., Northcutt, R.G., Ulinski, P,S. editors. Biology of the Reptilia. London: Academic Press. Volume 10: 147-171.","brain weighed",
39,"Chordata","Reptilia","Squamata","Colubridae","Cerastes","vipera",,"brain size",0.076,"g",,,,,222,"Platel, 1979",1979,"Platel, R. (1979) Brain weight-body weight relationships. In: Gans, C.G., Northcutt, R.G., Ulinski, P,S. editors. Biology of the Reptilia. London: Academic Press. Volume 10: 147-171.","brain weighed",
40,"Chordata","Reptilia","Squamata","Colubridae","Vipera","berus",,"brain size",0.105,"g",,,,,222,"Platel, 1979",1979,"Platel, R. (1979) Brain weight-body weight relationships. In: Gans, C.G., Northcutt, R.G., Ulinski, P,S. editors. Biology of the Reptilia. London: Academic Press. Volume 10: 147-171.","brain weighed",
