"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Reptilia","Testudines","Cryptodira","Emys","orbicularis",,"body mass",0.25,"kg",,,30,"",137,"Naccarati, 1922",1922,"Naccarati, S. (1922). On the relation between the weight of the internal secretory glands and the body weight and brain weight. The Anatomical Record, 24(4), 254-260. doi:10.1002/ar.1090240408","",
1,"Chordata","Reptilia","Testudines","Cryptodira","Emys","orbicularis",,"brain size",0.25,"g",,,30,"brain mass",137,"Naccarati, 1922",1922,"Naccarati, S. (1922). On the relation between the weight of the internal secretory glands and the body weight and brain weight. The Anatomical Record, 24(4), 254-260. doi:10.1002/ar.1090240408","brain weighed",
2,"Chordata","Reptilia","Testudines","Testudinidae","Testudo","graeca",,"body mass",0.32,"kg",,,30,"",137,"Naccarati, 1922",1922,"Naccarati, S. (1922). On the relation between the weight of the internal secretory glands and the body weight and brain weight. The Anatomical Record, 24(4), 254-260. doi:10.1002/ar.1090240408","",
2,"Chordata","Reptilia","Testudines","Testudinidae","Testudo","graeca",,"brain size",0.3,"g",,,30,"",137,"Naccarati, 1922",1922,"Naccarati, S. (1922). On the relation between the weight of the internal secretory glands and the body weight and brain weight. The Anatomical Record, 24(4), 254-260. doi:10.1002/ar.1090240408","brain weighed",
3,"Chordata","Reptilia","Squamata","Lacertidae","Lacerta","viridis",,"body mass",0.05,"kg",,,15,"",137,"Naccarati, 1922",1922,"Naccarati, S. (1922). On the relation between the weight of the internal secretory glands and the body weight and brain weight. The Anatomical Record, 24(4), 254-260. doi:10.1002/ar.1090240408","",
3,"Chordata","Reptilia","Squamata","Lacertidae","Lacerta","viridis",,"brain size",0.121,"g",,,15,"",137,"Naccarati, 1922",1922,"Naccarati, S. (1922). On the relation between the weight of the internal secretory glands and the body weight and brain weight. The Anatomical Record, 24(4), 254-260. doi:10.1002/ar.1090240408","brain weighed",
4,"Chordata","Reptilia","Squamata","Colubridae","Natrix","natrix",,"body mass",0.07,"kg",,,20,"",137,"Naccarati, 1922",1922,"Naccarati, S. (1922). On the relation between the weight of the internal secretory glands and the body weight and brain weight. The Anatomical Record, 24(4), 254-260. doi:10.1002/ar.1090240408","",
4,"Chordata","Reptilia","Squamata","Colubridae","Natrix","natrix",,"brain size",0.1,"g",,,20,"",137,"Naccarati, 1922",1922,"Naccarati, S. (1922). On the relation between the weight of the internal secretory glands and the body weight and brain weight. The Anatomical Record, 24(4), 254-260. doi:10.1002/ar.1090240408","brain weighed",
5,"Chordata","Reptilia","Squamata","Colubridae","Hierophis","viridiflavus",,"body mass",0.22,"kg",,,6,"",137,"Naccarati, 1922",1922,"Naccarati, S. (1922). On the relation between the weight of the internal secretory glands and the body weight and brain weight. The Anatomical Record, 24(4), 254-260. doi:10.1002/ar.1090240408","",
5,"Chordata","Reptilia","Squamata","Colubridae","Hierophis","viridiflavus",,"brain size",0.209,"g",,,6,"",137,"Naccarati, 1922",1922,"Naccarati, S. (1922). On the relation between the weight of the internal secretory glands and the body weight and brain weight. The Anatomical Record, 24(4), 254-260. doi:10.1002/ar.1090240408","brain weighed",
