"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","caudicinctus ",,"mass",15.28,"g",,,19,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738",,
1,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","caudicinctus ",,"brain size",1596248,"x6.4e-5 mm3",,,19,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738","histological reconstruction","magnetic resonance imaging of whole brain"
2,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","cristatus",,"mass",35.57,"g",,,20,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738",,
2,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","cristatus",,"brain size",2758058,"x6.4e-5 mm3",,,20,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738","histological reconstruction","magnetic resonance imaging of whole brain"
3,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","decresii",,"mass",16.08,"g",,,19,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738",,
3,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","decresii",,"brain size",1671980,"x6.4e-5 mm3",,,19,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738","histological reconstruction","magnetic resonance imaging of whole brain"
4,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","fionni",,"mass",14.93,"g",,,21,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738",,
4,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","fionni",,"brain size",1487356,"x6.4e-5 mm3",,,21,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738","histological reconstruction","magnetic resonance imaging of whole brain"
5,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","fordi",,"mass",3.99,"g",,,20,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738",,
5,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","fordi",,"brain size",698844,"x6.4e-5 mm3",,,20,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738","histological reconstruction","magnetic resonance imaging of whole brain"
6,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","gibba",,"mass",15.07,"g",,,19,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738",,
6,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","gibba",,"brain size",1552422,"x6.4e-5 mm3",,,19,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738","histological reconstruction","magnetic resonance imaging of whole brain"
7,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","isolepis ",,"mass",8.19,"g",,,20,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738",,
7,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","isolepis ",,"brain size",991610,"x6.4e-5 mm3",,,20,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738","histological reconstruction","magnetic resonance imaging of whole brain"
8,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","nuchalis",,"mass",26.19,"g",,,17,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738",,
8,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","nuchalis",,"brain size",2232250,"x6.4e-5 mm3",,,17,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738","histological reconstruction","magnetic resonance imaging of whole brain"
9,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","ornatus",,"mass",21.75,"g",,,17,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738",,
9,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","ornatus",,"brain size",1773824,"x6.4e-5 mm3",,,17,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738","histological reconstruction","magnetic resonance imaging of whole brain"
10,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","pictus",,"mass",9.59,"g",,,28,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738",,
10,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","pictus",,"brain size",1259516,"x6.4e-5 mm3",,,28,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738","histological reconstruction","magnetic resonance imaging of whole brain"
11,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","rufescens",,"mass",20.44,"g",,,20,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738",,
11,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","rufescens",,"brain size",1814748,"x6.4e-5 mm3",,,20,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738","histological reconstruction","magnetic resonance imaging of whole brain"
12,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","salinarum",,"mass",8.84,"g",,,20,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738",,
12,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","salinarum",,"brain size",1258656,"x6.4e-5 mm3",,,20,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738","histological reconstruction","magnetic resonance imaging of whole brain"
13,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","tjantjalka",,"mass",10.56,"g",,,19,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738",,
13,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","tjantjalka",,"brain size",1424184,"x6.4e-5 mm3",,,19,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738","histological reconstruction","magnetic resonance imaging of whole brain"
14,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","vadnappa",,"mass",14.35,"g",,,18,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738",,
14,"Chordata","Reptilia","Squamata","Agamidae","Ctenophorus","vadnappa",,"brain size",1583168,"x6.4e-5 mm3",,,18,,157,"Hoops et al., 2017","2017","Hoops, D., Vidal-García, M., Ullmann, J. F., Janke, A. L., Stait-Gardner, T., Duchêne, D. A., . . . Keogh, J. S. (2017). Evidence for concerted and mosaic brain evolution in dragon lizards. Brain, behavior and evolution, 90(3), 211-223. doi:10.1159/000478738","histological reconstruction","magnetic resonance imaging of whole brain"
