"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Arthropoda","Arachnida","Araneae","Araneidae","Metazygia","rogenhoferi",,"body mass",0.0144,"g",25,,1,,202,"Kawamoto, Machado, Kaneto, & Japyassu, 2011",2011,"Kawamoto, T. H., Machado, F. d. A., Kaneto, G. E., & Japyassu, H. F. (2011). Resting metabolic rates of two orbweb spiders: A first approach to evolutionary success of ecribellate spiders. Journal of insect physiology, 57(3), 427-432. doi:10.1016/j.jinsphys.2011.01.001","",""
1,"Arthropoda","Arachnida","Araneae","Araneidae","Metazygia","rogenhoferi",,"metabolic rate",0.009,"(O2) ml/h",25,,1,,202,"Kawamoto, Machado, Kaneto, & Japyassu, 2011",2011,"Kawamoto, T. H., Machado, F. d. A., Kaneto, G. E., & Japyassu, H. F. (2011). Resting metabolic rates of two orbweb spiders: A first approach to evolutionary success of ecribellate spiders. Journal of insect physiology, 57(3), 427-432. doi:10.1016/j.jinsphys.2011.01.001","not specified","25c, 1 hr incubation"
2,"Arthropoda","Arachnida","Araneae","Araneidae","Metazygia","rogenhoferi",,"body mass",0.0235,"g",25,,1,,202,"Kawamoto, Machado, Kaneto, & Japyassu, 2011",2011,"Kawamoto, T. H., Machado, F. d. A., Kaneto, G. E., & Japyassu, H. F. (2011). Resting metabolic rates of two orbweb spiders: A first approach to evolutionary success of ecribellate spiders. Journal of insect physiology, 57(3), 427-432. doi:10.1016/j.jinsphys.2011.01.001","",""
2,"Arthropoda","Arachnida","Araneae","Araneidae","Metazygia","rogenhoferi",,"metabolic rate",0.0188,"(O2) ml/h",25,,1,,202,"Kawamoto, Machado, Kaneto, & Japyassu, 2011",2011,"Kawamoto, T. H., Machado, F. d. A., Kaneto, G. E., & Japyassu, H. F. (2011). Resting metabolic rates of two orbweb spiders: A first approach to evolutionary success of ecribellate spiders. Journal of insect physiology, 57(3), 427-432. doi:10.1016/j.jinsphys.2011.01.001","not specified","25c, 1 hr incubation"
3,"Arthropoda","Arachnida","Araneae","Araneidae","Metazygia","rogenhoferi",,"body mass",0.016,"g",25,,1,,202,"Kawamoto, Machado, Kaneto, & Japyassu, 2011",2011,"Kawamoto, T. H., Machado, F. d. A., Kaneto, G. E., & Japyassu, H. F. (2011). Resting metabolic rates of two orbweb spiders: A first approach to evolutionary success of ecribellate spiders. Journal of insect physiology, 57(3), 427-432. doi:10.1016/j.jinsphys.2011.01.001","",""
3,"Arthropoda","Arachnida","Araneae","Araneidae","Metazygia","rogenhoferi",,"metabolic rate",0.0111,"(O2) ml/h",25,,1,,202,"Kawamoto, Machado, Kaneto, & Japyassu, 2011",2011,"Kawamoto, T. H., Machado, F. d. A., Kaneto, G. E., & Japyassu, H. F. (2011). Resting metabolic rates of two orbweb spiders: A first approach to evolutionary success of ecribellate spiders. Journal of insect physiology, 57(3), 427-432. doi:10.1016/j.jinsphys.2011.01.001","not specified","25c, 1 hr incubation"
4,"Arthropoda","Arachnida","Araneae","Araneidae","Metazygia","rogenhoferi",,"body mass",0.0153,"g",25,,1,,202,"Kawamoto, Machado, Kaneto, & Japyassu, 2011",2011,"Kawamoto, T. H., Machado, F. d. A., Kaneto, G. E., & Japyassu, H. F. (2011). Resting metabolic rates of two orbweb spiders: A first approach to evolutionary success of ecribellate spiders. Journal of insect physiology, 57(3), 427-432. doi:10.1016/j.jinsphys.2011.01.001","",""
4,"Arthropoda","Arachnida","Araneae","Araneidae","Metazygia","rogenhoferi",,"metabolic rate",0.0088,"(O2) ml/h",25,,1,,202,"Kawamoto, Machado, Kaneto, & Japyassu, 2011",2011,"Kawamoto, T. H., Machado, F. d. A., Kaneto, G. E., & Japyassu, H. F. (2011). Resting metabolic rates of two orbweb spiders: A first approach to evolutionary success of ecribellate spiders. Journal of insect physiology, 57(3), 427-432. doi:10.1016/j.jinsphys.2011.01.001","not specified","25c, 1 hr incubation"
5,"Arthropoda","Arachnida","Araneae","Araneidae","Metazygia","rogenhoferi",,"body mass",0.0245,"g",25,,1,,202,"Kawamoto, Machado, Kaneto, & Japyassu, 2011",2011,"Kawamoto, T. H., Machado, F. d. A., Kaneto, G. E., & Japyassu, H. F. (2011). Resting metabolic rates of two orbweb spiders: A first approach to evolutionary success of ecribellate spiders. Journal of insect physiology, 57(3), 427-432. doi:10.1016/j.jinsphys.2011.01.001","",""
5,"Arthropoda","Arachnida","Araneae","Araneidae","Metazygia","rogenhoferi",,"metabolic rate",0.0114,"(O2) ml/h",25,,1,,202,"Kawamoto, Machado, Kaneto, & Japyassu, 2011",2011,"Kawamoto, T. H., Machado, F. d. A., Kaneto, G. E., & Japyassu, H. F. (2011). Resting metabolic rates of two orbweb spiders: A first approach to evolutionary success of ecribellate spiders. Journal of insect physiology, 57(3), 427-432. doi:10.1016/j.jinsphys.2011.01.001","not specified","25c, 1 hr incubation"
