"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Arthropoda","Arachnida","Ixodida","Ixodidae","Amblyomma","americanum",,"mass",3.1,"mg",,,4,,95,"Lighton & Fielden, 1995","1995","Lighton, J. R. B., & Fielden, L. J. (1995). Mass Scaling of Standard Metabolism in Ticks: A Valid Case of Low Metabolic Rates in Sit-and-Wait Strategists. Physiological Zoology, 68(1), 43-62. doi:10.1086/physzool.68.1.30163917",,
1,"Arthropoda","Arachnida","Ixodida","Ixodidae","Amblyomma","americanum",,"metabolic rate",0.186,"(CO2) ul/h",25,0.72,4,,95,"Lighton & Fielden, 1995","1995","Lighton, J. R. B., & Fielden, L. J. (1995). Mass Scaling of Standard Metabolism in Ticks: A Valid Case of Low Metabolic Rates in Sit-and-Wait Strategists. Physiological Zoology, 68(1), 43-62. doi:10.1086/physzool.68.1.30163917","standard metabolic rate","25c, standard metabolic rate"
2,"Arthropoda","Arachnida","Ixodida","Ixodidae","Amblyomma","maculatum",,"mass",4.5,"mg",,,7,,95,"Lighton & Fielden, 1995","1995","Lighton, J. R. B., & Fielden, L. J. (1995). Mass Scaling of Standard Metabolism in Ticks: A Valid Case of Low Metabolic Rates in Sit-and-Wait Strategists. Physiological Zoology, 68(1), 43-62. doi:10.1086/physzool.68.1.30163917",,
2,"Arthropoda","Arachnida","Ixodida","Ixodidae","Amblyomma","maculatum",,"metabolic rate",0.205,"(CO2) ul/h",25,0.67,7,,95,"Lighton & Fielden, 1995","1995","Lighton, J. R. B., & Fielden, L. J. (1995). Mass Scaling of Standard Metabolism in Ticks: A Valid Case of Low Metabolic Rates in Sit-and-Wait Strategists. Physiological Zoology, 68(1), 43-62. doi:10.1086/physzool.68.1.30163917","standard metabolic rate","25c, standard metabolic rate"
3,"Arthropoda","Arachnida","Ixodida","Ixodidae","Amblyomma","cajenense",,"mass",7.5,"mg",,,7,,95,"Lighton & Fielden, 1995","1995","Lighton, J. R. B., & Fielden, L. J. (1995). Mass Scaling of Standard Metabolism in Ticks: A Valid Case of Low Metabolic Rates in Sit-and-Wait Strategists. Physiological Zoology, 68(1), 43-62. doi:10.1086/physzool.68.1.30163917",,
3,"Arthropoda","Arachnida","Ixodida","Ixodidae","Amblyomma","cajenense",,"metabolic rate",0.255,"(CO2) ul/h",25,0.78,7,,95,"Lighton & Fielden, 1995","1995","Lighton, J. R. B., & Fielden, L. J. (1995). Mass Scaling of Standard Metabolism in Ticks: A Valid Case of Low Metabolic Rates in Sit-and-Wait Strategists. Physiological Zoology, 68(1), 43-62. doi:10.1086/physzool.68.1.30163917","standard metabolic rate","25c, standard metabolic rate"
4,"Arthropoda","Arachnida","Ixodida","Ixodidae","Dermacentor","andersoni",,"mass",20.7,"mg",,,13,,95,"Lighton & Fielden, 1995","1995","Lighton, J. R. B., & Fielden, L. J. (1995). Mass Scaling of Standard Metabolism in Ticks: A Valid Case of Low Metabolic Rates in Sit-and-Wait Strategists. Physiological Zoology, 68(1), 43-62. doi:10.1086/physzool.68.1.30163917",,
4,"Arthropoda","Arachnida","Ixodida","Ixodidae","Dermacentor","andersoni",,"metabolic rate",0.458,"(CO2) ul/h",25,0.75,13,,95,"Lighton & Fielden, 1995","1995","Lighton, J. R. B., & Fielden, L. J. (1995). Mass Scaling of Standard Metabolism in Ticks: A Valid Case of Low Metabolic Rates in Sit-and-Wait Strategists. Physiological Zoology, 68(1), 43-62. doi:10.1086/physzool.68.1.30163917","standard metabolic rate","25c, standard metabolic rate"
5,"Arthropoda","Arachnida","Ixodida","Ixodidae","Dermacentor","variabilis",,"mass",5.6,"mg",,,9,,95,"Lighton & Fielden, 1995","1995","Lighton, J. R. B., & Fielden, L. J. (1995). Mass Scaling of Standard Metabolism in Ticks: A Valid Case of Low Metabolic Rates in Sit-and-Wait Strategists. Physiological Zoology, 68(1), 43-62. doi:10.1086/physzool.68.1.30163917",,
5,"Arthropoda","Arachnida","Ixodida","Ixodidae","Dermacentor","variabilis",,"metabolic rate",0.217,"(CO2) ul/h",25,0.7,9,,95,"Lighton & Fielden, 1995","1995","Lighton, J. R. B., & Fielden, L. J. (1995). Mass Scaling of Standard Metabolism in Ticks: A Valid Case of Low Metabolic Rates in Sit-and-Wait Strategists. Physiological Zoology, 68(1), 43-62. doi:10.1086/physzool.68.1.30163917","standard metabolic rate","25c, standard metabolic rate"
6,"Arthropoda","Arachnida","Ixodida","Argasidae","Ornithodoros","moubata",,"mass",13.2,"mg",,,6,,95,"Lighton & Fielden, 1995","1995","Lighton, J. R. B., & Fielden, L. J. (1995). Mass Scaling of Standard Metabolism in Ticks: A Valid Case of Low Metabolic Rates in Sit-and-Wait Strategists. Physiological Zoology, 68(1), 43-62. doi:10.1086/physzool.68.1.30163917",,
6,"Arthropoda","Arachnida","Ixodida","Argasidae","Ornithodoros","moubata",,"metabolic rate",0.353,"(CO2) ul/h",25,0.72,6,,95,"Lighton & Fielden, 1995","1995","Lighton, J. R. B., & Fielden, L. J. (1995). Mass Scaling of Standard Metabolism in Ticks: A Valid Case of Low Metabolic Rates in Sit-and-Wait Strategists. Physiological Zoology, 68(1), 43-62. doi:10.1086/physzool.68.1.30163917","standard metabolic rate","25c, standard metabolic rate"
