observationID,phylum,class,order,family,genus,specificEpithet,sex,measurementType,measurementValue,measurementUnit,temperature,respiratoryQuotient,sampleSizeValue,comments,reference,inTextReference,publicationYear,fullReference,measurementMethod,metadataComment
1,Arthropoda,Arachnida,Mesostigmata,Uropodidae,Cilliba,cassidea,male,mass,102.5,ug,10,,,,197,"Kotiaho et al., 1998",1998,"Kotiaho, J. S., Alatalo, R. V., Mappes, J., Nielsen, M. G., Parri, S., & Rivero, A. (1998). Energetic costs of size and sexual signalling in a wolf spider. Proceedings of the Royal Society of London. Series B: Biological Sciences, 265(1411), 2203-2209. doi:10.1098/rspb.1998.0560",,
1,Arthropoda,Arachnida,Mesostigmata,Uropodidae,Cilliba,cassidea,male,metabolic rate ,104.8,(O2) ul/g/h,10,,,,197,"Kotiaho et al., 1998",1998,"Kotiaho, J. S., Alatalo, R. V., Mappes, J., Nielsen, M. G., Parri, S., & Rivero, A. (1998). Energetic costs of size and sexual signalling in a wolf spider. Proceedings of the Royal Society of London. Series B: Biological Sciences, 265(1411), 2203-2209. doi:10.1098/rspb.1998.0560",not specified,
2,Arthropoda,Arachnida,Mesostigmata,Uropodidae,Cilliba,cassidea,female,mass,97.1,ug,10,,,,197,"Kotiaho et al., 1998",1998,"Kotiaho, J. S., Alatalo, R. V., Mappes, J., Nielsen, M. G., Parri, S., & Rivero, A. (1998). Energetic costs of size and sexual signalling in a wolf spider. Proceedings of the Royal Society of London. Series B: Biological Sciences, 265(1411), 2203-2209. doi:10.1098/rspb.1998.0560",,
2,Arthropoda,Arachnida,Mesostigmata,Uropodidae,Cilliba,cassidea,female,metabolic rate ,113.2,(O2) ul/g/h,10,,,,197,"Kotiaho et al., 1998",1998,"Kotiaho, J. S., Alatalo, R. V., Mappes, J., Nielsen, M. G., Parri, S., & Rivero, A. (1998). Energetic costs of size and sexual signalling in a wolf spider. Proceedings of the Royal Society of London. Series B: Biological Sciences, 265(1411), 2203-2209. doi:10.1098/rspb.1998.0560",not specified,
3,Arthropoda,Arachnida,Mesostigmata,Epicriidae,Epicrius,mollis,male,mass,39.5,ug,10,,,,197,"Kotiaho et al., 1998",1998,"Kotiaho, J. S., Alatalo, R. V., Mappes, J., Nielsen, M. G., Parri, S., & Rivero, A. (1998). Energetic costs of size and sexual signalling in a wolf spider. Proceedings of the Royal Society of London. Series B: Biological Sciences, 265(1411), 2203-2209. doi:10.1098/rspb.1998.0560",,
3,Arthropoda,Arachnida,Mesostigmata,Epicriidae,Epicrius,mollis,male,metabolic rate ,211.5,(O2) ul/g/h,10,,,,197,"Kotiaho et al., 1998",1998,"Kotiaho, J. S., Alatalo, R. V., Mappes, J., Nielsen, M. G., Parri, S., & Rivero, A. (1998). Energetic costs of size and sexual signalling in a wolf spider. Proceedings of the Royal Society of London. Series B: Biological Sciences, 265(1411), 2203-2209. doi:10.1098/rspb.1998.0560",not specified,
4,Arthropoda,Arachnida,Mesostigmata,Epicriidae,Epicrius,mollis,female,mass,57.3,ug,10,,,,197,"Kotiaho et al., 1998",1998,"Kotiaho, J. S., Alatalo, R. V., Mappes, J., Nielsen, M. G., Parri, S., & Rivero, A. (1998). Energetic costs of size and sexual signalling in a wolf spider. Proceedings of the Royal Society of London. Series B: Biological Sciences, 265(1411), 2203-2209. doi:10.1098/rspb.1998.0560",,
4,Arthropoda,Arachnida,Mesostigmata,Epicriidae,Epicrius,mollis,female,metabolic rate ,159.1,(O2) ul/g/h,10,,,,197,"Kotiaho et al., 1998",1998,"Kotiaho, J. S., Alatalo, R. V., Mappes, J., Nielsen, M. G., Parri, S., & Rivero, A. (1998). Energetic costs of size and sexual signalling in a wolf spider. Proceedings of the Royal Society of London. Series B: Biological Sciences, 265(1411), 2203-2209. doi:10.1098/rspb.1998.0560",not specified,
5,Arthropoda,Arachnida,Mesostigmata,Parasitidae,Pergamasus,crassipes,male,mass,288,ug,10,,,,197,"Kotiaho et al., 1998",1998,"Kotiaho, J. S., Alatalo, R. V., Mappes, J., Nielsen, M. G., Parri, S., & Rivero, A. (1998). Energetic costs of size and sexual signalling in a wolf spider. Proceedings of the Royal Society of London. Series B: Biological Sciences, 265(1411), 2203-2209. doi:10.1098/rspb.1998.0560",,
5,Arthropoda,Arachnida,Mesostigmata,Parasitidae,Pergamasus,crassipes,male,metabolic rate ,254,(O2) ul/g/h,10,,,,197,"Kotiaho et al., 1998",1998,"Kotiaho, J. S., Alatalo, R. V., Mappes, J., Nielsen, M. G., Parri, S., & Rivero, A. (1998). Energetic costs of size and sexual signalling in a wolf spider. Proceedings of the Royal Society of London. Series B: Biological Sciences, 265(1411), 2203-2209. doi:10.1098/rspb.1998.0560",not specified,
6,Arthropoda,Arachnida,Mesostigmata,Parasitidae,Pergamasus,crassipes,female,mass,340.1,ug,10,,,,197,"Kotiaho et al., 1998",1998,"Kotiaho, J. S., Alatalo, R. V., Mappes, J., Nielsen, M. G., Parri, S., & Rivero, A. (1998). Energetic costs of size and sexual signalling in a wolf spider. Proceedings of the Royal Society of London. Series B: Biological Sciences, 265(1411), 2203-2209. doi:10.1098/rspb.1998.0560",,
6,Arthropoda,Arachnida,Mesostigmata,Parasitidae,Pergamasus,crassipes,female,metabolic rate ,390.9,(O2) ul/g/h,10,,,,197,"Kotiaho et al., 1998",1998,"Kotiaho, J. S., Alatalo, R. V., Mappes, J., Nielsen, M. G., Parri, S., & Rivero, A. (1998). Energetic costs of size and sexual signalling in a wolf spider. Proceedings of the Royal Society of London. Series B: Biological Sciences, 265(1411), 2203-2209. doi:10.1098/rspb.1998.0560",not specified,
