"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Arthropoda","Arachnida","Araneae","Theraphosidae","Aphonopelma","eutylenum","female","body mass",15030,"mg",,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","",
1,"Arthropoda","Arachnida","Araneae","Theraphosidae","Aphonopelma","eutylenum","female","metabolic rate",270.5,"(O2) ul/h",22,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","not specified",
2,"Arthropoda","Arachnida","Araneae","Theraphosidae","Aphonopelma","eutylenum","female","body mass",8680,"mg",,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","",
2,"Arthropoda","Arachnida","Araneae","Theraphosidae","Aphonopelma","eutylenum","female","metabolic rate",642.5,"(O2) ul/h",22,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","not specified",
3,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","laeta","female","body mass",97.2,"mg",,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","",
3,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","laeta","female","metabolic rate",10.6,"(O2) ul/h",22,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","not specified",
4,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","laeta","female","body mass",96.1,"mg",,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","",
4,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","laeta","female","metabolic rate",15.2,"(O2) ul/h",22,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","not specified",
5,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","laeta","female","body mass",111.2,"mg",,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","",
5,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","laeta","female","metabolic rate",20.4,"(O2) ul/h",22,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","not specified",
6,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","laeta","female","body mass",76.2,"mg",,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","",
6,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","laeta","female","metabolic rate",7.3,"(O2) ul/h",22,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","not specified",
7,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","laeta","female","body mass",197.9,"mg",,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","",
7,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","laeta","female","metabolic rate",27.5,"(O2) ul/h",22,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","not specified",
8,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","laeta","female","body mass",291.7,"mg",,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","",
8,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","laeta","female","metabolic rate",26,"(O2) ul/h",22,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","not specified",
9,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","laeta","female","body mass",327.9,"mg",,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","",
9,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","laeta","female","metabolic rate",48.1,"(O2) ul/h",22,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","not specified",
10,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","laeta","female","body mass",165.5,"mg",,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","",
10,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","laeta","female","metabolic rate",23.7,"(O2) ul/h",22,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","not specified",
11,"Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","laeta","female","body mass",183.9,"mg",,,1,"",167,"Greenstone & Bennett, 1980",1980,"Greenstone, M. H., & Bennett, A. F. (1980). Foraging strategy and metabolic rate in spiders. Ecology, 61(5), 1255-1259. doi:10.2307/1936843","",
