"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Aves","Apterygiformes","Apterygidae","Apteryx","owenii",,"body mass",0.666,"kg",,,1,,41,"Calder III & Dawson, 1978",1978,"Calder III, W. A., & Dawson, T. J. (1978). Resting metabolic rates of ratite birds: the kiwis and the emu. Comparative Biochemistry and Physiology Part A: Physiology, 60(4), 479-481.","",
1,"Chordata","Aves","Apterygiformes","Apterygidae","Apteryx","owenii",,"metabolic rate",1.16,"W",20.5,,1,,41,"Calder III & Dawson, 1978",1978,"Calder III, W. A., & Dawson, T. J. (1978). Resting metabolic rates of ratite birds: the kiwis and the emu. Comparative Biochemistry and Physiology Part A: Physiology, 60(4), 479-481.","not specified",
2,"Chordata","Aves","Apterygiformes","Apterygidae","Apteryx","owenii",,"body mass",1.525,"kg",,,1,,41,"Calder III & Dawson, 1978",1978,"Calder III, W. A., & Dawson, T. J. (1978). Resting metabolic rates of ratite birds: the kiwis and the emu. Comparative Biochemistry and Physiology Part A: Physiology, 60(4), 479-481.","",
2,"Chordata","Aves","Apterygiformes","Apterygidae","Apteryx","owenii",,"metabolic rate",3.42,"W",16,,1,,41,"Calder III & Dawson, 1978",1978,"Calder III, W. A., & Dawson, T. J. (1978). Resting metabolic rates of ratite birds: the kiwis and the emu. Comparative Biochemistry and Physiology Part A: Physiology, 60(4), 479-481.","not specified",
3,"Chordata","Aves","Apterygiformes","Apterygidae","Apteryx","owenii",,"body mass",1.525,"kg",,,1,,41,"Calder III & Dawson, 1978",1978,"Calder III, W. A., & Dawson, T. J. (1978). Resting metabolic rates of ratite birds: the kiwis and the emu. Comparative Biochemistry and Physiology Part A: Physiology, 60(4), 479-481.","",
3,"Chordata","Aves","Apterygiformes","Apterygidae","Apteryx","owenii",,"metabolic rate",2.55,"W",17,,1,,41,"Calder III & Dawson, 1978",1978,"Calder III, W. A., & Dawson, T. J. (1978). Resting metabolic rates of ratite birds: the kiwis and the emu. Comparative Biochemistry and Physiology Part A: Physiology, 60(4), 479-481.","not specified",
4,"Chordata","Aves","Apterygiformes","Apterygidae","Apteryx","australis ",,"body mass",1.85,"kg",,,1,,41,"Calder III & Dawson, 1978",1978,"Calder III, W. A., & Dawson, T. J. (1978). Resting metabolic rates of ratite birds: the kiwis and the emu. Comparative Biochemistry and Physiology Part A: Physiology, 60(4), 479-481.","",
4,"Chordata","Aves","Apterygiformes","Apterygidae","Apteryx","australis ",,"metabolic rate",3.58,"W",17.5,,1,,41,"Calder III & Dawson, 1978",1978,"Calder III, W. A., & Dawson, T. J. (1978). Resting metabolic rates of ratite birds: the kiwis and the emu. Comparative Biochemistry and Physiology Part A: Physiology, 60(4), 479-481.","not specified",
5,"Chordata","Aves","Apterygiformes","Apterygidae","Apteryx","australis ",,"body mass",3.07,"kg",,,1,,41,"Calder III & Dawson, 1978",1978,"Calder III, W. A., & Dawson, T. J. (1978). Resting metabolic rates of ratite birds: the kiwis and the emu. Comparative Biochemistry and Physiology Part A: Physiology, 60(4), 479-481.","",
5,"Chordata","Aves","Apterygiformes","Apterygidae","Apteryx","australis ",,"metabolic rate",3.89,"W",17.5,,1,,41,"Calder III & Dawson, 1978",1978,"Calder III, W. A., & Dawson, T. J. (1978). Resting metabolic rates of ratite birds: the kiwis and the emu. Comparative Biochemistry and Physiology Part A: Physiology, 60(4), 479-481.","not specified",
