"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Aves","Apodiformes","Trochilidae","Ocreatus","underwoodii","","body mass",2.7,"g",,,,"sample size not provided ",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","",
1,"Chordata","Aves","Apodiformes","Trochilidae","Ocreatus","underwoodii","","metabolic rate",493,"J/g/h",25,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","basal metabolic rate",
2,"Chordata","Aves","Apodiformes","Trochilidae","Chlorostilbon","mellisugus","male","body mass",2.9,"g",,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","",
2,"Chordata","Aves","Apodiformes","Trochilidae","Chlorostilbon","mellisugus","male","metabolic rate",428,"J/g/h",25,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","basal metabolic rate",
3,"Chordata","Aves","Apodiformes","Trochilidae","Orthorhyncus","cristatus","male","body mass",2.9,"g",,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","",
3,"Chordata","Aves","Apodiformes","Trochilidae","Orthorhyncus","cristatus","male","metabolic rate",375,"J/g/h",25,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","basal metabolic rate",
4,"Chordata","Aves","Apodiformes","Trochilidae","Orthorhyncus","cristatus","male","body mass",2.9,"g",,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","",
4,"Chordata","Aves","Apodiformes","Trochilidae","Orthorhyncus","cristatus","male","metabolic rate",300,"J/g/h",25,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","basal metabolic rate",
5,"Chordata","Aves","Apodiformes","Trochilidae","Archilochus","alexandri","male","body mass",2.9,"g",,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","",
5,"Chordata","Aves","Apodiformes","Trochilidae","Archilochus","alexandri","male","metabolic rate",477,"J/g/h",25,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","basal metabolic rate",
6,"Chordata","Aves","Apodiformes","Trochilidae","Archilochus","alexandri","female","body mass",3.2,"g",,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","",
6,"Chordata","Aves","Apodiformes","Trochilidae","Archilochus","alexandri","female","metabolic rate",478,"J/g/h",25,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","basal metabolic rate",
7,"Chordata","Aves","Apodiformes","Trochilidae","Chaetocercus","mulsant","female","body mass",3.3,"g",,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","",
7,"Chordata","Aves","Apodiformes","Trochilidae","Chaetocercus","mulsant","female","metabolic rate",446,"J/g/h",25,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","basal metabolic rate",
8,"Chordata","Aves","Apodiformes","Trochilidae","Urosticte","benjamini","female","body mass",3.9,"g",,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","",
8,"Chordata","Aves","Apodiformes","Trochilidae","Urosticte","benjamini","female","metabolic rate",274,"J/g/h",25,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","basal metabolic rate",
9,"Chordata","Aves","Apodiformes","Trochilidae","Trochilus","scitulus","female","body mass",4,"g",,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","",
9,"Chordata","Aves","Apodiformes","Trochilidae","Trochilus","scitulus","female","metabolic rate",513,"J/g/h",25,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","basal metabolic rate",
10,"Chordata","Aves","Apodiformes","Trochilidae","Chrysuronia ","oenone","male","body mass",5,"g",,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","",
10,"Chordata","Aves","Apodiformes","Trochilidae","Chrysuronia ","oenone","male","metabolic rate",431,"J/g/h",25,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","basal metabolic rate",
11,"Chordata","Aves","Apodiformes","Trochilidae","Florisuga","mellivora","male","body mass",6.9,"g",,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","",
11,"Chordata","Aves","Apodiformes","Trochilidae","Florisuga","mellivora","male","metabolic rate",404,"J/g/h",25,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","basal metabolic rate",
12,"Chordata","Aves","Apodiformes","Trochilidae","Aglaeactis","cupripennis","","body mass",7.2,"g",,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","",
12,"Chordata","Aves","Apodiformes","Trochilidae","Aglaeactis","cupripennis","","metabolic rate",247,"J/g/h",25,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","basal metabolic rate",
13,"Chordata","Aves","Apodiformes","Trochilidae","Boissonneaua","matthewsii","","body mass",7.2,"g",,,,"",52,"Krüger, Prinzinger, & Schuchmann, 1982",1982,"Krüger, K., Prinzinger, R., & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology, 73(4), 679-689.","",
