"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Aves","Anseriformes","Anatidae","Anas","crecca",,"body mass",250,"g",,,1,,43,"Prinzinger & Hänssler, 1980",1980,"Prinzinger, R., & Hänssler, I. (1980). Metabolism-weight relationship in some small nonpasserine birds. Experientia, 36(11), 1299-1300. doi:10.1007/bf01969600","",
1,"Chordata","Aves","Anseriformes","Anatidae","Anas","crecca",,"metabolic rate",6,"kJ/h",22.5,,1,,43,"Prinzinger & Hänssler, 1980",1980,"Prinzinger, R., & Hänssler, I. (1980). Metabolism-weight relationship in some small nonpasserine birds. Experientia, 36(11), 1299-1300. doi:10.1007/bf01969600","basal metabolic rate",
2,"Chordata","Aves","Anseriformes","Anatidae","Anas","querquedula",,"body mass",289,"g",,,1,,43,"Prinzinger & Hänssler, 1980",1980,"Prinzinger, R., & Hänssler, I. (1980). Metabolism-weight relationship in some small nonpasserine birds. Experientia, 36(11), 1299-1300. doi:10.1007/bf01969600","",
2,"Chordata","Aves","Anseriformes","Anatidae","Anas","querquedula",,"metabolic rate",8.04,"kJ/h",22.5,,1,,43,"Prinzinger & Hänssler, 1980",1980,"Prinzinger, R., & Hänssler, I. (1980). Metabolism-weight relationship in some small nonpasserine birds. Experientia, 36(11), 1299-1300. doi:10.1007/bf01969600","basal metabolic rate",
3,"Chordata","Aves","Anseriformes","Anatidae","Aythya","nyroca",,"body mass",440,"g",,,1,,43,"Prinzinger & Hänssler, 1980",1980,"Prinzinger, R., & Hänssler, I. (1980). Metabolism-weight relationship in some small nonpasserine birds. Experientia, 36(11), 1299-1300. doi:10.1007/bf01969600","",
3,"Chordata","Aves","Anseriformes","Anatidae","Aythya","nyroca",,"metabolic rate",11.78,"kJ/h",22.5,,1,,43,"Prinzinger & Hänssler, 1980",1980,"Prinzinger, R., & Hänssler, I. (1980). Metabolism-weight relationship in some small nonpasserine birds. Experientia, 36(11), 1299-1300. doi:10.1007/bf01969600","basal metabolic rate",
4,"Chordata","Aves","Anseriformes","Anatidae","Anas","penelope",,"body mass",539,"g",,,1,,43,"Prinzinger & Hänssler, 1980",1980,"Prinzinger, R., & Hänssler, I. (1980). Metabolism-weight relationship in some small nonpasserine birds. Experientia, 36(11), 1299-1300. doi:10.1007/bf01969600","",
4,"Chordata","Aves","Anseriformes","Anatidae","Anas","penelope",,"metabolic rate",11.29,"kJ/h",22.5,,1,,43,"Prinzinger & Hänssler, 1980",1980,"Prinzinger, R., & Hänssler, I. (1980). Metabolism-weight relationship in some small nonpasserine birds. Experientia, 36(11), 1299-1300. doi:10.1007/bf01969600","basal metabolic rate",
5,"Chordata","Aves","Anseriformes","Anatidae","Anas","clypeata",,"body mass",554,"g",,,1,,43,"Prinzinger & Hänssler, 1980",1980,"Prinzinger, R., & Hänssler, I. (1980). Metabolism-weight relationship in some small nonpasserine birds. Experientia, 36(11), 1299-1300. doi:10.1007/bf01969600","",
5,"Chordata","Aves","Anseriformes","Anatidae","Anas","clypeata",,"metabolic rate",13.96,"kJ/h",22.5,,1,,43,"Prinzinger & Hänssler, 1980",1980,"Prinzinger, R., & Hänssler, I. (1980). Metabolism-weight relationship in some small nonpasserine birds. Experientia, 36(11), 1299-1300. doi:10.1007/bf01969600","basal metabolic rate",
6,"Chordata","Aves","Anseriformes","Anatidae","Aythya ","fuligula",,"body mass",571,"g",,,1,,43,"Prinzinger & Hänssler, 1980",1980,"Prinzinger, R., & Hänssler, I. (1980). Metabolism-weight relationship in some small nonpasserine birds. Experientia, 36(11), 1299-1300. doi:10.1007/bf01969600","",
6,"Chordata","Aves","Anseriformes","Anatidae","Aythya ","fuligula",,"metabolic rate",9.73,"kJ/h",22.5,,1,,43,"Prinzinger & Hänssler, 1980",1980,"Prinzinger, R., & Hänssler, I. (1980). Metabolism-weight relationship in some small nonpasserine birds. Experientia, 36(11), 1299-1300. doi:10.1007/bf01969600","basal metabolic rate",
7,"Chordata","Aves","Anseriformes","Anatidae","Anas","acuta",,"body mass",721,"g",,,1,,43,"Prinzinger & Hänssler, 1980",1980,"Prinzinger, R., & Hänssler, I. (1980). Metabolism-weight relationship in some small nonpasserine birds. Experientia, 36(11), 1299-1300. doi:10.1007/bf01969600","",
7,"Chordata","Aves","Anseriformes","Anatidae","Anas","acuta",,"metabolic rate",15.71,"kJ/h",22.5,,1,,43,"Prinzinger & Hänssler, 1980",1980,"Prinzinger, R., & Hänssler, I. (1980). Metabolism-weight relationship in some small nonpasserine birds. Experientia, 36(11), 1299-1300. doi:10.1007/bf01969600","basal metabolic rate",
8,"Chordata","Aves","Anseriformes","Anatidae","Anas","strepera",,"body mass",791,"g",,,1,,43,"Prinzinger & Hänssler, 1980",1980,"Prinzinger, R., & Hänssler, I. (1980). Metabolism-weight relationship in some small nonpasserine birds. Experientia, 36(11), 1299-1300. doi:10.1007/bf01969600","",
8,"Chordata","Aves","Anseriformes","Anatidae","Anas","strepera",,"metabolic rate",22.33,"kJ/h",22.5,,1,,43,"Prinzinger & Hänssler, 1980",1980,"Prinzinger, R., & Hänssler, I. (1980). Metabolism-weight relationship in some small nonpasserine birds. Experientia, 36(11), 1299-1300. doi:10.1007/bf01969600","basal metabolic rate",
