"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Aves","Passeriformes","Maluridae","Malurus","cyaneus",,"mass",8.7,"g",,,10,,62,"Bech, Chappell, Astheimer, Londoño, & Buttemer, 2016","2016","Bech, C., Chappell, M. A., Astheimer, L. B., Londoño, G. A., & Buttemer, W. A. (2016). A 'slow pace of life' in Australian old-endemic passerine birds is not accompanied by low basal metabolic rates. Journal of Comparative Physiology B, 186(4), 503-512. doi:10.1007/s00360-016-0964-6",,
1,"Chordata","Aves","Passeriformes","Maluridae","Malurus","cyaneus",,"metabolic rate",0.53,"(O2) ml/min",31,,10,,62,"Bech, Chappell, Astheimer, Londoño, & Buttemer, 2016","2016","Bech, C., Chappell, M. A., Astheimer, L. B., Londoño, G. A., & Buttemer, W. A. (2016). A 'slow pace of life' in Australian old-endemic passerine birds is not accompanied by low basal metabolic rates. Journal of Comparative Physiology B, 186(4), 503-512. doi:10.1007/s00360-016-0964-6","basal metabolic rate",""
2,"Chordata","Aves","Passeriformes","Maluridae","Malurus","lamberti",,"mass",7.8,"g",,,7,,62,"Bech, Chappell, Astheimer, Londoño, & Buttemer, 2016","2016","Bech, C., Chappell, M. A., Astheimer, L. B., Londoño, G. A., & Buttemer, W. A. (2016). A 'slow pace of life' in Australian old-endemic passerine birds is not accompanied by low basal metabolic rates. Journal of Comparative Physiology B, 186(4), 503-512. doi:10.1007/s00360-016-0964-6",,
2,"Chordata","Aves","Passeriformes","Maluridae","Malurus","lamberti",,"metabolic rate",0.55,"(O2) ml/min",31,,7,,62,"Bech, Chappell, Astheimer, Londoño, & Buttemer, 2016","2016","Bech, C., Chappell, M. A., Astheimer, L. B., Londoño, G. A., & Buttemer, W. A. (2016). A 'slow pace of life' in Australian old-endemic passerine birds is not accompanied by low basal metabolic rates. Journal of Comparative Physiology B, 186(4), 503-512. doi:10.1007/s00360-016-0964-6","basal metabolic rate",""
3,"Chordata","Aves","Passeriformes","Meliphagidae","Acanthagenys","rufogularis",,"mass",43.4,"g",,,7,,62,"Bech, Chappell, Astheimer, Londoño, & Buttemer, 2016","2016","Bech, C., Chappell, M. A., Astheimer, L. B., Londoño, G. A., & Buttemer, W. A. (2016). A 'slow pace of life' in Australian old-endemic passerine birds is not accompanied by low basal metabolic rates. Journal of Comparative Physiology B, 186(4), 503-512. doi:10.1007/s00360-016-0964-6",,
3,"Chordata","Aves","Passeriformes","Meliphagidae","Acanthagenys","rufogularis",,"metabolic rate",1.9,"(O2) ml/min",31,,7,,62,"Bech, Chappell, Astheimer, Londoño, & Buttemer, 2016","2016","Bech, C., Chappell, M. A., Astheimer, L. B., Londoño, G. A., & Buttemer, W. A. (2016). A 'slow pace of life' in Australian old-endemic passerine birds is not accompanied by low basal metabolic rates. Journal of Comparative Physiology B, 186(4), 503-512. doi:10.1007/s00360-016-0964-6","basal metabolic rate",""
4,"Chordata","Aves","Passeriformes","Meliphagidae","Manorina","flavigula",,"mass",41.1,"g",,,5,,62,"Bech, Chappell, Astheimer, Londoño, & Buttemer, 2016","2016","Bech, C., Chappell, M. A., Astheimer, L. B., Londoño, G. A., & Buttemer, W. A. (2016). A 'slow pace of life' in Australian old-endemic passerine birds is not accompanied by low basal metabolic rates. Journal of Comparative Physiology B, 186(4), 503-512. doi:10.1007/s00360-016-0964-6",,
4,"Chordata","Aves","Passeriformes","Meliphagidae","Manorina","flavigula",,"metabolic rate",1.83,"(O2) ml/min",31,,5,,62,"Bech, Chappell, Astheimer, Londoño, & Buttemer, 2016","2016","Bech, C., Chappell, M. A., Astheimer, L. B., Londoño, G. A., & Buttemer, W. A. (2016). A 'slow pace of life' in Australian old-endemic passerine birds is not accompanied by low basal metabolic rates. Journal of Comparative Physiology B, 186(4), 503-512. doi:10.1007/s00360-016-0964-6","basal metabolic rate",""
5,"Chordata","Aves","Passeriformes","Meliphagidae","Meliphaga","lewinii",,"mass",36.2,"g",,,7,,62,"Bech, Chappell, Astheimer, Londoño, & Buttemer, 2016","2016","Bech, C., Chappell, M. A., Astheimer, L. B., Londoño, G. A., & Buttemer, W. A. (2016). A 'slow pace of life' in Australian old-endemic passerine birds is not accompanied by low basal metabolic rates. Journal of Comparative Physiology B, 186(4), 503-512. doi:10.1007/s00360-016-0964-6",,
5,"Chordata","Aves","Passeriformes","Meliphagidae","Meliphaga","lewinii",,"metabolic rate",1.6,"(O2) ml/min",31,,7,,62,"Bech, Chappell, Astheimer, Londoño, & Buttemer, 2016","2016","Bech, C., Chappell, M. A., Astheimer, L. B., Londoño, G. A., & Buttemer, W. A. (2016). A 'slow pace of life' in Australian old-endemic passerine birds is not accompanied by low basal metabolic rates. Journal of Comparative Physiology B, 186(4), 503-512. doi:10.1007/s00360-016-0964-6","basal metabolic rate",""
