"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Aves","Passeriformes","Nectariniidae","Aethopyga","christinae",,"body mass",5.2,"g",,,12,,57,"Prinzinger, Lübben, & Schuchmann, 1989",1989,"Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","",
1,"Chordata","Aves","Passeriformes","Nectariniidae","Aethopyga","christinae",,"metabolic rate",257.3,"J/g/h",25,,12,,57,"Prinzinger, Lübben, & Schuchmann, 1989",1989,"Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","basal metabolic rate",
2,"Chordata","Aves","Passeriformes","Nectariniidae","Cinnyris","bifasciatus",,"body mass",6.2,"g",,,1,,57,"Prinzinger, Lübben, & Schuchmann, 1989",1989,"Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","",
2,"Chordata","Aves","Passeriformes","Nectariniidae","Cinnyris","bifasciatus",,"metabolic rate",137.7,"J/g/h",25,,1,,57,"Prinzinger, Lübben, & Schuchmann, 1989",1989,"Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","basal metabolic rate",
3,"Chordata","Aves","Passeriformes","Nectariniidae","Aethopyga","siparaja",,"body mass",6.8,"g",,,2,,57,"Prinzinger, Lübben, & Schuchmann, 1989",1989,"Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","",
3,"Chordata","Aves","Passeriformes","Nectariniidae","Aethopyga","siparaja",,"metabolic rate",211.8,"J/g/h",25,,2,,57,"Prinzinger, Lübben, & Schuchmann, 1989",1989,"Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","basal metabolic rate",
4,"Chordata","Aves","Passeriformes","Nectariniidae","Cinnyris","venustus",,"body mass",7.1,"g",,,3,,57,"Prinzinger, Lübben, & Schuchmann, 1989",1989,"Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","",
4,"Chordata","Aves","Passeriformes","Nectariniidae","Cinnyris","venustus",,"metabolic rate",166.2,"J/g/h",25,,3,,57,"Prinzinger, Lübben, & Schuchmann, 1989",1989,"Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","basal metabolic rate",
5,"Chordata","Aves","Passeriformes","Nectariniidae","Cinnyris ","cupreus",,"body mass",7.4,"g",,,2,,57,"Prinzinger, Lübben, & Schuchmann, 1989",1989,"Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","",
5,"Chordata","Aves","Passeriformes","Nectariniidae","Cinnyris ","cupreus",,"metabolic rate",195,"J/g/h",25,,2,,57,"Prinzinger, Lübben, & Schuchmann, 1989",1989,"Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","basal metabolic rate",
6,"Chordata","Aves","Passeriformes","Nectariniidae","Hedydipna","collaris",,"body mass",8.3,"g",,,3,,57,"Prinzinger, Lübben, & Schuchmann, 1989",1989,"Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","",
6,"Chordata","Aves","Passeriformes","Nectariniidae","Hedydipna","collaris",,"metabolic rate",187.7,"J/g/h",25,,3,,57,"Prinzinger, Lübben, & Schuchmann, 1989",1989,"Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","basal metabolic rate",
7,"Chordata","Aves","Passeriformes","Nectariniidae","Cyanomitra","veroxii",,"body mass",8.4,"g",,,1,,57,"Prinzinger, Lübben, & Schuchmann, 1989",1989,"Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","",
7,"Chordata","Aves","Passeriformes","Nectariniidae","Cyanomitra","veroxii",,"metabolic rate",190.7,"J/g/h",25,,1,,57,"Prinzinger, Lübben, & Schuchmann, 1989",1989,"Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","basal metabolic rate",
8,"Chordata","Aves","Passeriformes","Nectariniidae","Chalcomitra","adelberti",,"body mass",9.5,"g",,,1,,57,"Prinzinger, Lübben, & Schuchmann, 1989",1989,"Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","",
8,"Chordata","Aves","Passeriformes","Nectariniidae","Chalcomitra","adelberti",,"metabolic rate",168.6,"J/g/h",25,,1,,57,"Prinzinger, Lübben, & Schuchmann, 1989",1989,"Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","basal metabolic rate",
9,"Chordata","Aves","Passeriformes","Nectariniidae","Chalcomitra","amethystina",,"body mass",10,"g",,,1,,57,"Prinzinger, Lübben, & Schuchmann, 1989",1989,"Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","",
9,"Chordata","Aves","Passeriformes","Nectariniidae","Chalcomitra","amethystina",,"metabolic rate",147.3,"J/g/h",25,,1,,57,"Prinzinger, Lübben, & Schuchmann, 1989",1989,"Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","basal metabolic rate",
