"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Aves","Passeriformes","Passerellidae","Spizella","arborea",,"mass",0.0166,"kg",,,,,153,"Lasiewski & Dawson, 1967","1967","Lasiewski, R. C., & Dawson, W. R. (1967). A re-examination of the relation between standard metabolic rate and body weight in birds. The Condor, 69(1), 13-23.",,
1,"Chordata","Aves","Passeriformes","Passerellidae","Spizella","arborea",,"metabolic rate ",6.8,"(O2) kcal/day",,,,,153,"Lasiewski & Dawson, 1967","1967","Lasiewski, R. C., & Dawson, W. R. (1967). A re-examination of the relation between standard metabolic rate and body weight in birds. The Condor, 69(1), 13-23.","standard metabolic rate",""
2,"Chordata","Aves","Passeriformes","Passerellidae","Junco","hyemalis",,"mass",0.018,"kg",,,,,153,"Lasiewski & Dawson, 1967","1967","Lasiewski, R. C., & Dawson, W. R. (1967). A re-examination of the relation between standard metabolic rate and body weight in birds. The Condor, 69(1), 13-23.",,
2,"Chordata","Aves","Passeriformes","Passerellidae","Junco","hyemalis",,"metabolic rate ",6.1,"(O2) kcal/day",,,,,153,"Lasiewski & Dawson, 1967","1967","Lasiewski, R. C., & Dawson, W. R. (1967). A re-examination of the relation between standard metabolic rate and body weight in birds. The Condor, 69(1), 13-23.","standard metabolic rate",""
3,"Chordata","Aves","Passeriformes","Passerellidae","Melospiza","melodia",,"mass",0.0186,"kg",,,,,153,"Lasiewski & Dawson, 1967","1967","Lasiewski, R. C., & Dawson, W. R. (1967). A re-examination of the relation between standard metabolic rate and body weight in birds. The Condor, 69(1), 13-23.",,
3,"Chordata","Aves","Passeriformes","Passerellidae","Melospiza","melodia",,"metabolic rate ",7.8,"(O2) kcal/day",,,,,153,"Lasiewski & Dawson, 1967","1967","Lasiewski, R. C., & Dawson, W. R. (1967). A re-examination of the relation between standard metabolic rate and body weight in birds. The Condor, 69(1), 13-23.","standard metabolic rate",""
4,"Chordata","Aves","Passeriformes","Passerellidae","Zonotrichia","albicollis",,"mass",0.0236,"kg",,,,,153,"Lasiewski & Dawson, 1967","1967","Lasiewski, R. C., & Dawson, W. R. (1967). A re-examination of the relation between standard metabolic rate and body weight in birds. The Condor, 69(1), 13-23.",,
4,"Chordata","Aves","Passeriformes","Passerellidae","Zonotrichia ","albicollis",,"metabolic rate ",9.5,"(O2) kcal/day",,,,,153,"Lasiewski & Dawson, 1967","1967","Lasiewski, R. C., & Dawson, W. R. (1967). A re-examination of the relation between standard metabolic rate and body weight in birds. The Condor, 69(1), 13-23.","standard metabolic rate",""
5,"Chordata","Aves","Passeriformes","Passerellidae","Passerella","iliaca",,"mass",0.0317,"kg",,,,,153,"Lasiewski & Dawson, 1967","1967","Lasiewski, R. C., & Dawson, W. R. (1967). A re-examination of the relation between standard metabolic rate and body weight in birds. The Condor, 69(1), 13-23.",,
5,"Chordata","Aves","Passeriformes","Passerellidae","Passerella","iliaca",,"metabolic rate ",11.3,"(O2) kcal/day",,,,,153,"Lasiewski & Dawson, 1967","1967","Lasiewski, R. C., & Dawson, W. R. (1967). A re-examination of the relation between standard metabolic rate and body weight in birds. The Condor, 69(1), 13-23.","standard metabolic rate",""
6,"Chordata","Aves","Passeriformes","Icteridae","Molothrus","ater",,"mass",0.0337,"kg",,,,,153,"Lasiewski & Dawson, 1967","1967","Lasiewski, R. C., & Dawson, W. R. (1967). A re-examination of the relation between standard metabolic rate and body weight in birds. The Condor, 69(1), 13-23.",,
6,"Chordata","Aves","Passeriformes","Icteridae","Molothrus","ater",,"metabolic rate ",11,"(O2) kcal/day",,,,,153,"Lasiewski & Dawson, 1967","1967","Lasiewski, R. C., & Dawson, W. R. (1967). A re-examination of the relation between standard metabolic rate and body weight in birds. The Condor, 69(1), 13-23.","standard metabolic rate",""
7,"Chordata","Aves","Passeriformes","Corvidae","Corvus","cryptoleucus",,"mass",0.64,"kg",,,,,153,"Lasiewski & Dawson, 1967","1967","Lasiewski, R. C., & Dawson, W. R. (1967). A re-examination of the relation between standard metabolic rate and body weight in birds. The Condor, 69(1), 13-23.",,
7,"Chordata","Aves","Passeriformes","Corvidae","Corvus","cryptoleucus",,"metabolic rate ",79,"(O2) kcal/day",,,,,153,"Lasiewski & Dawson, 1967","1967","Lasiewski, R. C., & Dawson, W. R. (1967). A re-examination of the relation between standard metabolic rate and body weight in birds. The Condor, 69(1), 13-23.","standard metabolic rate",""
8,"Chordata","Aves","Passeriformes","Corvidae","Corvus","corax",,"mass",0.866,"kg",,,,,153,"Lasiewski & Dawson, 1967","1967","Lasiewski, R. C., & Dawson, W. R. (1967). A re-examination of the relation between standard metabolic rate and body weight in birds. The Condor, 69(1), 13-23.",,
8,"Chordata","Aves","Passeriformes","Corvidae","Corvus","corax",,"metabolic rate ",94.9,"(O2) kcal/day",,,,,153,"Lasiewski & Dawson, 1967","1967","Lasiewski, R. C., & Dawson, W. R. (1967). A re-examination of the relation between standard metabolic rate and body weight in birds. The Condor, 69(1), 13-23.","standard metabolic rate",""
9,"Chordata","Aves","Galliformes","Phasianidae","Excalfactoria","chinensis",,"mass",0.0427,"kg",,,,,153,"Lasiewski & Dawson, 1967","1967","Lasiewski, R. C., & Dawson, W. R. (1967). A re-examination of the relation between standard metabolic rate and body weight in birds. The Condor, 69(1), 13-23.",,
9,"Chordata","Aves","Galliformes","Phasianidae","Excalfactoria","chinensis",,"metabolic rate ",6,"(O2) kcal/day",,,,,153,"Lasiewski & Dawson, 1967","1967","Lasiewski, R. C., & Dawson, W. R. (1967). A re-examination of the relation between standard metabolic rate and body weight in birds. The Condor, 69(1), 13-23.","standard metabolic rate",""
10,"Chordata","Aves","Galliformes","Odontophoridae","Colinus","virginianus",,"mass",0.194,"kg",,,,,153,"Lasiewski & Dawson, 1967","1967","Lasiewski, R. C., & Dawson, W. R. (1967). A re-examination of the relation between standard metabolic rate and body weight in birds. The Condor, 69(1), 13-23.",,
10,"Chordata","Aves","Galliformes","Odontophoridae","Colinus","virginianus",,"metabolic rate ",23,"(O2) kcal/day",,,,,153,"Lasiewski & Dawson, 1967","1967","Lasiewski, R. C., & Dawson, W. R. (1967). A re-examination of the relation between standard metabolic rate and body weight in birds. The Condor, 69(1), 13-23.","standard metabolic rate",""
