"X.U.FEFF.observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Arthropoda","Insecta","Lepidoptera","Sphingidae","Manduca","rustica","male","body mass",2.916,"g",,,1,"",25,"Bartholomew & Casey, 1978",1978,"Bartholomew, G. A., & Casey, T. M. (1978). Oxygen Consumption of Moths During Rest, Pre-Flight Warm-Up, and Flight In Relation to Body Size and Wing Morphology. Journal of Experimental Biology, 76(1), 11-25.","",""
1,"Arthropoda","Insecta","Lepidoptera","Sphingidae","Manduca","rustica","male","metabolic rate",0.892,"(O2) cm3/h",23,,1,"",25,"Bartholomew & Casey, 1978",1978,"Bartholomew, G. A., & Casey, T. M. (1978). Oxygen Consumption of Moths During Rest, Pre-Flight Warm-Up, and Flight In Relation to Body Size and Wing Morphology. Journal of Experimental Biology, 76(1), 11-25.","not specified","measured at resting and active state"
2,"Arthropoda","Insecta","Lepidoptera","Sphingidae","Manduca","rustica","","body mass",2.704,"g",,,1,"",25,"Bartholomew & Casey, 1978",1978,"Bartholomew, G. A., & Casey, T. M. (1978). Oxygen Consumption of Moths During Rest, Pre-Flight Warm-Up, and Flight In Relation to Body Size and Wing Morphology. Journal of Experimental Biology, 76(1), 11-25.","",""
2,"Arthropoda","Insecta","Lepidoptera","Sphingidae","Manduca","rustica","","metabolic rate",1.326,"(O2) cm3/h",23,,1,"",25,"Bartholomew & Casey, 1978",1978,"Bartholomew, G. A., & Casey, T. M. (1978). Oxygen Consumption of Moths During Rest, Pre-Flight Warm-Up, and Flight In Relation to Body Size and Wing Morphology. Journal of Experimental Biology, 76(1), 11-25.","not specified","measured at resting and active state"
3,"Arthropoda","Insecta","Lepidoptera","Sphingidae","Manduca","corallina","female","body mass",1.423,"g",,,1,"",25,"Bartholomew & Casey, 1978",1978,"Bartholomew, G. A., & Casey, T. M. (1978). Oxygen Consumption of Moths During Rest, Pre-Flight Warm-Up, and Flight In Relation to Body Size and Wing Morphology. Journal of Experimental Biology, 76(1), 11-25.","",""
4,"Arthropoda","Insecta","Lepidoptera","Sphingidae","Manduca","corallina","male","body mass",1.307,"g",,,1,"",25,"Bartholomew & Casey, 1978",1978,"Bartholomew, G. A., & Casey, T. M. (1978). Oxygen Consumption of Moths During Rest, Pre-Flight Warm-Up, and Flight In Relation to Body Size and Wing Morphology. Journal of Experimental Biology, 76(1), 11-25.","",""
4,"Arthropoda","Insecta","Lepidoptera","Sphingidae","Manduca","corallina","male","metabolic rate",0.437,"(O2) cm3/h",23,,1,"",25,"Bartholomew & Casey, 1978",1978,"Bartholomew, G. A., & Casey, T. M. (1978). Oxygen Consumption of Moths During Rest, Pre-Flight Warm-Up, and Flight In Relation to Body Size and Wing Morphology. Journal of Experimental Biology, 76(1), 11-25.","not specified","measured at resting and active state"
5,"Arthropoda","Insecta","Lepidoptera","Sphingidae","Manduca","corallina","male","body mass",1.294,"g",,,1,"",25,"Bartholomew & Casey, 1978",1978,"Bartholomew, G. A., & Casey, T. M. (1978). Oxygen Consumption of Moths During Rest, Pre-Flight Warm-Up, and Flight In Relation to Body Size and Wing Morphology. Journal of Experimental Biology, 76(1), 11-25.","",""
5,"Arthropoda","Insecta","Lepidoptera","Sphingidae","Manduca","corallina","male","metabolic rate",0.481,"(O2) cm3/h",23,,1,"",25,"Bartholomew & Casey, 1978",1978,"Bartholomew, G. A., & Casey, T. M. (1978). Oxygen Consumption of Moths During Rest, Pre-Flight Warm-Up, and Flight In Relation to Body Size and Wing Morphology. Journal of Experimental Biology, 76(1), 11-25.","not specified","measured at resting and active state"
6,"Arthropoda","Insecta","Lepidoptera","Sphingidae","Manduca","corallina","male","body mass",1.388,"g",,,1,"",25,"Bartholomew & Casey, 1978",1978,"Bartholomew, G. A., & Casey, T. M. (1978). Oxygen Consumption of Moths During Rest, Pre-Flight Warm-Up, and Flight In Relation to Body Size and Wing Morphology. Journal of Experimental Biology, 76(1), 11-25.","",""
6,"Arthropoda","Insecta","Lepidoptera","Sphingidae","Manduca","corallina","male","metabolic rate",0.331,"(O2) cm3/h",23,,1,"",25,"Bartholomew & Casey, 1978",1978,"Bartholomew, G. A., & Casey, T. M. (1978). Oxygen Consumption of Moths During Rest, Pre-Flight Warm-Up, and Flight In Relation to Body Size and Wing Morphology. Journal of Experimental Biology, 76(1), 11-25.","not specified","measured at resting and active state"
7,"Arthropoda","Insecta","Lepidoptera","Sphingidae","Manduca","corallina","female","body mass",2.484,"g",,,1,"",25,"Bartholomew & Casey, 1978",1978,"Bartholomew, G. A., & Casey, T. M. (1978). Oxygen Consumption of Moths During Rest, Pre-Flight Warm-Up, and Flight In Relation to Body Size and Wing Morphology. Journal of Experimental Biology, 76(1), 11-25.","",""
