"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmica","rubra",,"body mass",0.92,"mg",,,32,,35,"Jensen & Nielsen, 1975",1975,"Jensen, T. F., & Nielsen, M. G. (1975). The influence of body size and temperature on worker ant respiration. Natura Jutlandica, 18, 21-25","",
1,"Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmica","rubra",,"metabolic rate",1.31,"(O2) ul/mg/h",25,,32,,35,"Jensen & Nielsen, 1975",1975,"Jensen, T. F., & Nielsen, M. G. (1975). The influence of body size and temperature on worker ant respiration. Natura Jutlandica, 18, 21-25","not specified",
2,"Arthropoda","Insecta","Hymenoptera","Formicidae","Tetramorium","caespitum",,"body mass",0.23,"mg",,,33,,35,"Jensen & Nielsen, 1975",1975,"Jensen, T. F., & Nielsen, M. G. (1975). The influence of body size and temperature on worker ant respiration. Natura Jutlandica, 18, 21-25","",
2,"Arthropoda","Insecta","Hymenoptera","Formicidae","Tetramorium","caespitum",,"metabolic rate",1.87,"(O2) ul/mg/h",25,,33,,35,"Jensen & Nielsen, 1975",1975,"Jensen, T. F., & Nielsen, M. G. (1975). The influence of body size and temperature on worker ant respiration. Natura Jutlandica, 18, 21-25","not specified",
3,"Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","herculeanus",,"body mass",6.71,"mg",,,31,,35,"Jensen & Nielsen, 1975",1975,"Jensen, T. F., & Nielsen, M. G. (1975). The influence of body size and temperature on worker ant respiration. Natura Jutlandica, 18, 21-25","",
3,"Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","herculeanus",,"metabolic rate",2.02,"(O2) ul/mg/h",25,,31,,35,"Jensen & Nielsen, 1975",1975,"Jensen, T. F., & Nielsen, M. G. (1975). The influence of body size and temperature on worker ant respiration. Natura Jutlandica, 18, 21-25","not specified",
4,"Arthropoda","Insecta","Hymenoptera","Formicidae","Lasius","niger",,"body mass",0.58,"mg",,,42,,35,"Jensen & Nielsen, 1975",1975,"Jensen, T. F., & Nielsen, M. G. (1975). The influence of body size and temperature on worker ant respiration. Natura Jutlandica, 18, 21-25","",
4,"Arthropoda","Insecta","Hymenoptera","Formicidae","Lasius","niger",,"metabolic rate",1.85,"(O2) ul/mg/h",25,,42,,35,"Jensen & Nielsen, 1975",1975,"Jensen, T. F., & Nielsen, M. G. (1975). The influence of body size and temperature on worker ant respiration. Natura Jutlandica, 18, 21-25","not specified",
5,"Arthropoda","Insecta","Hymenoptera","Formicidae","Lasius","alienus",,"body mass",0.46,"mg",,,99,,35,"Jensen & Nielsen, 1975",1975,"Jensen, T. F., & Nielsen, M. G. (1975). The influence of body size and temperature on worker ant respiration. Natura Jutlandica, 18, 21-25","",
5,"Arthropoda","Insecta","Hymenoptera","Formicidae","Lasius","alienus",,"metabolic rate",2.35,"(O2) ul/mg/h",25,,99,,35,"Jensen & Nielsen, 1975",1975,"Jensen, T. F., & Nielsen, M. G. (1975). The influence of body size and temperature on worker ant respiration. Natura Jutlandica, 18, 21-25","not specified",
