"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Arthropoda","Insecta","Odonata","Aeschnidae","Anax","junius","both","body mass",1.019,"g",,,7,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","",
1,"Arthropoda","Insecta","Odonata","Aeschnidae","Anax","junius","both","metabolic rate",1.04,"(O2) ml/h",30,1,7,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","resting metabolic rate",
2,"Arthropoda","Insecta","Odonata","Libellulidae","Brachymesia","gravida","both","body mass",0.344,"g",,,8,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","",
2,"Arthropoda","Insecta","Odonata","Libellulidae","Brachymesia","gravida","both","metabolic rate",0.39,"(O2) ml/h",30,1,8,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","resting metabolic rate",
3,"Arthropoda","Insecta","Odonata","Libellulidae","Erythemis","simplicicollis","both","body mass",0.263,"g",,,8,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","",
3,"Arthropoda","Insecta","Odonata","Libellulidae","Erythemis","simplicicollis","both","metabolic rate",0.22,"(O2) ml/h",30,1,8,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","resting metabolic rate",
4,"Arthropoda","Insecta","Odonata","Libellulidae","Erythrodiplax ","berenice","both","body mass",0.125,"g",,,8,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","",
4,"Arthropoda","Insecta","Odonata","Libellulidae","Erythrodiplax ","berenice","both","metabolic rate",0.11,"(O2) ml/h",30,1,8,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","resting metabolic rate",
5,"Arthropoda","Insecta","Odonata","Libellulidae","Erythrodiplax ","connata","male","body mass",0.052,"g",,,7,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","",
5,"Arthropoda","Insecta","Odonata","Libellulidae","Erythrodiplax ","connata","male","metabolic rate",0.024,"(O2) ml/h",20,1,7,"Q10 (20-30 degrees): 2.7",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","resting metabolic rate",
6,"Arthropoda","Insecta","Odonata","Libellulidae","Erythrodiplax ","connata","both","body mass",0.049,"g",,,14,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","",
6,"Arthropoda","Insecta","Odonata","Libellulidae","Erythrodiplax ","connata","both","metabolic rate",0.069,"(O2) ml/h",30,1,14,"Q10 (30-40 degrees): 2.4",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","resting metabolic rate",
7,"Arthropoda","Insecta","Odonata","Libellulidae","Erythrodiplax ","connata","male","body mass",0.049,"g",,,7,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","",
7,"Arthropoda","Insecta","Odonata","Libellulidae","Erythrodiplax ","connata","male","metabolic rate",0.14,"(O2) ml/h",40,1,7,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","resting metabolic rate",
8,"Arthropoda","Insecta","Odonata","Libellulidae","Libellula","auripennis","both","body mass",0.464,"g",,,8,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","",
8,"Arthropoda","Insecta","Odonata","Libellulidae","Libellula","auripennis","both","metabolic rate",0.35,"(O2) ml/h",30,1,8,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","resting metabolic rate",
9,"Arthropoda","Insecta","Odonata","Libellulidae","Libellula","needhami","both","body mass",0.518,"g",,,8,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","",
9,"Arthropoda","Insecta","Odonata","Libellulidae","Libellula","needhami","both","metabolic rate",0.42,"(O2) ml/h",30,1,8,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","resting metabolic rate",
10,"Arthropoda","Insecta","Odonata","Libellulidae","Libellula","spp. (combined)","both","body mass",0.419,"g",,,8,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","",
10,"Arthropoda","Insecta","Odonata","Libellulidae","Libellula","spp. (combined)","both","metabolic rate",0.16,"(O2) ml/h",20,1,8,"Q10 (20-30 degrees): 2.4",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","resting metabolic rate",
11,"Arthropoda","Insecta","Odonata","Libellulidae","Libellula","spp. (combined)","both","body mass",0.491,"g",,,7,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","",
11,"Arthropoda","Insecta","Odonata","Libellulidae","Libellula","spp. (combined)","both","metabolic rate",0.39,"(O2) ml/h",30,1,7,"Q10 (30-40 degrees): 2.1",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","resting metabolic rate",
12,"Arthropoda","Insecta","Odonata","Libellulidae","Libellula","spp. (combined)","both","body mass",0.443,"g",,,7,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","",
12,"Arthropoda","Insecta","Odonata","Libellulidae","Libellula","spp. (combined)","both","metabolic rate",0.8,"(O2) ml/h",40,1,7,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","resting metabolic rate",
13,"Arthropoda","Insecta","Odonata","Libellulidae","Miathyria","marcella","both","body mass",0.171,"g",,,8,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","",
13,"Arthropoda","Insecta","Odonata","Libellulidae","Miathyria","marcella","both","metabolic rate",0.096,"(O2) ml/h",20,1,8,"Q10 (20-30 degrees): 2.7",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","resting metabolic rate",
14,"Arthropoda","Insecta","Odonata","Libellulidae","Miathyria","marcella","both","body mass",0.184,"g",,,12,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","",
14,"Arthropoda","Insecta","Odonata","Libellulidae","Miathyria","marcella","both","metabolic rate",0.28,"(O2) ml/h",30,1,12,"Q10 (30-40 degrees): 2.0",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","resting metabolic rate",
15,"Arthropoda","Insecta","Odonata","Libellulidae","Miathyria","marcella","both","body mass",0.172,"g",,,8,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","",
15,"Arthropoda","Insecta","Odonata","Libellulidae","Miathyria","marcella","both","metabolic rate",0.52,"(O2) ml/h",40,1,8,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","resting metabolic rate",
16,"Arthropoda","Insecta","Odonata","Libellulidae","Pachydiplax","longipennis","male","body mass",0.2,"g",,,8,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","",
16,"Arthropoda","Insecta","Odonata","Libellulidae","Pachydiplax","longipennis","male","metabolic rate",0.048,"(O2) ml/h",15,1,8,"Q10 (15-20 degrees): 3.4",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","resting metabolic rate",
17,"Arthropoda","Insecta","Odonata","Libellulidae","Pachydiplax","longipennis","both","body mass",0.186,"g",,,8,"",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","",
17,"Arthropoda","Insecta","Odonata","Libellulidae","Pachydiplax","longipennis","both","metabolic rate",0.079,"(O2) ml/h",20,1,8,"Q10 (20-25 degrees): 2.5",4,"(May, 1979)",1979,"May, M. L. (1979). Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology, 83(1), 79-94.","resting metabolic rate",
