observationID,phylum,class,order,family,genus,specificEpithet,sex,measurementType,measurementValue,measurementUnit,temperature,respiratoryQuotient,sampleSizeValue,comments,reference,inTextReference,publicationYear,fullReference,measurementMethod,metadataComment
1,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Onymacris,plana,male,mass,0.691,g,,,6,,20,"Bartholomew, Lighton, & Louw, 1985",1985,"Bartholomew, G. A., Lighton, J. R., & Louw, G. N. (1985). Energetics of locomotion and patterns of respiration in tenebrionid beetles from the Namib Desert. Journal of Comparative Physiology B, 155(2), 155-162. doi:10.1007/bf00685208",,
1,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Onymacris,plana,male,metabolic rate ,0.67,(O2) ml/g/h,35,,6,,20,"Bartholomew, Lighton, & Louw, 1985",1985,"Bartholomew, G. A., Lighton, J. R., & Louw, G. N. (1985). Energetics of locomotion and patterns of respiration in tenebrionid beetles from the Namib Desert. Journal of Comparative Physiology B, 155(2), 155-162. doi:10.1007/bf00685208",not specified,mentioned as motionless metabolic rate in the paper
2,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Onymacris,plana,male,mass,0.687,g,,,12,,20,"Bartholomew, Lighton, & Louw, 1985",1985,"Bartholomew, G. A., Lighton, J. R., & Louw, G. N. (1985). Energetics of locomotion and patterns of respiration in tenebrionid beetles from the Namib Desert. Journal of Comparative Physiology B, 155(2), 155-162. doi:10.1007/bf00685208",,
2,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Onymacris,plana,male,metabolic rate ,0.122,(O2) ml/g/h,22,,12,,20,"Bartholomew, Lighton, & Louw, 1985",1985,"Bartholomew, G. A., Lighton, J. R., & Louw, G. N. (1985). Energetics of locomotion and patterns of respiration in tenebrionid beetles from the Namib Desert. Journal of Comparative Physiology B, 155(2), 155-162. doi:10.1007/bf00685208",not specified,mentioned as motionless metabolic rate in the paper
3,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Physadesmia,globosa,male,mass,0.652,g,,,8,,20,"Bartholomew, Lighton, & Louw, 1985",1985,"Bartholomew, G. A., Lighton, J. R., & Louw, G. N. (1985). Energetics of locomotion and patterns of respiration in tenebrionid beetles from the Namib Desert. Journal of Comparative Physiology B, 155(2), 155-162. doi:10.1007/bf00685208",,
3,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Physadesmia,globosa,male,metabolic rate ,0.362,(O2) ml/g/h,35,,8,,20,"Bartholomew, Lighton, & Louw, 1985",1985,"Bartholomew, G. A., Lighton, J. R., & Louw, G. N. (1985). Energetics of locomotion and patterns of respiration in tenebrionid beetles from the Namib Desert. Journal of Comparative Physiology B, 155(2), 155-162. doi:10.1007/bf00685208",not specified,mentioned as motionless metabolic rate in the paper
4,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Physadesmia,globosa,male,mass,0.743,g,,,13,,20,"Bartholomew, Lighton, & Louw, 1985",1985,"Bartholomew, G. A., Lighton, J. R., & Louw, G. N. (1985). Energetics of locomotion and patterns of respiration in tenebrionid beetles from the Namib Desert. Journal of Comparative Physiology B, 155(2), 155-162. doi:10.1007/bf00685208",,
4,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Physadesmia,globosa,male,metabolic rate ,0.123,(O2) ml/g/h,22,,13,,20,"Bartholomew, Lighton, & Louw, 1985",1985,"Bartholomew, G. A., Lighton, J. R., & Louw, G. N. (1985). Energetics of locomotion and patterns of respiration in tenebrionid beetles from the Namib Desert. Journal of Comparative Physiology B, 155(2), 155-162. doi:10.1007/bf00685208",not specified,mentioned as motionless metabolic rate in the paper
5,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Physosterna,cribripes,male,mass,1.226,g,,,9,,20,"Bartholomew, Lighton, & Louw, 1985",1985,"Bartholomew, G. A., Lighton, J. R., & Louw, G. N. (1985). Energetics of locomotion and patterns of respiration in tenebrionid beetles from the Namib Desert. Journal of Comparative Physiology B, 155(2), 155-162. doi:10.1007/bf00685208",,
5,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Physosterna,cribripes,male,metabolic rate ,0.382,(O2) ml/g/h,35,,9,,20,"Bartholomew, Lighton, & Louw, 1985",1985,"Bartholomew, G. A., Lighton, J. R., & Louw, G. N. (1985). Energetics of locomotion and patterns of respiration in tenebrionid beetles from the Namib Desert. Journal of Comparative Physiology B, 155(2), 155-162. doi:10.1007/bf00685208",not specified,mentioned as motionless metabolic rate in the paper
6,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Physosterna,cribripes,male,mass,1.285,g,,,8,,20,"Bartholomew, Lighton, & Louw, 1985",1985,"Bartholomew, G. A., Lighton, J. R., & Louw, G. N. (1985). Energetics of locomotion and patterns of respiration in tenebrionid beetles from the Namib Desert. Journal of Comparative Physiology B, 155(2), 155-162. doi:10.1007/bf00685208",,
6,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Physosterna,cribripes,male,metabolic rate ,0.287,(O2) ml/g/h,35,,8,,20,"Bartholomew, Lighton, & Louw, 1985",1985,"Bartholomew, G. A., Lighton, J. R., & Louw, G. N. (1985). Energetics of locomotion and patterns of respiration in tenebrionid beetles from the Namib Desert. Journal of Comparative Physiology B, 155(2), 155-162. doi:10.1007/bf00685208",not specified,mentioned as motionless metabolic rate in the paper
7,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Physosterna,cribripes,male,mass,1.226,g,,,13,,20,"Bartholomew, Lighton, & Louw, 1985",1985,"Bartholomew, G. A., Lighton, J. R., & Louw, G. N. (1985). Energetics of locomotion and patterns of respiration in tenebrionid beetles from the Namib Desert. Journal of Comparative Physiology B, 155(2), 155-162. doi:10.1007/bf00685208",,
7,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Physosterna,cribripes,male,metabolic rate ,0.093,(O2) ml/g/h,22,,13,,20,"Bartholomew, Lighton, & Louw, 1985",1985,"Bartholomew, G. A., Lighton, J. R., & Louw, G. N. (1985). Energetics of locomotion and patterns of respiration in tenebrionid beetles from the Namib Desert. Journal of Comparative Physiology B, 155(2), 155-162. doi:10.1007/bf00685208",not specified,mentioned as motionless metabolic rate in the paper
8,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Epiphysa,arenicola,male,mass,1.187,g,,,13,,20,"Bartholomew, Lighton, & Louw, 1985",1985,"Bartholomew, G. A., Lighton, J. R., & Louw, G. N. (1985). Energetics of locomotion and patterns of respiration in tenebrionid beetles from the Namib Desert. Journal of Comparative Physiology B, 155(2), 155-162. doi:10.1007/bf00685208",,
8,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Epiphysa,arenicola,male,metabolic rate ,0.111,(O2) ml/g/h,22,,13,,20,"Bartholomew, Lighton, & Louw, 1985",1985,"Bartholomew, G. A., Lighton, J. R., & Louw, G. N. (1985). Energetics of locomotion and patterns of respiration in tenebrionid beetles from the Namib Desert. Journal of Comparative Physiology B, 155(2), 155-162. doi:10.1007/bf00685208",not specified,mentioned as motionless metabolic rate in the paper
