"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Sisyphus ","fasciculatus",,"body mass",0.136,"g",,,6,,14,"Duncan & Byrne, 2000",2000,"Duncan, F. D., & Byrne, M. J. (2000). Discontinuous gas exchange in dung beetles: patterns and ecological implications. Oecologia, 122(4), 452-458. doi:10.1007/s004420050966","",
1,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Sisyphus ","fasciculatus",,"metabolic rate",0.276,"(O2) ml/g/h",25,0.8,6,,14,"Duncan & Byrne, 2000",2000,"Duncan, F. D., & Byrne, M. J. (2000). Discontinuous gas exchange in dung beetles: patterns and ecological implications. Oecologia, 122(4), 452-458. doi:10.1007/s004420050966","standard metabolic rate",
2,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeus ","rusticus",,"body mass",0.564,"g",,,6,,14,"Duncan & Byrne, 2000",2000,"Duncan, F. D., & Byrne, M. J. (2000). Discontinuous gas exchange in dung beetles: patterns and ecological implications. Oecologia, 122(4), 452-458. doi:10.1007/s004420050966","",
2,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeus ","rusticus",,"metabolic rate",0.152,"(O2) ml/g/h",25,0.8,6,,14,"Duncan & Byrne, 2000",2000,"Duncan, F. D., & Byrne, M. J. (2000). Discontinuous gas exchange in dung beetles: patterns and ecological implications. Oecologia, 122(4), 452-458. doi:10.1007/s004420050966","standard metabolic rate",
3,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Anachalcos","convexus",,"body mass",1.421,"g",,,5,,14,"Duncan & Byrne, 2000",2000,"Duncan, F. D., & Byrne, M. J. (2000). Discontinuous gas exchange in dung beetles: patterns and ecological implications. Oecologia, 122(4), 452-458. doi:10.1007/s004420050966","",
3,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Anachalcos","convexus",,"metabolic rate",0.111,"(O2) ml/g/h",25,0.8,5,,14,"Duncan & Byrne, 2000",2000,"Duncan, F. D., & Byrne, M. J. (2000). Discontinuous gas exchange in dung beetles: patterns and ecological implications. Oecologia, 122(4), 452-458. doi:10.1007/s004420050966","standard metabolic rate",
4,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeus ","flavicornis",,"body mass",0.322,"g",,,12,,14,"Duncan & Byrne, 2000",2000,"Duncan, F. D., & Byrne, M. J. (2000). Discontinuous gas exchange in dung beetles: patterns and ecological implications. Oecologia, 122(4), 452-458. doi:10.1007/s004420050966","",
4,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeus ","flavicornis",,"metabolic rate",0.157,"(O2) ml/g/h",25,0.8,12,,14,"Duncan & Byrne, 2000",2000,"Duncan, F. D., & Byrne, M. J. (2000). Discontinuous gas exchange in dung beetles: patterns and ecological implications. Oecologia, 122(4), 452-458. doi:10.1007/s004420050966","standard metabolic rate",
5,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeus ","bacchus",,"body mass",7.285,"g",,,7,,14,"Duncan & Byrne, 2000",2000,"Duncan, F. D., & Byrne, M. J. (2000). Discontinuous gas exchange in dung beetles: patterns and ecological implications. Oecologia, 122(4), 452-458. doi:10.1007/s004420050966","",
5,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeus ","bacchus",,"metabolic rate",0.051,"(O2) ml/g/h",25,0.8,7,,14,"Duncan & Byrne, 2000",2000,"Duncan, F. D., & Byrne, M. J. (2000). Discontinuous gas exchange in dung beetles: patterns and ecological implications. Oecologia, 122(4), 452-458. doi:10.1007/s004420050966","standard metabolic rate",
