"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Arthropoda","Insecta","Lepidoptera","Crambidae","Ostrinia","nubilalis","male","mass",40,"mg",,,34,,28,"Lewis, Mutchmor, & Lynch, 1971","1971","Lewis, L. C., Mutchmor, J. A., & Lynch, R. E. (1971). Effect of Perezia pyraustae on oxygen consumption by the European corn borer, Ostrinia nubilalis. Journal of insect physiology, 17(12), 2457-2468. doi:10.1016/0022-1910(71)90093-X",,
1,"Arthropoda","Insecta","Lepidoptera","Crambidae","Ostrinia","nubilalis","male","metabolic rate ",2.06,"(O2) mm3/mg/h",26.7,,34,,28,"Lewis, Mutchmor, & Lynch, 1971","1971","Lewis, L. C., Mutchmor, J. A., & Lynch, R. E. (1971). Effect of Perezia pyraustae on oxygen consumption by the European corn borer, Ostrinia nubilalis. Journal of insect physiology, 17(12), 2457-2468. doi:10.1016/0022-1910(71)90093-X","not specified",""
2,"Arthropoda","Insecta","Lepidoptera","Crambidae","Ostrinia","nubilalis","female","mass",66.5,"mg",,,31,,28,"Lewis, Mutchmor, & Lynch, 1971","1971","Lewis, L. C., Mutchmor, J. A., & Lynch, R. E. (1971). Effect of Perezia pyraustae on oxygen consumption by the European corn borer, Ostrinia nubilalis. Journal of insect physiology, 17(12), 2457-2468. doi:10.1016/0022-1910(71)90093-X",,
2,"Arthropoda","Insecta","Lepidoptera","Crambidae","Ostrinia","nubilalis","female","metabolic rate ",2.14,"(O2) mm3/mg/h",26.7,,31,,28,"Lewis, Mutchmor, & Lynch, 1971","1971","Lewis, L. C., Mutchmor, J. A., & Lynch, R. E. (1971). Effect of Perezia pyraustae on oxygen consumption by the European corn borer, Ostrinia nubilalis. Journal of insect physiology, 17(12), 2457-2468. doi:10.1016/0022-1910(71)90093-X","not specified",""
3,"Arthropoda","Insecta","Lepidoptera","Crambidae","Ostrinia","nubilalis","male","mass",33.6,"mg",,,33,,28,"Lewis, Mutchmor, & Lynch, 1971","1971","Lewis, L. C., Mutchmor, J. A., & Lynch, R. E. (1971). Effect of Perezia pyraustae on oxygen consumption by the European corn borer, Ostrinia nubilalis. Journal of insect physiology, 17(12), 2457-2468. doi:10.1016/0022-1910(71)90093-X",,
3,"Arthropoda","Insecta","Lepidoptera","Crambidae","Ostrinia","nubilalis","male","metabolic rate ",2.05,"(O2) mm3/mg/h",26.7,,33,,28,"Lewis, Mutchmor, & Lynch, 1971","1971","Lewis, L. C., Mutchmor, J. A., & Lynch, R. E. (1971). Effect of Perezia pyraustae on oxygen consumption by the European corn borer, Ostrinia nubilalis. Journal of insect physiology, 17(12), 2457-2468. doi:10.1016/0022-1910(71)90093-X","not specified",""
4,"Arthropoda","Insecta","Lepidoptera","Crambidae","Ostrinia","nubilalis","female","mass",62.2,"mg",,,34,,28,"Lewis, Mutchmor, & Lynch, 1971","1971","Lewis, L. C., Mutchmor, J. A., & Lynch, R. E. (1971). Effect of Perezia pyraustae on oxygen consumption by the European corn borer, Ostrinia nubilalis. Journal of insect physiology, 17(12), 2457-2468. doi:10.1016/0022-1910(71)90093-X",,
4,"Arthropoda","Insecta","Lepidoptera","Crambidae","Ostrinia","nubilalis","female","metabolic rate ",1.76,"(O2) mm3/mg/h",26.7,,34,,28,"Lewis, Mutchmor, & Lynch, 1971","1971","Lewis, L. C., Mutchmor, J. A., & Lynch, R. E. (1971). Effect of Perezia pyraustae on oxygen consumption by the European corn borer, Ostrinia nubilalis. Journal of insect physiology, 17(12), 2457-2468. doi:10.1016/0022-1910(71)90093-X","not specified",""
5,"Arthropoda","Insecta","Lepidoptera","Crambidae","Ostrinia","nubilalis","male","mass",32.8,"mg",,,30,,28,"Lewis, Mutchmor, & Lynch, 1971","1971","Lewis, L. C., Mutchmor, J. A., & Lynch, R. E. (1971). Effect of Perezia pyraustae on oxygen consumption by the European corn borer, Ostrinia nubilalis. Journal of insect physiology, 17(12), 2457-2468. doi:10.1016/0022-1910(71)90093-X",,
5,"Arthropoda","Insecta","Lepidoptera","Crambidae","Ostrinia","nubilalis","male","metabolic rate ",1.46,"(O2) mm3/mg/h",26.7,,30,,28,"Lewis, Mutchmor, & Lynch, 1971","1971","Lewis, L. C., Mutchmor, J. A., & Lynch, R. E. (1971). Effect of Perezia pyraustae on oxygen consumption by the European corn borer, Ostrinia nubilalis. Journal of insect physiology, 17(12), 2457-2468. doi:10.1016/0022-1910(71)90093-X","not specified",""
6,"Arthropoda","Insecta","Lepidoptera","Crambidae","Ostrinia","nubilalis","female","mass",56.5,"mg",,,33,,28,"Lewis, Mutchmor, & Lynch, 1971","1971","Lewis, L. C., Mutchmor, J. A., & Lynch, R. E. (1971). Effect of Perezia pyraustae on oxygen consumption by the European corn borer, Ostrinia nubilalis. Journal of insect physiology, 17(12), 2457-2468. doi:10.1016/0022-1910(71)90093-X",,
6,"Arthropoda","Insecta","Lepidoptera","Crambidae","Ostrinia","nubilalis","female","metabolic rate ",1.21,"(O2) mm3/mg/h",26.7,,33,,28,"Lewis, Mutchmor, & Lynch, 1971","1971","Lewis, L. C., Mutchmor, J. A., & Lynch, R. E. (1971). Effect of Perezia pyraustae on oxygen consumption by the European corn borer, Ostrinia nubilalis. Journal of insect physiology, 17(12), 2457-2468. doi:10.1016/0022-1910(71)90093-X","not specified",""
