"X.U.FEFF.observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Arthropoda","Insecta","Blattodea","Blattidae","Periplaneta","americana","male","body mass",0.73,"g",,,15,"DONTWARN: checked value correct",17,"Herreid & Full, 1984",1984,"Herreid, C. F., & Full, R. J. (1984). Cockroaches on a treadmill: aerobic running. Journal of insect physiology, 30(5), 395-403. doi:10.1016/0022-1910(84)90097-0","",
1,"Arthropoda","Insecta","Blattodea","Blattidae","Periplaneta","americana","male","metabolic rate",0.52,"(O2) ml/g/h",25,,15,"",17,"Herreid & Full, 1984",1984,"Herreid, C. F., & Full, R. J. (1984). Cockroaches on a treadmill: aerobic running. Journal of insect physiology, 30(5), 395-403. doi:10.1016/0022-1910(84)90097-0","not specified",
2,"Arthropoda","Insecta","Blattodea","Blaberidae","Blaberus","discoidalis","male","body mass",4.08,"g",,,8,"",17,"Herreid & Full, 1984",1984,"Herreid, C. F., & Full, R. J. (1984). Cockroaches on a treadmill: aerobic running. Journal of insect physiology, 30(5), 395-403. doi:10.1016/0022-1910(84)90097-0","",
2,"Arthropoda","Insecta","Blattodea","Blaberidae","Blaberus","discoidalis","male","metabolic rate",0.17,"(O2) ml/g/h",25,,8,"",17,"Herreid & Full, 1984",1984,"Herreid, C. F., & Full, R. J. (1984). Cockroaches on a treadmill: aerobic running. Journal of insect physiology, 30(5), 395-403. doi:10.1016/0022-1910(84)90097-0","not specified",
3,"Arthropoda","Insecta","Blattodea","Blaberidae","Gromphadorhina","chopardi","male","body mass",3.4,"g",,,22,"",17,"Herreid & Full, 1984",1984,"Herreid, C. F., & Full, R. J. (1984). Cockroaches on a treadmill: aerobic running. Journal of insect physiology, 30(5), 395-403. doi:10.1016/0022-1910(84)90097-0","",
3,"Arthropoda","Insecta","Blattodea","Blaberidae","Gromphadorhina","chopardi","male","metabolic rate",0.14,"(O2) ml/g/h",25,,22,"",17,"Herreid & Full, 1984",1984,"Herreid, C. F., & Full, R. J. (1984). Cockroaches on a treadmill: aerobic running. Journal of insect physiology, 30(5), 395-403. doi:10.1016/0022-1910(84)90097-0","not specified",
4,"Arthropoda","Insecta","Blattodea","Blaberidae","Eublaberus","posticus","male","body mass",2.2,"g",,,3,"",17,"Herreid & Full, 1984",1984,"Herreid, C. F., & Full, R. J. (1984). Cockroaches on a treadmill: aerobic running. Journal of insect physiology, 30(5), 395-403. doi:10.1016/0022-1910(84)90097-0","",
4,"Arthropoda","Insecta","Blattodea","Blaberidae","Eublaberus","posticus","male","metabolic rate",0.34,"(O2) ml/g/h",25,,3,"",17,"Herreid & Full, 1984",1984,"Herreid, C. F., & Full, R. J. (1984). Cockroaches on a treadmill: aerobic running. Journal of insect physiology, 30(5), 395-403. doi:10.1016/0022-1910(84)90097-0","not specified",
5,"Arthropoda","Insecta","Blattodea","Blaberidae","Byrsotria","fumagata","female","body mass",4.95,"g",,,2,"",17,"Herreid & Full, 1984",1984,"Herreid, C. F., & Full, R. J. (1984). Cockroaches on a treadmill: aerobic running. Journal of insect physiology, 30(5), 395-403. doi:10.1016/0022-1910(84)90097-0","",
5,"Arthropoda","Insecta","Blattodea","Blaberidae","Byrsotria","fumagata","female","metabolic rate",0.2,"(O2) ml/g/h",25,,2,"",17,"Herreid & Full, 1984",1984,"Herreid, C. F., & Full, R. J. (1984). Cockroaches on a treadmill: aerobic running. Journal of insect physiology, 30(5), 395-403. doi:10.1016/0022-1910(84)90097-0","not specified",
