"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Arthropoda","Insecta","Coleoptera","Cerambycidae","Stenodontes","molaria",,"mass",1.798,"g",,,1,,8,"Bartholomew & Casey, 1977","1977","Bartholomew, G. A., & Casey, T. M. (1977). Body temperature and oxygen consumption during rest and activity in relation to body size in some tropical beetles. Journal of thermal Biology, 2(4), 173-176. doi:doi:10.1016/0306-4565(77)90026-2",,
1,"Arthropoda","Insecta","Coleoptera","Cerambycidae","Stenodontes","molaria",,"metabolic rate",0.66,"(O2) ml/h",23,,1,,8,"Bartholomew & Casey, 1977","1977","Bartholomew, G. A., & Casey, T. M. (1977). Body temperature and oxygen consumption during rest and activity in relation to body size in some tropical beetles. Journal of thermal Biology, 2(4), 173-176. doi:doi:10.1016/0306-4565(77)90026-2","not specified",""
2,"Arthropoda","Insecta","Coleoptera","Cerambycidae","Stenodontes","molaria",,"mass",4.089,"g",,,1,,8,"Bartholomew & Casey, 1977","1977","Bartholomew, G. A., & Casey, T. M. (1977). Body temperature and oxygen consumption during rest and activity in relation to body size in some tropical beetles. Journal of thermal Biology, 2(4), 173-176. doi:doi:10.1016/0306-4565(77)90026-2",,
2,"Arthropoda","Insecta","Coleoptera","Cerambycidae","Stenodontes","molaria",,"metabolic rate",1.22,"(O2) ml/h",22.5,,1,,8,"Bartholomew & Casey, 1977","1977","Bartholomew, G. A., & Casey, T. M. (1977). Body temperature and oxygen consumption during rest and activity in relation to body size in some tropical beetles. Journal of thermal Biology, 2(4), 173-176. doi:doi:10.1016/0306-4565(77)90026-2","not specified",""
3,"Arthropoda","Insecta","Coleoptera","Cerambycidae","Stenodontes","molaria",,"mass",2.674,"g",,,1,,8,"Bartholomew & Casey, 1977","1977","Bartholomew, G. A., & Casey, T. M. (1977). Body temperature and oxygen consumption during rest and activity in relation to body size in some tropical beetles. Journal of thermal Biology, 2(4), 173-176. doi:doi:10.1016/0306-4565(77)90026-2",,
4,"Arthropoda","Insecta","Coleoptera","Cerambycidae","Stenodontes","sp.",,"mass",3.814,"g",,,1,,8,"Bartholomew & Casey, 1977","1977","Bartholomew, G. A., & Casey, T. M. (1977). Body temperature and oxygen consumption during rest and activity in relation to body size in some tropical beetles. Journal of thermal Biology, 2(4), 173-176. doi:doi:10.1016/0306-4565(77)90026-2",,
5,"Arthropoda","Insecta","Coleoptera","Cerambycidae","Stenodontes","sp.",,"mass",1.043,"g",,,1,,8,"Bartholomew & Casey, 1977","1977","Bartholomew, G. A., & Casey, T. M. (1977). Body temperature and oxygen consumption during rest and activity in relation to body size in some tropical beetles. Journal of thermal Biology, 2(4), 173-176. doi:doi:10.1016/0306-4565(77)90026-2",,
5,"Arthropoda","Insecta","Coleoptera","Cerambycidae","Stenodontes","sp.",,"metabolic rate",0.3,"(O2) ml/h",22.3,,1,,8,"Bartholomew & Casey, 1977","1977","Bartholomew, G. A., & Casey, T. M. (1977). Body temperature and oxygen consumption during rest and activity in relation to body size in some tropical beetles. Journal of thermal Biology, 2(4), 173-176. doi:doi:10.1016/0306-4565(77)90026-2","not specified",""
6,"Arthropoda","Insecta","Coleoptera","Cerambycidae","Dryoctenes","scrupulosa",,"mass",1.823,"g",,,1,,8,"Bartholomew & Casey, 1977","1977","Bartholomew, G. A., & Casey, T. M. (1977). Body temperature and oxygen consumption during rest and activity in relation to body size in some tropical beetles. Journal of thermal Biology, 2(4), 173-176. doi:doi:10.1016/0306-4565(77)90026-2",,
6,"Arthropoda","Insecta","Coleoptera","Cerambycidae","Dryoctenes","scrupulosa",,"metabolic rate",0.43,"(O2) ml/h",22.8,,1,,8,"Bartholomew & Casey, 1977","1977","Bartholomew, G. A., & Casey, T. M. (1977). Body temperature and oxygen consumption during rest and activity in relation to body size in some tropical beetles. Journal of thermal Biology, 2(4), 173-176. doi:doi:10.1016/0306-4565(77)90026-2","not specified",""
