"X.U.FEFF.observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Arthropoda","Insecta","Hymenoptera","Formicidae","Anoplolepis ","steinergroeveri",,"body mass",0.94,"mg",,,1,"DONTWARN: checked, value correct",1,"Chown et al., 2007",2007,"Chown, S. L., Marais, E., Terblanche, J. S., Klok, C. J., Lighton, J. R. B., & Blackburn, T. M. (2007). Scaling of insect metabolic rate is inconsistent with the nutrient supply network model. Functional Ecology, 21(2), 282-290. doi:10.1111/j.1365-2435.2007.01245.x","",
1,"Arthropoda","Insecta","Hymenoptera","Formicidae","Anoplolepis ","steinergroeveri",,"metabolic rate",5.6,"uW",20,,1,"DONTWARN: checked, value correct",1,"Chown et al., 2007",2007,"Chown, S. L., Marais, E., Terblanche, J. S., Klok, C. J., Lighton, J. R. B., & Blackburn, T. M. (2007). Scaling of insect metabolic rate is inconsistent with the nutrient supply network model. Functional Ecology, 21(2), 282-290. doi:10.1111/j.1365-2435.2007.01245.x","not specified",
2,"Arthropoda","Insecta","Hymenoptera","Formicidae","Anoplolepis ","steinergroeveri",,"body mass",0.98,"mg",,,1,"DONTWARN: checked, value correct",1,"Chown et al., 2007",2007,"Chown, S. L., Marais, E., Terblanche, J. S., Klok, C. J., Lighton, J. R. B., & Blackburn, T. M. (2007). Scaling of insect metabolic rate is inconsistent with the nutrient supply network model. Functional Ecology, 21(2), 282-290. doi:10.1111/j.1365-2435.2007.01245.x","",
2,"Arthropoda","Insecta","Hymenoptera","Formicidae","Anoplolepis ","steinergroeveri",,"metabolic rate",1.8,"uW",20,,1,"DONTWARN: checked, value correct",1,"Chown et al., 2007",2007,"Chown, S. L., Marais, E., Terblanche, J. S., Klok, C. J., Lighton, J. R. B., & Blackburn, T. M. (2007). Scaling of insect metabolic rate is inconsistent with the nutrient supply network model. Functional Ecology, 21(2), 282-290. doi:10.1111/j.1365-2435.2007.01245.x","not specified",
3,"Arthropoda","Insecta","Hymenoptera","Formicidae","Anoplolepis ","steinergroeveri",,"body mass",1.15,"mg",,,1,"DONTWARN: checked, value correct",1,"Chown et al., 2007",2007,"Chown, S. L., Marais, E., Terblanche, J. S., Klok, C. J., Lighton, J. R. B., & Blackburn, T. M. (2007). Scaling of insect metabolic rate is inconsistent with the nutrient supply network model. Functional Ecology, 21(2), 282-290. doi:10.1111/j.1365-2435.2007.01245.x","",
3,"Arthropoda","Insecta","Hymenoptera","Formicidae","Anoplolepis ","steinergroeveri",,"metabolic rate",2.3,"uW",20,,1,"DONTWARN: checked, value correct",1,"Chown et al., 2007",2007,"Chown, S. L., Marais, E., Terblanche, J. S., Klok, C. J., Lighton, J. R. B., & Blackburn, T. M. (2007). Scaling of insect metabolic rate is inconsistent with the nutrient supply network model. Functional Ecology, 21(2), 282-290. doi:10.1111/j.1365-2435.2007.01245.x","not specified",
4,"Arthropoda","Insecta","Hymenoptera","Formicidae","Anoplolepis ","steinergroeveri",,"body mass",1.17,"mg",,,1,"DONTWARN: checked, value correct",1,"Chown et al., 2007",2007,"Chown, S. L., Marais, E., Terblanche, J. S., Klok, C. J., Lighton, J. R. B., & Blackburn, T. M. (2007). Scaling of insect metabolic rate is inconsistent with the nutrient supply network model. Functional Ecology, 21(2), 282-290. doi:10.1111/j.1365-2435.2007.01245.x","",
4,"Arthropoda","Insecta","Hymenoptera","Formicidae","Anoplolepis ","steinergroeveri",,"metabolic rate",3.6,"uW",20,,1,"DONTWARN: checked, value correct",1,"Chown et al., 2007",2007,"Chown, S. L., Marais, E., Terblanche, J. S., Klok, C. J., Lighton, J. R. B., & Blackburn, T. M. (2007). Scaling of insect metabolic rate is inconsistent with the nutrient supply network model. Functional Ecology, 21(2), 282-290. doi:10.1111/j.1365-2435.2007.01245.x","not specified",
5,"Arthropoda","Insecta","Hymenoptera","Formicidae","Anoplolepis ","steinergroeveri",,"body mass",1.59,"mg",,,1,"DONTWARN: checked, value correct",1,"Chown et al., 2007",2007,"Chown, S. L., Marais, E., Terblanche, J. S., Klok, C. J., Lighton, J. R. B., & Blackburn, T. M. (2007). Scaling of insect metabolic rate is inconsistent with the nutrient supply network model. Functional Ecology, 21(2), 282-290. doi:10.1111/j.1365-2435.2007.01245.x","",
5,"Arthropoda","Insecta","Hymenoptera","Formicidae","Anoplolepis ","steinergroeveri",,"metabolic rate",3.5,"uW",20,,1,"DONTWARN: checked, value correct",1,"Chown et al., 2007",2007,"Chown, S. L., Marais, E., Terblanche, J. S., Klok, C. J., Lighton, J. R. B., & Blackburn, T. M. (2007). Scaling of insect metabolic rate is inconsistent with the nutrient supply network model. Functional Ecology, 21(2), 282-290. doi:10.1111/j.1365-2435.2007.01245.x","not specified",
