observationID,phylum,class,order,family,genus,specificEpithet,sex,measurementType,measurementValue,measurementUnit,temperature,respiratoryQuotient,sampleSizeValue,comments,reference,inTextReference,publicationYear,fullReference,measurementMethod,metadataComment
1,Arthropoda ,Insecta,Coleoptera,Carabidae,Cicindela,repanda,female,mass,0.085,g,,,1,,30,"May, Pearson, & Casey, 1986",1986,"May, M. L., Pearson, D. L., & Casey, T. M. (1986). Oxygen consumption of active and inactive adult tiger beetles. Physiological Entomology, 11(2), 171-179. doi:10.1111/j.1365-3032.1986.tb00403.x",,
1,Arthropoda ,Insecta,Coleoptera,Carabidae,Cicindela,repanda,female,metabolic rate ,0.034,(O2) ml/h,25,,1,,30,"May, Pearson, & Casey, 1986",1986,"May, M. L., Pearson, D. L., & Casey, T. M. (1986). Oxygen consumption of active and inactive adult tiger beetles. Physiological Entomology, 11(2), 171-179. doi:10.1111/j.1365-3032.1986.tb00403.x",not specified,metabolic rate measured at resting and active state
2,Arthropoda ,Insecta,Coleoptera,Carabidae,Cicindela,repanda,female,mass,0.059,g,,,1,,30,"May, Pearson, & Casey, 1986",1986,"May, M. L., Pearson, D. L., & Casey, T. M. (1986). Oxygen consumption of active and inactive adult tiger beetles. Physiological Entomology, 11(2), 171-179. doi:10.1111/j.1365-3032.1986.tb00403.x",,
2,Arthropoda ,Insecta,Coleoptera,Carabidae,Cicindela,repanda,female,metabolic rate ,0.016,(O2) ml/h,25,,1,,30,"May, Pearson, & Casey, 1986",1986,"May, M. L., Pearson, D. L., & Casey, T. M. (1986). Oxygen consumption of active and inactive adult tiger beetles. Physiological Entomology, 11(2), 171-179. doi:10.1111/j.1365-3032.1986.tb00403.x",not specified,metabolic rate measured at resting and active state
3,Arthropoda ,Insecta,Coleoptera,Carabidae,Cicindela,repanda,female,mass,0.055,g,,,1,,30,"May, Pearson, & Casey, 1986",1986,"May, M. L., Pearson, D. L., & Casey, T. M. (1986). Oxygen consumption of active and inactive adult tiger beetles. Physiological Entomology, 11(2), 171-179. doi:10.1111/j.1365-3032.1986.tb00403.x",,
3,Arthropoda ,Insecta,Coleoptera,Carabidae,Cicindela,repanda,female,metabolic rate ,0.021,(O2) ml/h,25,,1,,30,"May, Pearson, & Casey, 1986",1986,"May, M. L., Pearson, D. L., & Casey, T. M. (1986). Oxygen consumption of active and inactive adult tiger beetles. Physiological Entomology, 11(2), 171-179. doi:10.1111/j.1365-3032.1986.tb00403.x",not specified,metabolic rate measured at resting and active state
4,Arthropoda ,Insecta,Coleoptera,Carabidae,Cicindela,repanda,female,mass,0.069,g,,,1,,30,"May, Pearson, & Casey, 1986",1986,"May, M. L., Pearson, D. L., & Casey, T. M. (1986). Oxygen consumption of active and inactive adult tiger beetles. Physiological Entomology, 11(2), 171-179. doi:10.1111/j.1365-3032.1986.tb00403.x",,
4,Arthropoda ,Insecta,Coleoptera,Carabidae,Cicindela,repanda,female,metabolic rate ,0.025,(O2) ml/h,25,,1,,30,"May, Pearson, & Casey, 1986",1986,"May, M. L., Pearson, D. L., & Casey, T. M. (1986). Oxygen consumption of active and inactive adult tiger beetles. Physiological Entomology, 11(2), 171-179. doi:10.1111/j.1365-3032.1986.tb00403.x",not specified,metabolic rate measured at resting and active state
5,Arthropoda ,Insecta,Coleoptera,Carabidae,Cicindela,repanda,male,mass,0.049,g,,,1,,30,"May, Pearson, & Casey, 1986",1986,"May, M. L., Pearson, D. L., & Casey, T. M. (1986). Oxygen consumption of active and inactive adult tiger beetles. Physiological Entomology, 11(2), 171-179. doi:10.1111/j.1365-3032.1986.tb00403.x",,
5,Arthropoda ,Insecta,Coleoptera,Carabidae,Cicindela,repanda,male,metabolic rate ,0.022,(O2) ml/h,25,,1,,30,"May, Pearson, & Casey, 1986",1986,"May, M. L., Pearson, D. L., & Casey, T. M. (1986). Oxygen consumption of active and inactive adult tiger beetles. Physiological Entomology, 11(2), 171-179. doi:10.1111/j.1365-3032.1986.tb00403.x",not specified,metabolic rate measured at resting and active state
