"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Arthropoda","Insecta","Hymenoptera","Formicidae","Leptogenys","nitida",,"body mass",1.71,"mg",,,40,,32,"Duncan & Crewe, 1993",1993,"Duncan, F. D., & Crewe, R. M. (1993). A comparison of the energetics of foraging of three species of Leptogenys (Hymenoptera, Formicidae). Physiological Entomology, 18(4), 372-378. doi:10.1111/j.1365-3032.1993.tb00610.x","",
1,"Arthropoda","Insecta","Hymenoptera","Formicidae","Leptogenys","nitida",,"metabolic rate",2.48,"(CO2) W/kg",20,0.8,6,,32,"Duncan & Crewe, 1993",1993,"Duncan, F. D., & Crewe, R. M. (1993). A comparison of the energetics of foraging of three species of Leptogenys (Hymenoptera, Formicidae). Physiological Entomology, 18(4), 372-378. doi:10.1111/j.1365-3032.1993.tb00610.x","standard metabolic rate",
2,"Arthropoda","Insecta","Hymenoptera","Formicidae","Leptogenys","nitida",,"body mass",1.71,"mg",,,40,,32,"Duncan & Crewe, 1993",1993,"Duncan, F. D., & Crewe, R. M. (1993). A comparison of the energetics of foraging of three species of Leptogenys (Hymenoptera, Formicidae). Physiological Entomology, 18(4), 372-378. doi:10.1111/j.1365-3032.1993.tb00610.x","",
2,"Arthropoda","Insecta","Hymenoptera","Formicidae","Leptogenys","nitida",,"metabolic rate",3.26,"(CO2) W/kg",25,0.8,14,,32,"Duncan & Crewe, 1993",1993,"Duncan, F. D., & Crewe, R. M. (1993). A comparison of the energetics of foraging of three species of Leptogenys (Hymenoptera, Formicidae). Physiological Entomology, 18(4), 372-378. doi:10.1111/j.1365-3032.1993.tb00610.x","standard metabolic rate",
3,"Arthropoda","Insecta","Hymenoptera","Formicidae","Leptogenys","nitida",,"body mass",1.71,"mg",,,40,,32,"Duncan & Crewe, 1993",1993,"Duncan, F. D., & Crewe, R. M. (1993). A comparison of the energetics of foraging of three species of Leptogenys (Hymenoptera, Formicidae). Physiological Entomology, 18(4), 372-378. doi:10.1111/j.1365-3032.1993.tb00610.x","",
3,"Arthropoda","Insecta","Hymenoptera","Formicidae","Leptogenys","nitida",,"metabolic rate",1.8,"(CO2) W/kg",30,0.8,10,,32,"Duncan & Crewe, 1993",1993,"Duncan, F. D., & Crewe, R. M. (1993). A comparison of the energetics of foraging of three species of Leptogenys (Hymenoptera, Formicidae). Physiological Entomology, 18(4), 372-378. doi:10.1111/j.1365-3032.1993.tb00610.x","standard metabolic rate",
4,"Arthropoda","Insecta","Hymenoptera","Formicidae","Leptogenys","nitida",,"body mass",1.71,"mg",,,40,,32,"Duncan & Crewe, 1993",1993,"Duncan, F. D., & Crewe, R. M. (1993). A comparison of the energetics of foraging of three species of Leptogenys (Hymenoptera, Formicidae). Physiological Entomology, 18(4), 372-378. doi:10.1111/j.1365-3032.1993.tb00610.x","",
4,"Arthropoda","Insecta","Hymenoptera","Formicidae","Leptogenys","nitida",,"metabolic rate",5.41,"(CO2) W/kg",35,0.8,10,,32,"Duncan & Crewe, 1993",1993,"Duncan, F. D., & Crewe, R. M. (1993). A comparison of the energetics of foraging of three species of Leptogenys (Hymenoptera, Formicidae). Physiological Entomology, 18(4), 372-378. doi:10.1111/j.1365-3032.1993.tb00610.x","standard metabolic rate",
5,"Arthropoda","Insecta","Hymenoptera","Formicidae","Leptogenys","schwabi",,"body mass",8.47,"mg",,,43,,32,"Duncan & Crewe, 1993",1993,"Duncan, F. D., & Crewe, R. M. (1993). A comparison of the energetics of foraging of three species of Leptogenys (Hymenoptera, Formicidae). Physiological Entomology, 18(4), 372-378. doi:10.1111/j.1365-3032.1993.tb00610.x","",
5,"Arthropoda","Insecta","Hymenoptera","Formicidae","Leptogenys","schwabi",,"metabolic rate",0.66,"(CO2) W/kg",20,0.79,10,,32,"Duncan & Crewe, 1993",1993,"Duncan, F. D., & Crewe, R. M. (1993). A comparison of the energetics of foraging of three species of Leptogenys (Hymenoptera, Formicidae). Physiological Entomology, 18(4), 372-378. doi:10.1111/j.1365-3032.1993.tb00610.x","standard metabolic rate",
6,"Arthropoda","Insecta","Hymenoptera","Formicidae","Leptogenys","schwabi",,"body mass",8.47,"mg",,,43,,32,"Duncan & Crewe, 1993",1993,"Duncan, F. D., & Crewe, R. M. (1993). A comparison of the energetics of foraging of three species of Leptogenys (Hymenoptera, Formicidae). Physiological Entomology, 18(4), 372-378. doi:10.1111/j.1365-3032.1993.tb00610.x","",
6,"Arthropoda","Insecta","Hymenoptera","Formicidae","Leptogenys","schwabi",,"metabolic rate",2.91,"(CO2) W/kg",25,0.79,10,,32,"Duncan & Crewe, 1993",1993,"Duncan, F. D., & Crewe, R. M. (1993). A comparison of the energetics of foraging of three species of Leptogenys (Hymenoptera, Formicidae). Physiological Entomology, 18(4), 372-378. doi:10.1111/j.1365-3032.1993.tb00610.x","standard metabolic rate",
