"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Aphodius","distinctus",,"body mass",7.8,"mg",,,19,,19,"Holter, 1982",1982,"Holter, P. (1982). Resource utilization and local coexistence in a guild of scarabaeid dung beetles (Aphodius spp.). Oikos, 39(2), 213-227. doi:10.2307/3544488","",
1,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Aphodius","distinctus",,"metabolic rate",9.3,"(O2) ul/h",15,,19,,19,"Holter, 1982",1982,"Holter, P. (1982). Resource utilization and local coexistence in a guild of scarabaeid dung beetles (Aphodius spp.). Oikos, 39(2), 213-227. doi:10.2307/3544488","not specified",
2,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Aphodius","prodromus",,"body mass",13.8,"mg",,,25,,19,"Holter, 1982",1982,"Holter, P. (1982). Resource utilization and local coexistence in a guild of scarabaeid dung beetles (Aphodius spp.). Oikos, 39(2), 213-227. doi:10.2307/3544488","",
2,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Aphodius","prodromus",,"metabolic rate",14.8,"(O2) ul/h",15,,25,,19,"Holter, 1982",1982,"Holter, P. (1982). Resource utilization and local coexistence in a guild of scarabaeid dung beetles (Aphodius spp.). Oikos, 39(2), 213-227. doi:10.2307/3544488","not specified",
3,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Aphodius","contaminatus",,"body mass",14.5,"mg",,,62,,19,"Holter, 1982",1982,"Holter, P. (1982). Resource utilization and local coexistence in a guild of scarabaeid dung beetles (Aphodius spp.). Oikos, 39(2), 213-227. doi:10.2307/3544488","",
3,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Aphodius","contaminatus",,"metabolic rate",10.2,"(O2) ul/h",15,,62,,19,"Holter, 1982",1982,"Holter, P. (1982). Resource utilization and local coexistence in a guild of scarabaeid dung beetles (Aphodius spp.). Oikos, 39(2), 213-227. doi:10.2307/3544488","not specified",
4,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Aphodius","rufus",,"body mass",20.9,"mg",,,36,,19,"Holter, 1982",1982,"Holter, P. (1982). Resource utilization and local coexistence in a guild of scarabaeid dung beetles (Aphodius spp.). Oikos, 39(2), 213-227. doi:10.2307/3544488","",
4,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Aphodius","rufus",,"metabolic rate",15.1,"(O2) ul/h",15,,36,,19,"Holter, 1982",1982,"Holter, P. (1982). Resource utilization and local coexistence in a guild of scarabaeid dung beetles (Aphodius spp.). Oikos, 39(2), 213-227. doi:10.2307/3544488","not specified",
5,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Aphodius","fimetarius",,"body mass",30.9,"mg",,,50,,19,"Holter, 1982",1982,"Holter, P. (1982). Resource utilization and local coexistence in a guild of scarabaeid dung beetles (Aphodius spp.). Oikos, 39(2), 213-227. doi:10.2307/3544488","",
5,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Aphodius","fimetarius",,"metabolic rate",16.6,"(O2) ul/h",15,,50,,19,"Holter, 1982",1982,"Holter, P. (1982). Resource utilization and local coexistence in a guild of scarabaeid dung beetles (Aphodius spp.). Oikos, 39(2), 213-227. doi:10.2307/3544488","not specified",
6,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Aphodius","rufipes",,"body mass",91.2,"mg",,,23,,19,"Holter, 1982",1982,"Holter, P. (1982). Resource utilization and local coexistence in a guild of scarabaeid dung beetles (Aphodius spp.). Oikos, 39(2), 213-227. doi:10.2307/3544488","",
6,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Aphodius","rufipes",,"metabolic rate",58.9,"(O2) ul/h",15,,23,,19,"Holter, 1982",1982,"Holter, P. (1982). Resource utilization and local coexistence in a guild of scarabaeid dung beetles (Aphodius spp.). Oikos, 39(2), 213-227. doi:10.2307/3544488","not specified",
7,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Aphodius","fossor",,"body mass",128.8,"mg",,,14,,19,"Holter, 1982",1982,"Holter, P. (1982). Resource utilization and local coexistence in a guild of scarabaeid dung beetles (Aphodius spp.). Oikos, 39(2), 213-227. doi:10.2307/3544488","",
7,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Aphodius","fossor",,"metabolic rate",66.1,"(O2) ul/h",15,,14,,19,"Holter, 1982",1982,"Holter, P. (1982). Resource utilization and local coexistence in a guild of scarabaeid dung beetles (Aphodius spp.). Oikos, 39(2), 213-227. doi:10.2307/3544488","not specified",
