"X.U.FEFF.observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",0.6,"mg",,,5,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
1,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.09,"(O2) ul/h",5,,5,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
2,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",0.6,"mg",,,5,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
2,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.1,"(O2) ul/h",5,,5,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
3,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",0.7,"mg",,,5,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
3,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.06,"(O2) ul/h",5,,5,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
4,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",0.68,"mg",,,5,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
4,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.07,"(O2) ul/h",5,,5,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
5,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",0.68,"mg",,,5,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
5,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.07,"(O2) ul/h",5,,5,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
6,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",0.7,"mg",,,5,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
6,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"metabolic rate",0.09,"(O2) ul/h",5,,5,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","not specified",
7,"Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","pusillus ",,"body mass",0.68,"mg",,,5,"DONTWARN: checked, value accurate ",136,"Meyer & Phillipson, 1983",1983,"Meyer, E., & Phillipson, J. (1983). Respiratory metabolism of the isopod Trichoniscus pusillus provisorius. Oikos, 69-74. doi:10.2307/3544200","",
