"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Mammalia","Rodentia","Spalacidae","Spalax","ehrenbergi",,"mass",104,"g",26.4,,5,,200,"Nevo & Shkolnik, 1974","1974","Nevo, E., & Shkolnik, A. (1974). Adaptive metabolic variation of chromosome forms in mole rats, Spalax. Experientia, 30(7), 724-726. doi:10.1007/bf01924150",,
1,"Chordata","Mammalia","Rodentia","Spalacidae","Spalax","ehrenbergi",,"metabolic rate ",1.03,"(O2) cm3/g/h",,,5,,200,"Nevo & Shkolnik, 1974","1974","Nevo, E., & Shkolnik, A. (1974). Adaptive metabolic variation of chromosome forms in mole rats, Spalax. Experientia, 30(7), 724-726. doi:10.1007/bf01924150","basal metabolic rate",""
2,"Chordata","Mammalia","Rodentia","Spalacidae","Spalax","ehrenbergi",,"mass",128,"g",28.31,,6,,200,"Nevo & Shkolnik, 1974","1974","Nevo, E., & Shkolnik, A. (1974). Adaptive metabolic variation of chromosome forms in mole rats, Spalax. Experientia, 30(7), 724-726. doi:10.1007/bf01924150",,
2,"Chordata","Mammalia","Rodentia","Spalacidae","Spalax","ehrenbergi",,"metabolic rate ",0.86,"(O2) cm3/g/h",,,6,,200,"Nevo & Shkolnik, 1974","1974","Nevo, E., & Shkolnik, A. (1974). Adaptive metabolic variation of chromosome forms in mole rats, Spalax. Experientia, 30(7), 724-726. doi:10.1007/bf01924150","basal metabolic rate",""
3,"Chordata","Mammalia","Rodentia","Spalacidae","Spalax","ehrenbergi",,"mass",117,"g",30.4,,4,,200,"Nevo & Shkolnik, 1974","1974","Nevo, E., & Shkolnik, A. (1974). Adaptive metabolic variation of chromosome forms in mole rats, Spalax. Experientia, 30(7), 724-726. doi:10.1007/bf01924150",,
3,"Chordata","Mammalia","Rodentia","Spalacidae","Spalax","ehrenbergi",,"metabolic rate ",0.85,"(O2) cm3/g/h",,,4,,200,"Nevo & Shkolnik, 1974","1974","Nevo, E., & Shkolnik, A. (1974). Adaptive metabolic variation of chromosome forms in mole rats, Spalax. Experientia, 30(7), 724-726. doi:10.1007/bf01924150","basal metabolic rate",""
4,"Chordata","Mammalia","Rodentia","Spalacidae","Spalax","ehrenbergi",,"mass",124,"g",28.4,,4,,200,"Nevo & Shkolnik, 1974","1974","Nevo, E., & Shkolnik, A. (1974). Adaptive metabolic variation of chromosome forms in mole rats, Spalax. Experientia, 30(7), 724-726. doi:10.1007/bf01924150",,
4,"Chordata","Mammalia","Rodentia","Spalacidae","Spalax","ehrenbergi",,"metabolic rate ",0.87,"(O2) cm3/g/h",,,4,,200,"Nevo & Shkolnik, 1974","1974","Nevo, E., & Shkolnik, A. (1974). Adaptive metabolic variation of chromosome forms in mole rats, Spalax. Experientia, 30(7), 724-726. doi:10.1007/bf01924150","basal metabolic rate",""
5,"Chordata","Mammalia","Rodentia","Spalacidae","Spalax","ehrenbergi",,"mass",121,"g",30,,4,,200,"Nevo & Shkolnik, 1974","1974","Nevo, E., & Shkolnik, A. (1974). Adaptive metabolic variation of chromosome forms in mole rats, Spalax. Experientia, 30(7), 724-726. doi:10.1007/bf01924150",,
5,"Chordata","Mammalia","Rodentia","Spalacidae","Spalax","ehrenbergi",,"metabolic rate ",0.62,"(O2) cm3/g/h",,,4,,200,"Nevo & Shkolnik, 1974","1974","Nevo, E., & Shkolnik, A. (1974). Adaptive metabolic variation of chromosome forms in mole rats, Spalax. Experientia, 30(7), 724-726. doi:10.1007/bf01924150","basal metabolic rate",""
