"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Mammalia","Rodentia","Cricetidae","Abrothrix ","andinus",,"mass",34.6,"g",,,,,114,"Bozinovic & Rosenmann, 1988","1988","Bozinovic, F., & Rosenmann, M. (1988). Comparative energetics of South American cricetid rodents. Comparative biochemistry and physiology. A, Comparative physiology, 91(1), 195-202. doi:10.1016/0300-9629(88)91616-7",,
1,"Chordata","Mammalia","Rodentia","Cricetidae","Abrothrix ","andinus",,"metabolic rate ",1.87,"(O2) ml/g/h",,,,,114,"Bozinovic & Rosenmann, 1988","1988","Bozinovic, F., & Rosenmann, M. (1988). Comparative energetics of South American cricetid rodents. Comparative biochemistry and physiology. A, Comparative physiology, 91(1), 195-202. doi:10.1016/0300-9629(88)91616-7","basal metabolic rate",""
2,"Chordata","Mammalia","Rodentia","Cricetidae","Abrothrix ","longipilis",,"mass",42.3,"g",,,,,114,"Bozinovic & Rosenmann, 1988","1988","Bozinovic, F., & Rosenmann, M. (1988). Comparative energetics of South American cricetid rodents. Comparative biochemistry and physiology. A, Comparative physiology, 91(1), 195-202. doi:10.1016/0300-9629(88)91616-7",,
2,"Chordata","Mammalia","Rodentia","Cricetidae","Abrothrix ","longipilis",,"metabolic rate ",1.36,"(O2) ml/g/h",,,,,114,"Bozinovic & Rosenmann, 1988","1988","Bozinovic, F., & Rosenmann, M. (1988). Comparative energetics of South American cricetid rodents. Comparative biochemistry and physiology. A, Comparative physiology, 91(1), 195-202. doi:10.1016/0300-9629(88)91616-7","basal metabolic rate",""
3,"Chordata","Mammalia","Rodentia","Cricetidae","Abrothrix ","olivaceus",,"mass",27,"g",,,,,114,"Bozinovic & Rosenmann, 1988","1988","Bozinovic, F., & Rosenmann, M. (1988). Comparative energetics of South American cricetid rodents. Comparative biochemistry and physiology. A, Comparative physiology, 91(1), 195-202. doi:10.1016/0300-9629(88)91616-7",,
3,"Chordata","Mammalia","Rodentia","Cricetidae","Abrothrix ","olivaceus",,"metabolic rate ",1.83,"(O2) ml/g/h",,,,,114,"Bozinovic & Rosenmann, 1988","1988","Bozinovic, F., & Rosenmann, M. (1988). Comparative energetics of South American cricetid rodents. Comparative biochemistry and physiology. A, Comparative physiology, 91(1), 195-202. doi:10.1016/0300-9629(88)91616-7","basal metabolic rate",""
4,"Chordata","Mammalia","Rodentia","Cricetidae","Auliscomys","boliviensis",,"mass",76.8,"g",,,,,114,"Bozinovic & Rosenmann, 1988","1988","Bozinovic, F., & Rosenmann, M. (1988). Comparative energetics of South American cricetid rodents. Comparative biochemistry and physiology. A, Comparative physiology, 91(1), 195-202. doi:10.1016/0300-9629(88)91616-7",,
4,"Chordata","Mammalia","Rodentia","Cricetidae","Auliscomys","boliviensis",,"metabolic rate ",1.44,"(O2) ml/g/h",,,,,114,"Bozinovic & Rosenmann, 1988","1988","Bozinovic, F., & Rosenmann, M. (1988). Comparative energetics of South American cricetid rodents. Comparative biochemistry and physiology. A, Comparative physiology, 91(1), 195-202. doi:10.1016/0300-9629(88)91616-7","basal metabolic rate",""
5,"Chordata","Mammalia","Rodentia","Cricetidae","Auliscomys","micropus",,"mass",62.3,"g",,,,,114,"Bozinovic & Rosenmann, 1988","1988","Bozinovic, F., & Rosenmann, M. (1988). Comparative energetics of South American cricetid rodents. Comparative biochemistry and physiology. A, Comparative physiology, 91(1), 195-202. doi:10.1016/0300-9629(88)91616-7",,
5,"Chordata","Mammalia","Rodentia","Cricetidae","Auliscomys","micropus",,"metabolic rate ",1.57,"(O2) ml/g/h",,,,,114,"Bozinovic & Rosenmann, 1988","1988","Bozinovic, F., & Rosenmann, M. (1988). Comparative energetics of South American cricetid rodents. Comparative biochemistry and physiology. A, Comparative physiology, 91(1), 195-202. doi:10.1016/0300-9629(88)91616-7","basal metabolic rate",""
