"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Mammalia","Rodentia","Octodontidae","Octodontomys","gliroides","","body mass",152,"g","",,2,,128,"Arends & McNab, 2001",2001,"Arends, A., & McNab, B. K. (2001). The comparative energetics of ‘caviomorph’ rodents. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 130(1), 105-122. doi:10.1016/S1095-6433(01)00371-3","",
1,"Chordata","Mammalia","Rodentia","Octodontidae","Octodontomys","gliroides","","metabolic rate",0.86,"(O2) cm3/g/h","25-35",,30,,128,"Arends & McNab, 2001",2001,"Arends, A., & McNab, B. K. (2001). The comparative energetics of ‘caviomorph’ rodents. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 130(1), 105-122. doi:10.1016/S1095-6433(01)00371-3","basal metabolic rate",
2,"Chordata","Mammalia","Rodentia","Octodontidae","Octodon","degus","","body mass",206,"g","",,4,,128,"Arends & McNab, 2001",2001,"Arends, A., & McNab, B. K. (2001). The comparative energetics of ‘caviomorph’ rodents. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 130(1), 105-122. doi:10.1016/S1095-6433(01)00371-3","",
2,"Chordata","Mammalia","Rodentia","Octodontidae","Octodon","degus","","metabolic rate",0.93,"(O2) cm3/g/h","27-35",,25,,128,"Arends & McNab, 2001",2001,"Arends, A., & McNab, B. K. (2001). The comparative energetics of ‘caviomorph’ rodents. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 130(1), 105-122. doi:10.1016/S1095-6433(01)00371-3","basal metabolic rate",
3,"Chordata","Mammalia","Rodentia","Echimyidae","Trichomys","apereoides","","body mass",323,"g","",,2,,128,"Arends & McNab, 2001",2001,"Arends, A., & McNab, B. K. (2001). The comparative energetics of ‘caviomorph’ rodents. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 130(1), 105-122. doi:10.1016/S1095-6433(01)00371-3","",
3,"Chordata","Mammalia","Rodentia","Echimyidae","Trichomys","apereoides","","metabolic rate",0.64,"(O2) cm3/g/h","25-35",,25,,128,"Arends & McNab, 2001",2001,"Arends, A., & McNab, B. K. (2001). The comparative energetics of ‘caviomorph’ rodents. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 130(1), 105-122. doi:10.1016/S1095-6433(01)00371-3","basal metabolic rate",
4,"Chordata","Mammalia","Rodentia","Chinchillidae","Chinchilla","lanigera","female","body mass",426,"g","",,4,,128,"Arends & McNab, 2001",2001,"Arends, A., & McNab, B. K. (2001). The comparative energetics of ‘caviomorph’ rodents. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 130(1), 105-122. doi:10.1016/S1095-6433(01)00371-3","",
4,"Chordata","Mammalia","Rodentia","Chinchillidae","Chinchilla","lanigera","female","metabolic rate",0.53,"(O2) cm3/g/h","22-35",,21,,128,"Arends & McNab, 2001",2001,"Arends, A., & McNab, B. K. (2001). The comparative energetics of ‘caviomorph’ rodents. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 130(1), 105-122. doi:10.1016/S1095-6433(01)00371-3","basal metabolic rate",
5,"Chordata","Mammalia","Rodentia","Caviidae","Kerodon","rupestris","female","body mass",801,"g","",,1,,128,"Arends & McNab, 2001",2001,"Arends, A., & McNab, B. K. (2001). The comparative energetics of ‘caviomorph’ rodents. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 130(1), 105-122. doi:10.1016/S1095-6433(01)00371-3","",
5,"Chordata","Mammalia","Rodentia","Caviidae","Kerodon","rupestris","female","metabolic rate",0.41,"(O2) cm3/g/h","27-36",,22,,128,"Arends & McNab, 2001",2001,"Arends, A., & McNab, B. K. (2001). The comparative energetics of ‘caviomorph’ rodents. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 130(1), 105-122. doi:10.1016/S1095-6433(01)00371-3","basal metabolic rate",
