"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela","erminea","female","mass",0.041,"kg",,,1,,71,"Casey & Casey, 1979","1979","Casey, T. M., & Casey, K. K. (1979). Thermoregulation of Arctic Weasels. Physiological Zoology, 52(2), 153-164. doi:10.1086/physzool.52.2.30152560",,
1,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela","erminea","female","metabolic rate ",2.25,"(O2) ml/min",30,,1,,71,"Casey & Casey, 1979","1979","Casey, T. M., & Casey, K. K. (1979). Thermoregulation of Arctic Weasels. Physiological Zoology, 52(2), 153-164. doi:10.1086/physzool.52.2.30152560","basal metabolic rate",""
2,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela","erminea","female","mass",0.045,"kg",,,1,,71,"Casey & Casey, 1979","1979","Casey, T. M., & Casey, K. K. (1979). Thermoregulation of Arctic Weasels. Physiological Zoology, 52(2), 153-164. doi:10.1086/physzool.52.2.30152560",,
2,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela","erminea","female","metabolic rate ",2.68,"(O2) ml/min",30,,1,,71,"Casey & Casey, 1979","1979","Casey, T. M., & Casey, K. K. (1979). Thermoregulation of Arctic Weasels. Physiological Zoology, 52(2), 153-164. doi:10.1086/physzool.52.2.30152560","basal metabolic rate",""
3,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela","erminea","female","mass",0.065,"kg",,,1,,71,"Casey & Casey, 1979","1979","Casey, T. M., & Casey, K. K. (1979). Thermoregulation of Arctic Weasels. Physiological Zoology, 52(2), 153-164. doi:10.1086/physzool.52.2.30152560",,
3,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela","erminea","female","metabolic rate ",2.16,"(O2) ml/min",30,,1,,71,"Casey & Casey, 1979","1979","Casey, T. M., & Casey, K. K. (1979). Thermoregulation of Arctic Weasels. Physiological Zoology, 52(2), 153-164. doi:10.1086/physzool.52.2.30152560","basal metabolic rate",""
4,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela","rixosa","male","mass",0.071,"kg",,,1,,71,"Casey & Casey, 1979","1979","Casey, T. M., & Casey, K. K. (1979). Thermoregulation of Arctic Weasels. Physiological Zoology, 52(2), 153-164. doi:10.1086/physzool.52.2.30152560",,
4,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela","rixosa","male","metabolic rate ",2.73,"(O2) ml/min",30,,1,,71,"Casey & Casey, 1979","1979","Casey, T. M., & Casey, K. K. (1979). Thermoregulation of Arctic Weasels. Physiological Zoology, 52(2), 153-164. doi:10.1086/physzool.52.2.30152560","basal metabolic rate",""
5,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela","rixosa","male","mass",0.077,"kg",,,1,,71,"Casey & Casey, 1979","1979","Casey, T. M., & Casey, K. K. (1979). Thermoregulation of Arctic Weasels. Physiological Zoology, 52(2), 153-164. doi:10.1086/physzool.52.2.30152560",,
5,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela","rixosa","male","metabolic rate ",3.25,"(O2) ml/min",30,,1,,71,"Casey & Casey, 1979","1979","Casey, T. M., & Casey, K. K. (1979). Thermoregulation of Arctic Weasels. Physiological Zoology, 52(2), 153-164. doi:10.1086/physzool.52.2.30152560","basal metabolic rate",""
6,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela","rixosa","male","mass",0.084,"kg",,,1,,71,"Casey & Casey, 1979","1979","Casey, T. M., & Casey, K. K. (1979). Thermoregulation of Arctic Weasels. Physiological Zoology, 52(2), 153-164. doi:10.1086/physzool.52.2.30152560",,
6,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela","rixosa","male","metabolic rate ",2.86,"(O2) ml/min",30,,1,,71,"Casey & Casey, 1979","1979","Casey, T. M., & Casey, K. K. (1979). Thermoregulation of Arctic Weasels. Physiological Zoology, 52(2), 153-164. doi:10.1086/physzool.52.2.30152560","basal metabolic rate",""
7,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela","erminea","female","mass",0.08,"kg",,,1,,71,"Casey & Casey, 1979","1979","Casey, T. M., & Casey, K. K. (1979). Thermoregulation of Arctic Weasels. Physiological Zoology, 52(2), 153-164. doi:10.1086/physzool.52.2.30152560",,
7,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela","erminea","female","metabolic rate ",2.96,"(O2) ml/min",30,,1,,71,"Casey & Casey, 1979","1979","Casey, T. M., & Casey, K. K. (1979). Thermoregulation of Arctic Weasels. Physiological Zoology, 52(2), 153-164. doi:10.1086/physzool.52.2.30152560","basal metabolic rate",""
8,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela","erminea","female","mass",0.085,"kg",,,1,,71,"Casey & Casey, 1979","1979","Casey, T. M., & Casey, K. K. (1979). Thermoregulation of Arctic Weasels. Physiological Zoology, 52(2), 153-164. doi:10.1086/physzool.52.2.30152560",,
8,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela","erminea","female","metabolic rate ",4.28,"(O2) ml/min",30,,1,,71,"Casey & Casey, 1979","1979","Casey, T. M., & Casey, K. K. (1979). Thermoregulation of Arctic Weasels. Physiological Zoology, 52(2), 153-164. doi:10.1086/physzool.52.2.30152560","basal metabolic rate",""
9,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela","erminea","female","mass",0.115,"kg",,,1,,71,"Casey & Casey, 1979","1979","Casey, T. M., & Casey, K. K. (1979). Thermoregulation of Arctic Weasels. Physiological Zoology, 52(2), 153-164. doi:10.1086/physzool.52.2.30152560",,
9,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela","erminea","female","metabolic rate ",3.12,"(O2) ml/min",30,,1,,71,"Casey & Casey, 1979","1979","Casey, T. M., & Casey, K. K. (1979). Thermoregulation of Arctic Weasels. Physiological Zoology, 52(2), 153-164. doi:10.1086/physzool.52.2.30152560","basal metabolic rate",""
