"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Mammalia","Macroscelidae","Macroscelididae","Elephantulus","rufescens","","body mass",0.053,"kg",,,,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","",
1,"Chordata","Mammalia","Macroscelidae","Macroscelididae","Elephantulus","rufescens","","metabolic rate",1.073,"(O2) cm3/g/h",,,18,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","basal metabolic rate",
2,"Chordata","Mammalia","Rodentia","Cricetidae","Oxymycterus","roberti","male","body mass",0.071,"kg",,,,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","",
2,"Chordata","Mammalia","Rodentia","Cricetidae","Oxymycterus","roberti","male","metabolic rate",1.294,"(O2) cm3/g/h",,,9,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","basal metabolic rate",
3,"Chordata","Mammalia","Rodentia","Cricetidae","Oxymycterus","roberti","female","body mass",0.096,"kg",,,,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","",
3,"Chordata","Mammalia","Rodentia","Cricetidae","Oxymycterus","roberti","female","metabolic rate",0.886,"(O2) cm3/g/h",,,11,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","basal metabolic rate",
4,"Chordata","Mammalia","Macroscelidea","Macroscelididae","Petrodromus","tetradactylus","","body mass",0.21,"kg",,,,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","",
4,"Chordata","Mammalia","Macroscelidea","Macroscelididae","Petrodromus","tetradactylus","","metabolic rate",0.608,"(O2) cm3/g/h",,,4,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","basal metabolic rate",
5,"Chordata","Mammalia","Pilosa","Cyclopedidae","Cyclopes","didactylus","","body mass",0.24,"kg",,,,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","",
5,"Chordata","Mammalia","Pilosa","Cyclopedidae","Cyclopes","didactylus","","metabolic rate",0.477,"(O2) cm3/g/h",,,28,,129,"McNab, 1984",1984,"McNab, B. K. (1984). Physiological convergence amongst ant-eating and termite-eating mammals. Journal of Zoology, 203(4), 485-510. doi:10.1111/j.1469-7998.1984.tb02345.x","basal metabolic rate",
