"X.U.FEFF.observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Arthropoda","Insecta","Orthoptera","Acrididae","Bootettix","punctatus","male","body mass",27.27,"mg",,,14,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
1,"Arthropoda","Insecta","Orthoptera","Acrididae","Bootettix","punctatus","male","metabolic rate",738,"(O2) ul/g/h",20,,14,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
2,"Arthropoda","Insecta","Orthoptera","Acrididae","Bootettix","punctatus","female","body mass",66.75,"mg",,,24,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
2,"Arthropoda","Insecta","Orthoptera","Acrididae","Bootettix","punctatus","female","metabolic rate",1017,"(O2) ul/g/h",20,,24,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
3,"Arthropoda","Insecta","Orthoptera","Acrididae","Trimerotropis","sp.","male","body mass",71.5,"mg",,,8,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
3,"Arthropoda","Insecta","Orthoptera","Acrididae","Trimerotropis","sp.","male","metabolic rate",873,"(O2) ul/g/h",20,,8,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
4,"Arthropoda","Insecta","Orthoptera","Acrididae","Trimerotropis","sp.","female","body mass",220.3,"mg",,,3,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
4,"Arthropoda","Insecta","Orthoptera","Acrididae","Trimerotropis","sp.","female","metabolic rate",779,"(O2) ul/g/h",20,,3,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
5,"Arthropoda","Insecta","Orthoptera","Acrididae","Melanoplus","complanipes","male","body mass",42.06,"mg",,,2,"DONTWARN: checked, value correct",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
5,"Arthropoda","Insecta","Orthoptera","Acrididae","Melanoplus","complanipes","male","metabolic rate",818,"(O2) ul/g/h",20,,2,"DONTWARN: checked, value correct",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
6,"Arthropoda","Insecta","Orthoptera","Acrididae","Melanoplus","complanipes","female","body mass",241.04,"mg",,,2,"DONTWARN: checked, value correct",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
6,"Arthropoda","Insecta","Orthoptera","Acrididae","Melanoplus","complanipes","female","metabolic rate",467,"(O2) ul/g/h",20,,2,"DONTWARN: checked, value correct",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
7,"Arthropoda","Insecta","Orthoptera","Acrididae","Anconia","integra","female","body mass",816.7,"mg",,,1,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
7,"Arthropoda","Insecta","Orthoptera","Acrididae","Anconia","integra","female","metabolic rate",538,"(O2) ul/g/h",20,,1,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
8,"Arthropoda","Insecta","Orthoptera","Tettigoniidae","Insara","covilleae","male","body mass",82,"mg",,,7,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
8,"Arthropoda","Insecta","Orthoptera","Tettigoniidae","Insara","covilleae","male","metabolic rate",1342,"(O2) ul/g/h",20,,7,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
9,"Arthropoda","Insecta","Orthoptera","Tettigoniidae","Insara","covilleae","female","body mass",103.2,"mg",,,1,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
9,"Arthropoda","Insecta","Orthoptera","Tettigoniidae","Insara","covilleae","female","metabolic rate",2926,"(O2) ul/g/h",20,,1,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
10,"Arthropoda","Insecta","Orthoptera","Tanaoceridae","Tanaocerus","koebeli","female","body mass",102.5,"mg",,,12,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
10,"Arthropoda","Insecta","Orthoptera","Tanaoceridae","Tanaocerus","koebeli","female","metabolic rate",807,"(O2) ul/g/h",20,,12,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
11,"Arthropoda","Insecta","Orthoptera","Gryllacrididae","Ceuthophilus","fossor","male","body mass",70.15,"mg",,,1,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
