"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
1,"Chordata","Reptilia","Squamata","Acrochordidae","Acrochordus","arafurae",,"body mass",1047.4,"g",30,,4,,181,"Bedford & Christian, 1999",1999,"Bedford, G. S., & Christian, K. A. (1999). Standard metabolic rate and preferred body temperatures in some Australian pythons. Australian Journal of Zoology, 46(4), 317-328. doi:10.1071/ZO98019","",""
1,"Chordata","Reptilia","Squamata","Acrochordidae","Acrochordus","arafurae",,"metabolic rate",24.66,"(O2) ml/h",30,,4,,181,"Bedford & Christian, 1999",1999,"Bedford, G. S., & Christian, K. A. (1999). Standard metabolic rate and preferred body temperatures in some Australian pythons. Australian Journal of Zoology, 46(4), 317-328. doi:10.1071/ZO98019","standard metabolic rate","resting metabolic rate"
2,"Chordata","Reptilia","Squamata","Pythonidae","Aspidites","melanocephalus",,"body mass",1027.5,"g",30,,3,,181,"Bedford & Christian, 1999",1999,"Bedford, G. S., & Christian, K. A. (1999). Standard metabolic rate and preferred body temperatures in some Australian pythons. Australian Journal of Zoology, 46(4), 317-328. doi:10.1071/ZO98019","",""
2,"Chordata","Reptilia","Squamata","Pythonidae","Aspidites","melanocephalus",,"metabolic rate",74.88,"(O2) ml/h",30,,3,,181,"Bedford & Christian, 1999",1999,"Bedford, G. S., & Christian, K. A. (1999). Standard metabolic rate and preferred body temperatures in some Australian pythons. Australian Journal of Zoology, 46(4), 317-328. doi:10.1071/ZO98019","standard metabolic rate","resting metabolic rate"
3,"Chordata","Reptilia","Squamata","Pythonidae","Antaresia","praelongus",,"body mass",105.5,"g",30,,3,,181,"Bedford & Christian, 1999",1999,"Bedford, G. S., & Christian, K. A. (1999). Standard metabolic rate and preferred body temperatures in some Australian pythons. Australian Journal of Zoology, 46(4), 317-328. doi:10.1071/ZO98019","",""
3,"Chordata","Reptilia","Squamata","Pythonidae","Antaresia","praelongus",,"metabolic rate",5.04,"(O2) ml/h",30,,3,,181,"Bedford & Christian, 1999",1999,"Bedford, G. S., & Christian, K. A. (1999). Standard metabolic rate and preferred body temperatures in some Australian pythons. Australian Journal of Zoology, 46(4), 317-328. doi:10.1071/ZO98019","standard metabolic rate","resting metabolic rate"
4,"Chordata","Reptilia","Squamata","Pythonidae","Antaresia","childreni",,"body mass",331.7,"g",30,,8,,181,"Bedford & Christian, 1999",1999,"Bedford, G. S., & Christian, K. A. (1999). Standard metabolic rate and preferred body temperatures in some Australian pythons. Australian Journal of Zoology, 46(4), 317-328. doi:10.1071/ZO98019","",""
4,"Chordata","Reptilia","Squamata","Pythonidae","Antaresia","childreni",,"metabolic rate",24.24,"(O2) ml/h",30,,8,,181,"Bedford & Christian, 1999",1999,"Bedford, G. S., & Christian, K. A. (1999). Standard metabolic rate and preferred body temperatures in some Australian pythons. Australian Journal of Zoology, 46(4), 317-328. doi:10.1071/ZO98019","standard metabolic rate","resting metabolic rate"
5,"Chordata","Reptilia","Squamata","Pythonidae","Liasis","fuscus",,"body mass",1306.9,"g",30,,4,,181,"Bedford & Christian, 1999",1999,"Bedford, G. S., & Christian, K. A. (1999). Standard metabolic rate and preferred body temperatures in some Australian pythons. Australian Journal of Zoology, 46(4), 317-328. doi:10.1071/ZO98019","",""
5,"Chordata","Reptilia","Squamata","Pythonidae","Liasis","fuscus",,"metabolic rate",29.34,"(O2) ml/h",30,,4,,181,"Bedford & Christian, 1999",1999,"Bedford, G. S., & Christian, K. A. (1999). Standard metabolic rate and preferred body temperatures in some Australian pythons. Australian Journal of Zoology, 46(4), 317-328. doi:10.1071/ZO98019","standard metabolic rate","resting metabolic rate"
