"phylum","class","order","family","genus","species","specificEpithet","sex","sampleSizeValue","inTextReference","publicationYear","fullReference","body mass","body mass - units","body mass - minimum","body mass - maximum","body mass - method","body mass - comments","body mass - metadata comment","original body mass","original body mass - units","metabolic rate","metabolic rate - units","metabolic rate - minimum","metabolic rate - maximum","metabolic rate - method","metabolic rate - comments","metabolic rate - metadata comment","original metabolic rate","original metabolic rate - units","original respiratoryQuotient","original temperature","mass-specific metabolic rate","mass-specific metabolic rate - units","brain size","brain size - units","brain size - minimum","brain size - maximum","brain size - method","brain size - comments","brain size - metadata comment","original brain size","original brain size - units"
"Chordata","Amphibia","Anura","Hylidae","Hyla","Hyla versicolor","versicolor",,1,"Taylor, Nol, & Boire, 1995","1995","Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",0.01315,"kg",,,"","","","13.15","g",,"",,,,"","",,"",,,,"",4.225844e-05,"kg",,,"histological reconstruction","total brain volume ","photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed","40.79","mm3"
"Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris triseriata","triseriata",,3,"Taylor, Nol, & Boire, 1995","1995","Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",1e-04,"kg",,,"","","","0.1","g",,"",,,,"","",,"",,,,"",2.25848e-06,"kg",,,"histological reconstruction","","photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed","2.18","mm3"
"Chordata","Amphibia","Anura","Hylidae","Acris","Acris crepitans","crepitans",,3,"Taylor, Nol, & Boire, 1995","1995","Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",3e-04,"kg",,,"","","","0.3","g",,"",,,,"","",,"",,,,"",4.43408e-06,"kg",,,"histological reconstruction","","photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed","4.28","mm3"
"Chordata","Amphibia","Anura","Ceratobatrachidae","Platymantis","Platymantis vitiensis","vitiensis",,1,"Taylor, Nol, & Boire, 1995","1995","Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",3e-04,"kg",,,"","","","0.3","g",,"",,,,"","",,"",,,,"",4.93136e-06,"kg",,,"histological reconstruction","","photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed","4.76","mm3"
"Chordata","Amphibia","Anura","Ranidae","Rana","Rana sylvatica","sylvatica",,3,"Taylor, Nol, & Boire, 1995","1995","Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",0.00037,"kg",,,"","","","0.37","g",,"",,,,"","",,"",,,,"",8.56772e-06,"kg",,,"histological reconstruction","","photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed","8.27","mm3"
"Chordata","Amphibia","Anura","Ranidae","Rana","Rana pipiens","pipiens",,3,"Taylor, Nol, & Boire, 1995","1995","Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",0.0011,"kg",,,"","","","1.1","g",,"",,,,"","",,"",,,,"",2.03574e-05,"kg",,,"histological reconstruction","","photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed","19.65","mm3"
"Chordata","Amphibia","Anura","Ranidae","Rana","Rana clamitans","clamitans",,3,"Taylor, Nol, & Boire, 1995","1995","Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",0.00362,"kg",,,"","","","3.62","g",,"",,,,"","",,"",,,,"",3.915044e-05,"kg",,,"histological reconstruction","","photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed","37.79","mm3"
"Chordata","Amphibia","Anura","Pipidae","Xenopus","Xenopus laevis","laevis",,1,"Taylor, Nol, & Boire, 1995","1995","Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",0.03237,"kg",,,"","","","32.37","g",,"",,,,"","",,"",,,,"",5.137524e-05,"kg",,,"histological reconstruction","","photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed","49.59","mm3"
"Chordata","Amphibia","Anura","Rhionphrynidae","Rhinophrynus","Rhinophrynus dorsalis","dorsalis",,1,"Taylor, Nol, & Boire, 1995","1995","Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",0.01657,"kg",,,"","","","16.57","g",,"",,,,"","",,"",,,,"",3.292408e-05,"kg",,,"histological reconstruction","","photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed","31.78","mm3"
"Arthropoda","Arachnida","Araneae","Ctenidae","Cupiennius","Cupiennius salei","salei",,5,"Weltzien & Barth, 1991","1991","Peter, W., & Barth, F. G. (1991). Volumetric measurements do not demonstrate that the spider brain “central body” has a special role in web building. Journal of Morphology, 208(1), 91-98. doi:10.1002/jmor.1052080104",,"",,,,"","",,"",,"",,,,"","",,"",,,,"",2.50712e-07,"kg",,,"histological reconstruction","","cross sctions were horizontally aligned and measured with microscopic device","2.42e+08","um3"
