phylum,class,order,family,genus,species,specificEpithet,sex,sampleSizeValue,inTextReference,publicationYear,fullReference,mass,mass - units,mass - method,mass - comments,mass - metadata comment,original mass,original mass - units,metabolic rate,metabolic rate - units,metabolic rate - method,metabolic rate - comments,metabolic rate - metadata comment,original metabolic rate,original metabolic rate - units,original respiratoryQuotient,original temperature,mass-specific metabolic rate,mass-specific metabolic rate - units,brain size,brain size - units,brain size - method,brain size - comments,brain size - metadata comment,original brain size,original brain size - units,observationID,file,line,modified
Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla versicolor,versicolor,,1,"Taylor, Nol, & Boire, 1995",1995,"Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",0.01315,kg,"","","",13.15,g,,"",,"","",,"",,,,"",0.04225844000000001,g,histological reconstruction,total brain volume ,photographs of cross sections were take and volume measured using scientific digitizing tablet;brain weight were weighed,40.79,mm3,doi-10.1159_000113543::1,../data/raw/Amphibia/doi-10.1159_000113543.csv,2,2021-03-01T06:55:54Z
Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris triseriata,triseriata,,3,"Taylor, Nol, & Boire, 1995",1995,"Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",1e-4,kg,"","","",0.1,g,,"",,"","",,"",,,,"",0.0022584800000000006,g,histological reconstruction,"",photographs of cross sections were take and volume measured using scientific digitizing tablet;brain weight were weighed,2.18,mm3,doi-10.1159_000113543::2,../data/raw/Amphibia/doi-10.1159_000113543.csv,4,2021-03-01T06:55:54Z
Chordata,Amphibia,Anura,Hylidae,Acris,Acris crepitans,crepitans,,3,"Taylor, Nol, & Boire, 1995",1995,"Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",3e-4,kg,"","","",0.3,g,,"",,"","",,"",,,,"",0.004434080000000002,g,histological reconstruction,"",photographs of cross sections were take and volume measured using scientific digitizing tablet;brain weight were weighed,4.28,mm3,doi-10.1159_000113543::3,../data/raw/Amphibia/doi-10.1159_000113543.csv,6,2021-03-01T06:55:54Z
Chordata,Amphibia,Anura,Ceratobatrachidae,Platymantis,Platymantis vitiensis,vitiensis,,1,"Taylor, Nol, & Boire, 1995",1995,"Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",3e-4,kg,"","","",0.3,g,,"",,"","",,"",,,,"",0.004931360000000001,g,histological reconstruction,"",photographs of cross sections were take and volume measured using scientific digitizing tablet;brain weight were weighed,4.76,mm3,doi-10.1159_000113543::4,../data/raw/Amphibia/doi-10.1159_000113543.csv,8,2021-03-01T06:55:54Z
Chordata,Amphibia,Anura,Ranidae,Rana,Rana sylvatica,sylvatica,,3,"Taylor, Nol, & Boire, 1995",1995,"Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",3.7e-4,kg,"","","",0.37,g,,"",,"","",,"",,,,"",0.008567720000000001,g,histological reconstruction,"",photographs of cross sections were take and volume measured using scientific digitizing tablet;brain weight were weighed,8.27,mm3,doi-10.1159_000113543::5,../data/raw/Amphibia/doi-10.1159_000113543.csv,10,2021-03-01T06:55:54Z
Chordata,Amphibia,Anura,Ranidae,Rana,Rana pipiens,pipiens,,3,"Taylor, Nol, & Boire, 1995",1995,"Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",0.0011,kg,"","","",1.1,g,,"",,"","",,"",,,,"",0.020357400000000005,g,histological reconstruction,"",photographs of cross sections were take and volume measured using scientific digitizing tablet;brain weight were weighed,19.65,mm3,doi-10.1159_000113543::6,../data/raw/Amphibia/doi-10.1159_000113543.csv,12,2021-03-01T06:55:54Z
Chordata,Amphibia,Anura,Ranidae,Rana,Rana clamitans,clamitans,,3,"Taylor, Nol, & Boire, 1995",1995,"Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",0.0036200000000000004,kg,"","","",3.62,g,,"",,"","",,"",,,,"",0.039150440000000016,g,histological reconstruction,"",photographs of cross sections were take and volume measured using scientific digitizing tablet;brain weight were weighed,37.79,mm3,doi-10.1159_000113543::7,../data/raw/Amphibia/doi-10.1159_000113543.csv,14,2021-03-01T06:55:54Z
Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus laevis,laevis,,1,"Taylor, Nol, & Boire, 1995",1995,"Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",0.032369999999999996,kg,"","","",32.37,g,,"",,"","",,"",,,,"",0.051375240000000016,g,histological reconstruction,"",photographs of cross sections were take and volume measured using scientific digitizing tablet;brain weight were weighed,49.59,mm3,doi-10.1159_000113543::8,../data/raw/Amphibia/doi-10.1159_000113543.csv,16,2021-03-01T06:55:54Z
Chordata,Amphibia,Anura,Rhionphrynidae,Rhinophrynus,Rhinophrynus dorsalis,dorsalis,,1,"Taylor, Nol, & Boire, 1995",1995,"Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",0.01657,kg,"","","",16.57,g,,"",,"","",,"",,,,"",0.03292408000000001,g,histological reconstruction,"",photographs of cross sections were take and volume measured using scientific digitizing tablet;brain weight were weighed,31.78,mm3,doi-10.1159_000113543::9,../data/raw/Amphibia/doi-10.1159_000113543.csv,18,2021-03-01T06:55:54Z
Arthropoda,Arachnida,Araneae,Ctenidae,Cupiennius,Cupiennius salei,salei,,5,"Weltzien & Barth, 1991",1991,"Peter, W., & Barth, F. G. (1991). Volumetric measurements do not demonstrate that the spider brain â€œcentral bodyâ€ has a special role in web building. Journal of Morphology, 208(1), 91-98. doi:10.1002/jmor.1052080104",,"",,"","",,"",,"",,"","",,"",,,,"",2.50712e-4,g,histological reconstruction,"",cross sctions were horizontally aligned and measured with microscopic device,242000000,um3,doi-10.1002_jmor.1052080104::1,../data/raw/brain size/Arachnida/doi-10.1002_jmor.1052080104.csv,2,2021-03-01T06:55:54Z
